tenant_key,module,artifact_file,tenant_key_matches,module_matches,blocks,visual_specs,approved_blocks,cross_tenant_leak_count,internal_language_count,status,error
skyharbor-air,home,src/lib/home/narratives/generated/skyharbor-air-knowledge-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
skyharbor-air,tower,src/lib/tower/narratives/generated/skyharbor-air-tower-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
skyharbor-air,intelligence,src/lib/intelligence/narratives/generated/skyharbor-air-intelligence-briefing-blocks.ts,true,true,4,4,4,0,0,Pass,
skyharbor-air,moves,src/lib/moves/narratives/generated/skyharbor-air-moves-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
skyharbor-air,source,src/lib/source/narratives/generated/skyharbor-air-source-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
first-capital,home,src/lib/home/narratives/generated/first-capital-knowledge-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
first-capital,tower,src/lib/tower/narratives/generated/first-capital-tower-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
first-capital,intelligence,src/lib/intelligence/narratives/generated/first-capital-intelligence-briefing-blocks.ts,true,true,4,4,4,0,0,Pass,
first-capital,moves,src/lib/moves/narratives/generated/first-capital-moves-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
first-capital,source,src/lib/source/narratives/generated/first-capital-source-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
meridian-health,home,src/lib/home/narratives/generated/meridian-health-knowledge-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
meridian-health,tower,src/lib/tower/narratives/generated/meridian-health-tower-cxo-blocks.ts,true,true,4,4,4,0,0,Pass,
meridian-health,intelligence,src/lib/intelligence/narratives/generated/meridian-health-intelligence-briefing-blocks.ts,true,true,4,4,4,0,0,Pass,
meridian-health,moves,src/lib/moves/narratives/generated/meridian-health-moves-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
meridian-health,source,src/lib/source/narratives/generated/meridian-health-source-readiness-blocks.ts,true,true,4,4,4,0,0,Pass,
