tenant_key,dimension,tab,scan_type,term,found_count,expected,status,route
skyharbor-air,All captured runtime renders,all,positive_tenant_specificity_aggregate,SkyHarbor|airline|IROPS|crew|baggage|maintenance,6,at least 3 tenant-specific terms present,Pass,/home captured routes
first-capital,All captured runtime renders,all,positive_tenant_specificity_aggregate,First Capital|bank|fraud|AML|KYC|regulatory,6,at least 3 tenant-specific terms present,Pass,/home captured routes
meridian-health,All captured runtime renders,all,positive_tenant_specificity_aggregate,Meridian|healthcare|clinical|claims|PHI|Agent Assist,4,at least 3 tenant-specific terms present,Pass,/home captured routes
skyharbor-air,Overview,summary,positive_tenant_specificity,SkyHarbor,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,positive_tenant_specificity,airline,4,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,positive_tenant_specificity,IROPS,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,positive_tenant_specificity,crew,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,positive_tenant_specificity,baggage,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,positive_tenant_specificity,maintenance,2,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Overview,summary,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,SkyHarbor,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,airline,4,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,positive_tenant_specificity,maintenance,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,summary,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,data,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=data
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
