tenant_key,surface,dimension,visual_id,visual_title,chart_allowed,render_mode,status
skyharbor-air,home_overview,Overview,SHA-VIZ-001,SkyHarbor Air Context Strength by Dimension,false,diagnostic_text,Pass
skyharbor-air,knowledge_dimension,Enterprise Profile,SHA-VIZ-002,Knowledge Dimension Readiness: SkyHarbor Air,false,diagnostic_text,Pass
skyharbor-air,knowledge_dimension,Applications & Systems,SHA-VIZ-002,Knowledge Dimension Readiness: SkyHarbor Air,false,diagnostic_text,Pass
skyharbor-air,knowledge_dimension,Data Assets & Integrations,SHA-VIZ-002,Knowledge Dimension Readiness: SkyHarbor Air,false,diagnostic_text,Pass
skyharbor-air,knowledge_dimension,Vendors & Contracts,SHA-VIZ-002,Knowledge Dimension Readiness: SkyHarbor Air,false,diagnostic_text,Pass
skyharbor-air,knowledge_dimension,Metrics & Outcomes,SHA-VIZ-002,Knowledge Dimension Readiness: SkyHarbor Air,false,diagnostic_text,Pass
first-capital,home_overview,Overview,FCF-VIZ-001,Enterprise Dimension Readiness: Evidence vs. Gap Status,false,diagnostic_text,Pass
first-capital,knowledge_dimension,Enterprise Profile,FCF-VIZ-002,AI Use Case Portfolio: Readiness Gate Status,false,diagnostic_text,Pass
first-capital,knowledge_dimension,Applications & Systems,FCF-VIZ-010,Application Dependency Map: Twelve-System Integration Status,false,diagnostic_text,Pass
first-capital,knowledge_dimension,Data Assets & Integrations,FCF-VIZ-004,Data Lineage and Integration Gap Map,false,diagnostic_text,Pass
first-capital,knowledge_dimension,Vendors & Contracts,FCF-VIZ-005,Vendor Dependency and Contract Risk Matrix,false,diagnostic_text,Pass
first-capital,knowledge_dimension,Metrics & Outcomes,FCF-VIZ-006,Value Hypothesis vs. Evidence Proof: Use Case Comparison,false,diagnostic_text,Pass
meridian-health,home_overview,Overview,VIZ-001-CONTEXT-STRENGTH,Meridian Context Strength Snapshot,false,diagnostic_text,Pass
meridian-health,knowledge_dimension,Enterprise Profile,VIZ-002-DIMENSION-READINESS,Dimension Readiness Matrix Across Nineteen Domains,false,diagnostic_text,Pass
meridian-health,knowledge_dimension,Applications & Systems,VIZ-002-DIMENSION-READINESS,Dimension Readiness Matrix Across Nineteen Domains,false,diagnostic_text,Pass
meridian-health,knowledge_dimension,Data Assets & Integrations,VIZ-002-DIMENSION-READINESS,Dimension Readiness Matrix Across Nineteen Domains,false,diagnostic_text,Pass
meridian-health,knowledge_dimension,Vendors & Contracts,VIZ-002-DIMENSION-READINESS,Dimension Readiness Matrix Across Nineteen Domains,false,diagnostic_text,Pass
meridian-health,knowledge_dimension,Metrics & Outcomes,VIZ-002-DIMENSION-READINESS,Dimension Readiness Matrix Across Nineteen Domains,false,diagnostic_text,Pass
