tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,event_id,artifact_type,artifact_id,artifact_state,linked_document_id,owner_role,review_state
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-1,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,rfp,ART-MER-CTR-RCM-001-RFP,available,DOC-MER-CTR-RCM-001-MSA,Director Strategic Sourcing,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-2,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,vendor_response,ART-MER-CTR-RCM-001-VENDOR-RESPONSE,available,DOC-MER-CTR-RCM-001-SOW-CORE,Director Strategic Sourcing,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-3,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,pricing_workbook,ART-MER-CTR-RCM-001-PRICING-WORKBOOK,available,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,Director Strategic Sourcing,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-4,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,scorecard,ART-MER-CTR-RCM-001-SCORECARD,available,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,Revenue Cycle Operations Lead,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-5,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,bafo,ART-MER-CTR-RCM-001-BAFO,available,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,Revenue Cycle Operations Lead,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-6,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,award_memo,ART-MER-CTR-RCM-001-AWARD-MEMO,available,DOC-MER-CTR-RCM-001-AMEND-001,Finance Transformation Controller,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-RCM-001-7,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,EVT-MER-CTR-RCM-001,exception_log,ART-MER-CTR-RCM-001-EXCEPTION-LOG,available,DOC-MER-CTR-RCM-001-SIDE-LETTER,Finance Transformation Controller,accepted
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-1,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,rfp,ART-MER-CTR-HR-BPO-001-RFP,available,DOC-MER-CTR-HR-BPO-001-MSA,HR Category Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-2,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,vendor_response,ART-MER-CTR-HR-BPO-001-VENDOR-RESPONSE,available,DOC-MER-CTR-HR-BPO-001-SOW-CORE,HR Category Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-3,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,pricing_workbook,ART-MER-CTR-HR-BPO-001-PRICING-WORKBOOK,available,DOC-MER-CTR-HR-BPO-001-SOW-OPERATIONS,HR Category Lead,diagnosis_ready_not_action_ready
