tenant_key,contract_id,opportunity_id,calculation_run_id,input_name,input_value_numeric,input_value_text,input_unit,source_record_id,source_system,inclusion_state,review_state,input_rank
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-RECOVERY,CALC-MER-CTR-RCM-001-001,ap_rate_variance_line,21312.5,AP-MER-CTR-RCM-001-2026-07-1,USD,AP-MER-CTR-RCM-001-2026-07-1,Workday Finance / AP invoice-line companion extract,included,accepted,1
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-RECOVERY,CALC-MER-CTR-RCM-001-001,ap_rate_variance_line,21312.5,AP-MER-CTR-RCM-001-2026-12-2,USD,AP-MER-CTR-RCM-001-2026-12-2,Workday Finance / AP invoice-line companion extract,included,accepted,2
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-SLA-CREDIT,CALC-MER-CTR-RCM-001-001,sla_credit_earned_line,6458.33,SLA-MER-CTR-RCM-001-2026-07-cycle_time,USD,SLA-MER-CTR-RCM-001-2026-07-cycle_time,ServiceNow / operational KPI export companion extract,included,accepted,1
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-SLA-CREDIT,CALC-MER-CTR-RCM-001-001,sla_credit_earned_line,6458.33,SLA-MER-CTR-RCM-001-2026-09-backlog_age,USD,SLA-MER-CTR-RCM-001-2026-09-backlog_age,ServiceNow / operational KPI export companion extract,included,accepted,2
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-SLA-CREDIT,CALC-MER-CTR-RCM-001-001,sla_credit_earned_line,6458.33,SLA-MER-CTR-RCM-001-2026-10-quality,USD,SLA-MER-CTR-RCM-001-2026-10-quality,ServiceNow / operational KPI export companion extract,included,accepted,3
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-SLA-CREDIT,CALC-MER-CTR-RCM-001-001,sla_credit_earned_line,6458.33,SLA-MER-CTR-RCM-001-2026-11-cycle_time,USD,SLA-MER-CTR-RCM-001-2026-11-cycle_time,ServiceNow / operational KPI export companion extract,included,accepted,4
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FINANCE-VALUE,CALC-MER-CTR-RCM-001-001,finance_confirmed_period,105000,FIN-MER-CTR-RCM-001-2027-Q1,USD,FIN-MER-CTR-RCM-001-2027-Q1,FP&A value ledger / close proof companion extract,included,accepted,1
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FINANCE-VALUE,CALC-MER-CTR-RCM-001-001,finance_confirmed_period,105000,FIN-MER-CTR-RCM-001-2027-Q2,USD,FIN-MER-CTR-RCM-001-2027-Q2,FP&A value ledger / close proof companion extract,included,accepted,2
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FINANCE-VALUE,CALC-MER-CTR-RCM-001-001,finance_confirmed_period,105000,FIN-MER-CTR-RCM-001-2027-Q3,USD,FIN-MER-CTR-RCM-001-2027-Q3,FP&A value ledger / close proof companion extract,included,accepted,3
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FINANCE-VALUE,CALC-MER-CTR-RCM-001-001,finance_confirmed_period,105000,FIN-MER-CTR-RCM-001-2027-Q4,USD,FIN-MER-CTR-RCM-001-2027-Q4,FP&A value ledger / close proof companion extract,included,accepted,4
meridian-health,MER-CTR-HR-BPO-001,OP-MER-CTR-HR-BPO-001-RECOVERY,CALC-MER-CTR-HR-BPO-001-001,ap_rate_variance_line,14208.33,AP-MER-CTR-HR-BPO-001-2026-07-1,USD,AP-MER-CTR-HR-BPO-001-2026-07-1,Workday Finance / AP invoice-line companion extract,blocked_by_conflict,diagnosis_only,1
