tenant_key,dataset_version,fact_assertion_id,contract_id,canonical_entity_type,canonical_entity_id,fact_type,fact_field,fact_value_text,fact_value_numeric,grain,source_record_id,evidence_entity_link_id,assertion_basis,confidence,review_state
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-1,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,commercial_term,annual_value_usd,,18600000,contract,CLM-MER-CTR-RCM-001,LINK-0001,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-2,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,commercial_term,notice_deadline,2027-06-30,,contract,CLM-MER-CTR-RCM-001,LINK-0001,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-3,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,pricing,current_pricing_total_usd,,18600000,contract,PRICE-MER-CTR-RCM-001-1,LINK-0004,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-4,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,sla,service_credit_available_usd,,6458.33,contract,SLA-MER-CTR-RCM-001-2026-07-cycle_time,LINK-0006,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-5,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,finance,finance_confirmed_value_usd,,420000,contract,FIN-MER-CTR-RCM-001-2027-Q1,LINK-0007,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-RCM-001-6,MER-CTR-RCM-001,contract,MER-CTR-RCM-001,gate,action_gate_state,allowed,,contract,SRCART-MER-CTR-RCM-001-6,LINK-0001,reconciled_synthetic_native_extract_or_document_clause,0.94,accepted
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-1,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,commercial_term,annual_value_usd,,12400000,contract,CLM-MER-CTR-HR-BPO-001,LINK-0008,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-2,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,commercial_term,notice_deadline,2029-03-31,,contract,CLM-MER-CTR-HR-BPO-001,LINK-0008,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-3,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,pricing,current_pricing_total_usd,,12400000,contract,PRICE-MER-CTR-HR-BPO-001-1,LINK-0011,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-4,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,sla,service_credit_available_usd,,4305.56,contract,SLA-MER-CTR-HR-BPO-001-2026-07-cycle_time,LINK-0013,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-5,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,finance,finance_confirmed_value_usd,,0,contract,FIN-MER-CTR-HR-BPO-001-2027-Q1,LINK-0014,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-HR-BPO-001-6,MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,gate,action_gate_state,blocked,,contract,SRCART-MER-CTR-HR-BPO-001-6,LINK-0008,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
