tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,supplier_id,po_number,invoice_number,invoice_line_id,service_period,service_tower_id,quantity,unit_of_measure,invoice_amount_usd,contract_rate_amount_usd,variance_amount_usd,payment_state,credit_linkage_state,source_owner,review_state
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-07-1,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-1,INV-MER-CTR-RCM-001-2026-07-1,APLINE-MER-CTR-RCM-001-2026-07-1,2026-07,SVC-MER-CTR-RCM-001-1,1,monthly_service_fee,408812.5,387500,21312.5,paid,candidate_recovery,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-08-2,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-2,INV-MER-CTR-RCM-001-2026-08-2,APLINE-MER-CTR-RCM-001-2026-08-2,2026-08,SVC-MER-CTR-RCM-001-2,1,monthly_service_fee,387500,387500,0,paid,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-09-3,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-3,INV-MER-CTR-RCM-001-2026-09-3,APLINE-MER-CTR-RCM-001-2026-09-3,2026-09,SVC-MER-CTR-RCM-001-3,1,monthly_service_fee,387500,387500,0,paid,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-10-4,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-4,INV-MER-CTR-RCM-001-2026-10-4,APLINE-MER-CTR-RCM-001-2026-10-4,2026-10,SVC-MER-CTR-RCM-001-4,1,monthly_service_fee,380525,387500,-6975,paid,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-11-1,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-1,INV-MER-CTR-RCM-001-2026-11-1,APLINE-MER-CTR-RCM-001-2026-11-1,2026-11,SVC-MER-CTR-RCM-001-1,1,monthly_service_fee,387500,387500,0,paid,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2026-12-2,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-2,INV-MER-CTR-RCM-001-2026-12-2,APLINE-MER-CTR-RCM-001-2026-12-2,2026-12,SVC-MER-CTR-RCM-001-2,1,monthly_service_fee,408812.5,387500,21312.5,paid,candidate_recovery,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2027-01-3,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-3,INV-MER-CTR-RCM-001-2027-01-3,APLINE-MER-CTR-RCM-001-2027-01-3,2027-01,SVC-MER-CTR-RCM-001-3,1,monthly_service_fee,380525,387500,-6975,approved_pending_payment,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-RCM-001-2027-02-4,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,MER-SUP-RCM-001,PO-MER-CTR-RCM-001-4,INV-MER-CTR-RCM-001-2027-02-4,APLINE-MER-CTR-RCM-001-2027-02-4,2027-02,SVC-MER-CTR-RCM-001-4,1,monthly_service_fee,387500,387500,0,approved_pending_payment,not_applicable,Accounts Payable,accepted_synthetic_fixture
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-HR-BPO-001-2026-07-1,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,MER-SUP-HR-001,PO-MER-CTR-HR-BPO-001-1,INV-MER-CTR-HR-BPO-001-2026-07-1,APLINE-MER-CTR-HR-BPO-001-2026-07-1,2026-07,SVC-MER-CTR-HR-BPO-001-1,1,monthly_service_fee,272541.67,258333.33,14208.33,paid,candidate_recovery,Accounts Payable,diagnosis_only_conflict_blocked
meridian-health,Workday Finance / AP invoice-line companion extract,ap_po_invoice_line,AP-MER-CTR-HR-BPO-001-2026-08-2,extract-meridian-ap-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,MER-SUP-HR-001,PO-MER-CTR-HR-BPO-001-2,INV-MER-CTR-HR-BPO-001-2026-08-2,APLINE-MER-CTR-HR-BPO-001-2026-08-2,2026-08,SVC-MER-CTR-HR-BPO-001-2,1,monthly_service_fee,258333.33,258333.33,0,paid,not_applicable,Accounts Payable,accepted_synthetic_fixture
