tenant_key,contract_id,opportunity_id,calculation_run_id,output_name,output_value_numeric,output_currency,value_type,inclusion_state,exclusion_reason,review_state,output_rank
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-RECOVERABLE-AP-VARIANCE,CALC-MER-CTR-RCM-001-001,recoverable_ap_variance,42625,USD,recoverable,included,,accepted,1
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-EARNED-SLA-CREDIT,CALC-MER-CTR-RCM-001-001,earned_sla_credit,25833.32,USD,recoverable,included,,accepted,2
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FINANCE-CONFIRMED-VALUE,CALC-MER-CTR-RCM-001-001,finance_confirmed_value,420000,USD,finance_confirmed,included,,accepted,3
meridian-health,MER-CTR-RCM-001,OP-MER-CTR-RCM-001-FORECAST-VALUE,CALC-MER-CTR-RCM-001-001,forecast_value,488458.32,USD,forecast,included,,accepted,4
meridian-health,MER-CTR-HR-BPO-001,OP-MER-CTR-HR-BPO-001-RECOVERABLE-AP-VARIANCE,CALC-MER-CTR-HR-BPO-001-001,recoverable_ap_variance,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,1
meridian-health,MER-CTR-HR-BPO-001,OP-MER-CTR-HR-BPO-001-EARNED-SLA-CREDIT,CALC-MER-CTR-HR-BPO-001-001,earned_sla_credit,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,2
meridian-health,MER-CTR-HR-BPO-001,OP-MER-CTR-HR-BPO-001-FINANCE-CONFIRMED-VALUE,CALC-MER-CTR-HR-BPO-001-001,finance_confirmed_value,0,USD,finance_confirmed,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,3
meridian-health,MER-CTR-HR-BPO-001,OP-MER-CTR-HR-BPO-001-FORECAST-VALUE,CALC-MER-CTR-HR-BPO-001-001,forecast_value,0,USD,forecast,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,4
meridian-health,MER-CTR-FIN-BPO-001,OP-MER-CTR-FIN-BPO-001-RECOVERABLE-AP-VARIANCE,CALC-MER-CTR-FIN-BPO-001-001,recoverable_ap_variance,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,1
meridian-health,MER-CTR-FIN-BPO-001,OP-MER-CTR-FIN-BPO-001-EARNED-SLA-CREDIT,CALC-MER-CTR-FIN-BPO-001-001,earned_sla_credit,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,2
meridian-health,MER-CTR-FIN-BPO-001,OP-MER-CTR-FIN-BPO-001-FINANCE-CONFIRMED-VALUE,CALC-MER-CTR-FIN-BPO-001-001,finance_confirmed_value,0,USD,finance_confirmed,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,3
meridian-health,MER-CTR-FIN-BPO-001,OP-MER-CTR-FIN-BPO-001-FORECAST-VALUE,CALC-MER-CTR-FIN-BPO-001-001,forecast_value,0,USD,forecast,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,4
meridian-health,MER-CTR-SC-BPO-001,OP-MER-CTR-SC-BPO-001-RECOVERABLE-AP-VARIANCE,CALC-MER-CTR-SC-BPO-001-001,recoverable_ap_variance,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,1
meridian-health,MER-CTR-SC-BPO-001,OP-MER-CTR-SC-BPO-001-EARNED-SLA-CREDIT,CALC-MER-CTR-SC-BPO-001-001,earned_sla_credit,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,2
meridian-health,MER-CTR-SC-BPO-001,OP-MER-CTR-SC-BPO-001-FINANCE-CONFIRMED-VALUE,CALC-MER-CTR-SC-BPO-001-001,finance_confirmed_value,0,USD,finance_confirmed,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,3
meridian-health,MER-CTR-SC-BPO-001,OP-MER-CTR-SC-BPO-001-FORECAST-VALUE,CALC-MER-CTR-SC-BPO-001-001,forecast_value,0,USD,forecast,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,4
meridian-health,MER-CTR-SSO-BPO-001,OP-MER-CTR-SSO-BPO-001-RECOVERABLE-AP-VARIANCE,CALC-MER-CTR-SSO-BPO-001-001,recoverable_ap_variance,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,1
meridian-health,MER-CTR-SSO-BPO-001,OP-MER-CTR-SSO-BPO-001-EARNED-SLA-CREDIT,CALC-MER-CTR-SSO-BPO-001-001,earned_sla_credit,0,USD,recoverable,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,2
meridian-health,MER-CTR-SSO-BPO-001,OP-MER-CTR-SSO-BPO-001-FINANCE-CONFIRMED-VALUE,CALC-MER-CTR-SSO-BPO-001-001,finance_confirmed_value,0,USD,finance_confirmed,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,3
meridian-health,MER-CTR-SSO-BPO-001,OP-MER-CTR-SSO-BPO-001-FORECAST-VALUE,CALC-MER-CTR-SSO-BPO-001-001,forecast_value,0,USD,forecast,blocked_by_unresolved_conflict,Unresolved conflict blocks action/value claim.,blocked_by_fact_conflict,4
