tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,period,process_name,location,process_volume,backlog_count,cycle_time_days,quality_rate,rework_rate,current_cost_to_serve_usd,source_owner,synthetic_formula_note,review_state
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q1-1,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q1,claims intake,Denver service center,12000,420,4.8,0.97,0.05,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q1-2,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q1,denial management,remote US operations,13700,475,5.5,0.96,0.06,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q1-3,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q1,payment posting,offshore analytics pod,15400,530,6.2,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q1-4,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q1,patient billing,Denver service center,17100,585,6.9,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q2-1,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q2,claims intake,Denver service center,12900,440,4.95,0.97,0.05,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q2-2,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q2,denial management,remote US operations,14600,495,5.65,0.96,0.06,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q2-3,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q2,payment posting,offshore analytics pod,16300,550,6.35,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q2-4,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q2,patient billing,Denver service center,18000,605,7.05,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q3-1,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q3,claims intake,Denver service center,13800,460,5.1,0.97,0.05,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q3-2,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q3,denial management,remote US operations,15500,515,5.8,0.96,0.06,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q3-3,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q3,payment posting,offshore analytics pod,17200,570,6.5,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q3-4,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q3,patient billing,Denver service center,18900,625,7.2,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q4-1,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q4,claims intake,Denver service center,14700,480,5.25,0.97,0.05,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q4-2,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q4,denial management,remote US operations,16400,535,5.95,0.96,0.06,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
meridian-health,Epic Resolute operational baseline companion extract,process_baseline,BASE-MER-CTR-RCM-001-Q4-3,extract-meridian-baseline-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,2027-Q4,payment posting,offshore analytics pod,18100,590,6.65,0.95,0.07,1342500,Revenue Cycle Operations Lead,Formulaic PHI-free baseline sized from contract run-rate and process index.,accepted_synthetic_fixture
