tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,control_id,control_domain,evidence_document_id,control_state,exception_summary,owner_role,review_state
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-RCM-001-1,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,CONTROL-MER-CTR-RCM-001-DATA-ACCESS,data_access,DOC-MER-CTR-RCM-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-RCM-001-2,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,CONTROL-MER-CTR-RCM-001-SEGREGATION-OF-DUTIES,segregation_of_duties,DOC-MER-CTR-RCM-001-SECURITY-CONTROL,operating,,Revenue Cycle Operations Lead,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-RCM-001-3,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,CONTROL-MER-CTR-RCM-001-SUBPROCESSOR-LOCATION,subprocessor_location,DOC-MER-CTR-RCM-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-RCM-001-4,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,CONTROL-MER-CTR-RCM-001-AUDIT-RIGHTS,audit_rights,DOC-MER-CTR-RCM-001-SECURITY-CONTROL,operating,,Revenue Cycle Operations Lead,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-HR-BPO-001-1,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,CONTROL-MER-CTR-HR-BPO-001-DATA-ACCESS,data_access,DOC-MER-CTR-HR-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Security GRC owner,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-HR-BPO-001-2,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,CONTROL-MER-CTR-HR-BPO-001-SEGREGATION-OF-DUTIES,segregation_of_duties,DOC-MER-CTR-HR-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,HR Shared Services Director,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-HR-BPO-001-3,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,CONTROL-MER-CTR-HR-BPO-001-SUBPROCESSOR-LOCATION,subprocessor_location,DOC-MER-CTR-HR-BPO-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-HR-BPO-001-4,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,CONTROL-MER-CTR-HR-BPO-001-AUDIT-RIGHTS,audit_rights,DOC-MER-CTR-HR-BPO-001-SECURITY-CONTROL,operating,,HR Shared Services Director,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-FIN-BPO-001-1,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,CONTROL-MER-CTR-FIN-BPO-001-DATA-ACCESS,data_access,DOC-MER-CTR-FIN-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Security GRC owner,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-FIN-BPO-001-2,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,CONTROL-MER-CTR-FIN-BPO-001-SEGREGATION-OF-DUTIES,segregation_of_duties,DOC-MER-CTR-FIN-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Accounting Operations Director,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-FIN-BPO-001-3,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,CONTROL-MER-CTR-FIN-BPO-001-SUBPROCESSOR-LOCATION,subprocessor_location,DOC-MER-CTR-FIN-BPO-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-FIN-BPO-001-4,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,CONTROL-MER-CTR-FIN-BPO-001-AUDIT-RIGHTS,audit_rights,DOC-MER-CTR-FIN-BPO-001-SECURITY-CONTROL,operating,,Accounting Operations Director,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SC-BPO-001-1,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,CONTROL-MER-CTR-SC-BPO-001-DATA-ACCESS,data_access,DOC-MER-CTR-SC-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Security GRC owner,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SC-BPO-001-2,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,CONTROL-MER-CTR-SC-BPO-001-SEGREGATION-OF-DUTIES,segregation_of_duties,DOC-MER-CTR-SC-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Procure-to-Pay Operations Lead,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SC-BPO-001-3,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,CONTROL-MER-CTR-SC-BPO-001-SUBPROCESSOR-LOCATION,subprocessor_location,DOC-MER-CTR-SC-BPO-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SC-BPO-001-4,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,CONTROL-MER-CTR-SC-BPO-001-AUDIT-RIGHTS,audit_rights,DOC-MER-CTR-SC-BPO-001-SECURITY-CONTROL,operating,,Procure-to-Pay Operations Lead,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SSO-BPO-001-1,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,CONTROL-MER-CTR-SSO-BPO-001-DATA-ACCESS,data_access,DOC-MER-CTR-SSO-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Security GRC owner,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SSO-BPO-001-2,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,CONTROL-MER-CTR-SSO-BPO-001-SEGREGATION-OF-DUTIES,segregation_of_duties,DOC-MER-CTR-SSO-BPO-001-SECURITY-CONTROL,exception_open,Synthetic open control exception blocks vendor outreach and value claim.,Shared Services Transition Lead,open_exception_blocks_action
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SSO-BPO-001-3,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,CONTROL-MER-CTR-SSO-BPO-001-SUBPROCESSOR-LOCATION,subprocessor_location,DOC-MER-CTR-SSO-BPO-001-SECURITY-CONTROL,operating,,Security GRC owner,accepted
meridian-health,GRC / IAM control evidence companion extract,risk_control_evidence,CTRL-MER-CTR-SSO-BPO-001-4,extract-meridian-controls-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,CONTROL-MER-CTR-SSO-BPO-001-AUDIT-RIGHTS,audit_rights,DOC-MER-CTR-SSO-BPO-001-SECURITY-CONTROL,operating,,Shared Services Transition Lead,accepted
