tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,service_tower_id,service_tower,process_name,location,in_scope_work,out_of_scope_work,retained_responsibility,supplier_responsibility,system_of_record,handoff_gate,review_state
meridian-health,Epic Resolute / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-RCM-001-1,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,SVC-MER-CTR-RCM-001-1,claims intake,claims intake,Denver service center,Operate claims intake queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Revenue Cycle Operations Lead,NorthBridge RCM Services LLC delivery lead,Epic Resolute,accepted_for_offline_optimize,accepted_synthetic_fixture
meridian-health,Epic Resolute / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-RCM-001-2,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,SVC-MER-CTR-RCM-001-2,denial management,denial management,remote US operations,Operate denial management queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Finance Transformation Controller,NorthBridge RCM Services LLC delivery lead,Epic Resolute,accepted_for_offline_optimize,accepted_synthetic_fixture
meridian-health,Epic Resolute / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-RCM-001-3,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,SVC-MER-CTR-RCM-001-3,payment posting,payment posting,offshore analytics pod,Operate payment posting queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Revenue Cycle Operations Lead,NorthBridge RCM Services LLC delivery lead,Epic Resolute,accepted_for_offline_optimize,accepted_synthetic_fixture
meridian-health,Epic Resolute / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-RCM-001-4,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,SVC-MER-CTR-RCM-001-4,patient billing,patient billing,Denver service center,Operate patient billing queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Finance Transformation Controller,NorthBridge RCM Services LLC delivery lead,Epic Resolute,accepted_for_offline_optimize,accepted_synthetic_fixture
meridian-health,Workday HCM / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-HR-BPO-001-1,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-1,payroll cases,payroll cases,US HR service center,Operate payroll cases queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",HR Shared Services Director,PeopleBridge Operations Inc. delivery lead,Workday HCM,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday HCM / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-HR-BPO-001-2,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,benefits administration,benefits administration,Manila HR case pod,Operate benefits administration queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",HR Finance Partner,PeopleBridge Operations Inc. delivery lead,Workday HCM,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday HCM / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-HR-BPO-001-3,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,onboarding,onboarding,retained HR COE,Operate onboarding queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",HR Shared Services Director,PeopleBridge Operations Inc. delivery lead,Workday HCM,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday HCM / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-HR-BPO-001-4,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-4,offboarding,offboarding,US HR service center,Operate offboarding queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",HR Finance Partner,PeopleBridge Operations Inc. delivery lead,Workday HCM,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday Finance / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-FIN-BPO-001-1,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,accounts payable,accounts payable,Denver finance hub,Operate accounts payable queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Accounting Operations Director,LedgerWorks Managed Finance Ltd. delivery lead,Workday Finance,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday Finance / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-FIN-BPO-001-2,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,month-end close,month-end close,nearshore finance center,Operate month-end close queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",FP&A Shared Services Lead,LedgerWorks Managed Finance Ltd. delivery lead,Workday Finance,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday Finance / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-FIN-BPO-001-3,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,reconciliations,reconciliations,retained controller team,Operate reconciliations queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Accounting Operations Director,LedgerWorks Managed Finance Ltd. delivery lead,Workday Finance,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Workday Finance / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-FIN-BPO-001-4,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-4,management reporting,management reporting,Denver finance hub,Operate management reporting queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",FP&A Shared Services Lead,LedgerWorks Managed Finance Ltd. delivery lead,Workday Finance,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Coupa / ERP P2P / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SC-BPO-001-1,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,requisitions,requisitions,hospital supply desk,Operate requisitions queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Procure-to-Pay Operations Lead,ProcureHealth Services LLC delivery lead,Coupa / ERP P2P,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Coupa / ERP P2P / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SC-BPO-001-2,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,PO conversion,PO conversion,P2P command center,Operate PO conversion queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Supply Chain Finance Lead,ProcureHealth Services LLC delivery lead,Coupa / ERP P2P,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Coupa / ERP P2P / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SC-BPO-001-3,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,invoice exceptions,invoice exceptions,retained sourcing desk,Operate invoice exceptions queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Procure-to-Pay Operations Lead,ProcureHealth Services LLC delivery lead,Coupa / ERP P2P,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,Coupa / ERP P2P / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SC-BPO-001-4,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-4,vendor master,vendor master,hospital supply desk,Operate vendor master queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Supply Chain Finance Lead,ProcureHealth Services LLC delivery lead,Coupa / ERP P2P,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,PMO Transition Tracker / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SSO-BPO-001-1,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,SVC-MER-CTR-SSO-BPO-001-1,cross-process governance,cross-process governance,Denver retained hub,Operate cross-process governance queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Shared Services Transition Lead,Helix Shared Services Group delivery lead,PMO Transition Tracker,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,PMO Transition Tracker / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SSO-BPO-001-2,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,SVC-MER-CTR-SSO-BPO-001-2,labor transition,labor transition,transition war room,Operate labor transition queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Enterprise Finance PMO,Helix Shared Services Group delivery lead,PMO Transition Tracker,requires_reviewer_decision,accepted_synthetic_fixture
meridian-health,PMO Transition Tracker / service catalog companion extract,service_scope_line,SCOPE-MER-CTR-SSO-BPO-001-3,extract-meridian-scope-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,SVC-MER-CTR-SSO-BPO-001-3,knowledge transfer,knowledge transfer,supplier delivery network,Operate knowledge transfer queue and produce native operational evidence.,"Policy approval, final value claim, award decision, and legal exception approval retained by Meridian.",Shared Services Transition Lead,Helix Shared Services Group delivery lead,PMO Transition Tracker,requires_reviewer_decision,accepted_synthetic_fixture
