tenant_key,dataset_version,evidence_link_id,contract_id,source_record_id,linked_entity_type,linked_entity_id,relationship_method,relationship_confidence,match_basis,candidate_rank,review_state,reviewer_role,effective_from,effective_to
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0001,MER-CTR-RCM-001,CLM-MER-CTR-RCM-001,contract,MER-CTR-RCM-001,declared_contract_id_source_record_and_steward_review,0.96,contract register declared ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0002,MER-CTR-RCM-001,DOCINV-DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,document,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,declared_contract_id_source_record_and_steward_review,0.96,document inventory declared ID and hash,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0003,MER-CTR-RCM-001,CLAUSE-DOC-MER-CTR-RCM-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,declared_contract_id_source_record_and_steward_review,0.96,page span clause extraction,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0004,MER-CTR-RCM-001,PRICE-MER-CTR-RCM-001-1,pricing_line,PL-MER-CTR-RCM-001-1,declared_contract_id_source_record_and_steward_review,0.96,pricing line declared contract ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0005,MER-CTR-RCM-001,AP-MER-CTR-RCM-001-2026-07-1,invoice_line,APLINE-MER-CTR-RCM-001-2026-07-1,declared_contract_id_source_record_and_steward_review,0.96,invoice line declared contract ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0006,MER-CTR-RCM-001,SLA-MER-CTR-RCM-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-RCM-001-2026-07-cycle_time,declared_contract_id_source_record_and_steward_review,0.96,SLA event declared contract ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0007,MER-CTR-RCM-001,FIN-MER-CTR-RCM-001-2027-Q1,finance_period,FIN-MER-CTR-RCM-001-2027-Q1,declared_contract_id_source_record_and_steward_review,0.96,finance period declared contract ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0008,MER-CTR-HR-BPO-001,CLM-MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,declared_contract_id_source_record_and_steward_review,0.96,contract register declared ID,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0009,MER-CTR-HR-BPO-001,DOCINV-DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,document,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,declared_contract_id_source_record_and_steward_review,0.96,document inventory declared ID and hash,1,accepted,AbarVa synthetic data steward,2027-01-01,
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,LINK-0010,MER-CTR-HR-BPO-001,CLAUSE-DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE,declared_contract_id_source_record_and_steward_review,0.96,page span clause extraction,1,accepted,AbarVa synthetic data steward,2027-01-01,
