file,line,schema,table,full_table_name,sunset_status,classification_reason,next_action,owner_to_confirm,live_readback_required,parity_target,deletion_authorization_required
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,77,operations,job_run,operations.job_run,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,89,operations,job_stage,operations.job_stage,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,104,operations,job_checkpoint,operations.job_checkpoint,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,114,operations,job_attempt,operations.job_attempt,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,125,operations,load_result,operations.load_result,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,132,operations,quarantine_summary,operations.quarantine_summary,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,140,operations,backfill_queue,operations.backfill_queue,HOLD_UNTIL_LIVE_READBACK,No safe static classification from name/path alone.,Inventory live writers/readers before assigning retire/keep action.,live data-plane owner,True,to be assigned after live writer/reader inventory,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,149,source_registry,parser_contract,source_registry.parser_contract,REPLACE_WITH_ECL_PROJECTION,Product-specific or product-read-model table.,Rebuild as ECL projection/cube or compatibility bridge after parity and browser proof.,product owner plus ECL projection owner,True,ECL projection or cube,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,157,source_registry,source,source_registry.source,REPLACE_WITH_ECL_PROJECTION,Product-specific or product-read-model table.,Rebuild as ECL projection/cube or compatibility bridge after parity and browser proof.,product owner plus ECL projection owner,True,ECL projection or cube,True
clients/hc-demo-new/18-phase2b3c-azure-lab-implementation/02-database-migrations/001_physical_model.sql,168,source_registry,source_version,source_registry.source_version,REPLACE_WITH_ECL_PROJECTION,Product-specific or product-read-model table.,Rebuild as ECL projection/cube or compatibility bridge after parity and browser proof.,product owner plus ECL projection owner,True,ECL projection or cube,True
