record_id,business_unit,use_case_name,use_case_status,readiness_status,funding_status,measurement_status,risk_control_status,tower_tracking_status,evidence_id,source_fact_id
MER-V3-0001,claims_and_eligibility,Unified clinical + claims lakehouse: EMR clinical,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0100,fact:18_operational_process_evidence:MER-V3-0001
MER-V3-0002,claims_and_eligibility,Unified clinical + claims lakehouse: claims,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0101,fact:18_operational_process_evidence:MER-V3-0002
MER-V3-0003,claims_and_eligibility,Unified clinical + claims lakehouse: pharmacy,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0102,fact:18_operational_process_evidence:MER-V3-0003
MER-V3-0004,claims_and_eligibility,Governed data foundation for AI / LLM automation: prior authorization,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0103,fact:18_operational_process_evidence:MER-V3-0004
MER-V3-0005,data_analytics_and_ai_platform,Governed data foundation for AI / LLM automation: coding,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0104,fact:18_operational_process_evidence:MER-V3-0005
MER-V3-0006,data_analytics_and_ai_platform,Governed data foundation for AI / LLM automation: utilization management,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0105,fact:18_operational_process_evidence:MER-V3-0006
MER-V3-0007,member_services_contact_center,Call center optimization: transcripts,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0106,fact:18_operational_process_evidence:MER-V3-0007
MER-V3-0008,member_services_contact_center,Call center optimization: CRM cases,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0107,fact:14_metrics_outcomes:MER-V3-0008
MER-V3-0009,member_services_contact_center,Call center optimization: claims status,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0108,fact:14_metrics_outcomes:MER-V3-0009
MER-V3-0010,clinical_operations,Provider quality and performance: HEDIS,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0109,fact:14_metrics_outcomes:MER-V3-0010
MER-V3-0011,clinical_operations,Provider quality and performance: STAR,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0110,fact:14_metrics_outcomes:MER-V3-0011
MER-V3-0012,clinical_operations,Provider quality and performance: provider attribution,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0111,fact:14_metrics_outcomes:MER-V3-0012
MER-V3-0013,claims_and_eligibility,End-to-end cost transparency: claims,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0112,fact:14_metrics_outcomes:MER-V3-0013
MER-V3-0014,cross_enterprise,End-to-end cost transparency: capitation,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0113,fact:14_metrics_outcomes:MER-V3-0014
MER-V3-0015,clinical_operations,End-to-end cost transparency: provider contracts,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0114,fact:14_metrics_outcomes:MER-V3-0015
MER-V3-0016,claims_and_eligibility,Payment integrity and leakage reduction: claims anomalies,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0115,fact:14_metrics_outcomes:MER-V3-0016
MER-V3-0017,finance_revenue_cycle,Payment integrity and leakage reduction: fraud waste abuse,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0116,fact:14_metrics_outcomes:MER-V3-0017
MER-V3-0018,finance_revenue_cycle,Payment integrity and leakage reduction: billing patterns,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0117,fact:14_metrics_outcomes:MER-V3-0018
MER-V3-0019,cross_enterprise,Automated close and reporting: GL,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0118,fact:14_metrics_outcomes:MER-V3-0019
MER-V3-0020,cross_enterprise,Automated close and reporting: close process,candidate,not_assessed,not_approved,baseline_required,controls_required,opportunity_only,MER-V3-EVID-0119,fact:14_metrics_outcomes:MER-V3-0020
