profile_id,tenant_key,entity_type,entity_key,display_name,record_count,confidence,summary
profile:applications_systems:Epic_Hyperspace,meridian-health,applications_systems,Epic Hyperspace,Epic Hyperspace,1,high,Epic Hyperspace
profile:applications_systems:Epic_Clarity,meridian-health,applications_systems,Epic Clarity,Epic Clarity,1,high,Epic Clarity
profile:applications_systems:Epic_Caboodle,meridian-health,applications_systems,Epic Caboodle,Epic Caboodle,1,high,Epic Caboodle
profile:applications_systems:On-prem_SQL_Server_reporting_marts,meridian-health,applications_systems,On-prem SQL Server reporting marts,On-prem SQL Server reporting marts,1,medium,On-prem SQL Server reporting marts
profile:applications_systems:Tableau_reporting_estate,meridian-health,applications_systems,Tableau reporting estate,Tableau reporting estate,1,high,Tableau reporting estate
profile:applications_systems:SAS_analytics_estate,meridian-health,applications_systems,SAS analytics estate,SAS analytics estate,1,high,SAS analytics estate
profile:applications_systems:Power_BI_reporting_estate,meridian-health,applications_systems,Power BI reporting estate,Power BI reporting estate,1,high,Power BI reporting estate
profile:applications_systems:Claims_administration_platform,meridian-health,applications_systems,Claims administration platform,Claims administration platform,1,medium,Claims administration platform
profile:applications_systems:Pharmacy_claims_platform,meridian-health,applications_systems,Pharmacy claims platform,Pharmacy claims platform,1,high,Pharmacy claims platform
profile:applications_systems:CRM_/_member_case_management,meridian-health,applications_systems,CRM / member case management,CRM / member case management,1,high,CRM / member case management
profile:applications_systems:Contact_center_transcript_and_telephony_platform,meridian-health,applications_systems,Contact center transcript and telephony platform,Contact center transcript and telephony platform,1,high,Contact center transcript and telephony platform
profile:applications_systems:General_ledger_and_close_reporting,meridian-health,applications_systems,General ledger and close reporting,General ledger and close reporting,1,medium,General ledger and close reporting
profile:applications_systems:Provider_contract_repository,meridian-health,applications_systems,Provider contract repository,Provider contract repository,1,high,Provider contract repository
profile:applications_systems:AWS_analytics_foundation,meridian-health,applications_systems,AWS analytics foundation,AWS analytics foundation,1,high,AWS analytics foundation
profile:applications_systems:Databricks_on_AWS,meridian-health,applications_systems,Databricks on AWS,Databricks on AWS,1,high,Databricks on AWS
profile:applications_systems:CEO_/_Enterprise_Strategy:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,2,medium,CEO / Enterprise Strategy: Unified clinical + claims lakehouse; CEO / Enterprise Strategy: Unified clinical + claims lakehouse
profile:applications_systems:CEO_/_Enterprise_Strategy:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,2,medium,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation; CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation
profile:applications_systems:CEO_/_Enterprise_Strategy:_Call_center_optimization,meridian-health,applications_systems,CEO / Enterprise Strategy: Call center optimization,CEO / Enterprise Strategy: Call center optimization,2,high,CEO / Enterprise Strategy: Call center optimization; CEO / Enterprise Strategy: Call center optimization
profile:applications_systems:CEO_/_Enterprise_Strategy:_Provider_quality_and_performance,meridian-health,applications_systems,CEO / Enterprise Strategy: Provider quality and performance,CEO / Enterprise Strategy: Provider quality and performance,2,high,CEO / Enterprise Strategy: Provider quality and performance; CEO / Enterprise Strategy: Provider quality and performance
