record_id,use_case_name,use_case_status,funding_status,ai_spend_type,data_domain,affected_process,derived_business_unit,mapping_method,source_fields_used,evidence_id,review_status
MER-V3-0001,Unified clinical + claims lakehouse: EMR clinical,candidate,not_approved,candidate_ai_opportunity,EMR clinical,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0100,derived_mapping_reviewable
MER-V3-0002,Unified clinical + claims lakehouse: claims,candidate,not_approved,candidate_ai_opportunity,claims,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0101,derived_mapping_reviewable
MER-V3-0003,Unified clinical + claims lakehouse: pharmacy,candidate,not_approved,candidate_ai_opportunity,pharmacy,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0102,derived_mapping_reviewable
MER-V3-0004,Governed data foundation for AI / LLM automation: prior authorization,candidate,not_approved,candidate_ai_opportunity,prior authorization,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0103,derived_mapping_reviewable
MER-V3-0005,Governed data foundation for AI / LLM automation: coding,candidate,not_approved,candidate_ai_opportunity,coding,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0104,derived_mapping_reviewable
MER-V3-0006,Governed data foundation for AI / LLM automation: utilization management,candidate,not_approved,candidate_ai_opportunity,utilization management,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0105,derived_mapping_reviewable
MER-V3-0007,Call center optimization: transcripts,candidate,not_approved,candidate_ai_opportunity,transcripts,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0106,derived_mapping_reviewable
MER-V3-0008,Call center optimization: CRM cases,candidate,not_approved,candidate_ai_opportunity,CRM cases,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0107,derived_mapping_reviewable
MER-V3-0009,Call center optimization: claims status,candidate,not_approved,candidate_ai_opportunity,claims status,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0108,derived_mapping_reviewable
MER-V3-0010,Provider quality and performance: HEDIS,candidate,not_approved,candidate_ai_opportunity,HEDIS,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0109,derived_mapping_reviewable
MER-V3-0011,Provider quality and performance: STAR,candidate,not_approved,candidate_ai_opportunity,STAR,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0110,derived_mapping_reviewable
MER-V3-0012,Provider quality and performance: provider attribution,candidate,not_approved,candidate_ai_opportunity,provider attribution,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0111,derived_mapping_reviewable
