record_id,business_name,budget_amount_usd,run_budget_usd,change_budget_usd,evidence_id,source_fact_id
MER-V3-BUD-RUN-APP-01,Epic clinical/EHR run support FY26 budget,58000000,58000000,0,MER-V3-EVID-BUD-RUN-APP-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-01
MER-V3-BUD-RUN-APP-02,Payer claims/core admin run support FY26 budget,42000000,42000000,0,MER-V3-EVID-BUD-RUN-APP-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-02
MER-V3-BUD-RUN-APP-03,"ERP, revenue cycle, and corporate apps support FY26 budget",16800000,16800000,0,MER-V3-EVID-BUD-RUN-APP-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-03
MER-V3-BUD-RUN-APP-04,Integration and middleware run support FY26 budget,8500000,8500000,0,MER-V3-EVID-BUD-RUN-APP-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-04
MER-V3-BUD-RUN-APP-05,Quality/regulatory reporting app support FY26 budget,6000000,6000000,0,MER-V3-EVID-BUD-RUN-APP-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-05
MER-V3-BUD-RUN-APP-06,Workday HR/finance platform run and AI-enabled workflow support FY26 budget,1200000,1200000,0,MER-V3-EVID-BUD-RUN-APP-06,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-06
MER-V3-BUD-RUN-INFRA-01,Hybrid infrastructure and data center operations FY26 budget,30000000,30000000,0,MER-V3-EVID-BUD-RUN-INFRA-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-01
MER-V3-BUD-RUN-INFRA-02,Cloud consumption and platform run FY26 budget,28000000,28000000,0,MER-V3-EVID-BUD-RUN-INFRA-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-02
MER-V3-BUD-RUN-INFRA-03,"Network, telecom, and connectivity FY26 budget",18000000,18000000,0,MER-V3-EVID-BUD-RUN-INFRA-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-03
MER-V3-BUD-RUN-INFRA-04,Database and middleware operations FY26 budget,14000000,14000000,0,MER-V3-EVID-BUD-RUN-INFRA-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-04
MER-V3-BUD-RUN-INFRA-05,"Backup, DR, monitoring, observability FY26 budget",12500000,12500000,0,MER-V3-EVID-BUD-RUN-INFRA-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-05
MER-V3-BUD-RUN-MGS-01,EHR managed services / release support FY26 budget,30000000,30000000,0,MER-V3-EVID-BUD-RUN-MGS-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-01
MER-V3-BUD-RUN-MGS-02,Enterprise application managed services FY26 budget,34000000,34000000,0,MER-V3-EVID-BUD-RUN-MGS-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-02
MER-V3-BUD-RUN-MGS-03,Infrastructure managed services FY26 budget,28000000,28000000,0,MER-V3-EVID-BUD-RUN-MGS-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-03
MER-V3-BUD-RUN-MGS-04,Security managed services FY26 budget,14000000,14000000,0,MER-V3-EVID-BUD-RUN-MGS-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-04
MER-V3-BUD-RUN-MGS-05,Service desk managed services FY26 budget,12000000,12000000,0,MER-V3-EVID-BUD-RUN-MGS-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-05
