insight_id,source_record_id,source_fact_id,stakeholder_role,interview_group,priority_theme,business_priority,key_initiative,move_candidate_id,matched_candidate_use_case_id,matched_metric_fact_id,matched_risk_control_fact_id,evidence_id,confidence,allowed_use,blocked_use
interview_insight:MER-INT-01:Q01,MER-INT-01:Q01,fact:interviews_executive_interviews:MER-INT-01:Q01,CEO,CEO / Enterprise Strategy,strategy,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0001,MER-SA07-INT-EVID-0001,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q02,MER-INT-01:Q02,fact:interviews_executive_interviews:MER-INT-01:Q02,CEO,CEO / Enterprise Strategy,operating model,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0006,MER-SA07-INT-EVID-0002,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q03,MER-INT-01:Q03,fact:interviews_executive_interviews:MER-INT-01:Q03,CEO,CEO / Enterprise Strategy,vendor,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0011,MER-SA07-INT-EVID-0003,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q04,MER-INT-01:Q04,fact:interviews_executive_interviews:MER-INT-01:Q04,CEO,CEO / Enterprise Strategy,platform,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0016,MER-SA07-INT-EVID-0004,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q05,MER-INT-01:Q05,fact:interviews_executive_interviews:MER-INT-01:Q05,CEO,CEO / Enterprise Strategy,data,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0017,MER-SA07-INT-EVID-0005,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q06,MER-INT-01:Q06,fact:interviews_executive_interviews:MER-INT-01:Q06,CEO,CEO / Enterprise Strategy,modernization,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0022,MER-SA07-INT-EVID-0006,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q07,MER-INT-01:Q07,fact:interviews_executive_interviews:MER-INT-01:Q07,CEO,CEO / Enterprise Strategy,AI readiness,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0027,MER-SA07-INT-EVID-0007,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q08,MER-INT-01:Q08,fact:interviews_executive_interviews:MER-INT-01:Q08,CEO,CEO / Enterprise Strategy,risk,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0004,MER-SA07-INT-EVID-0008,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q09,MER-INT-01:Q09,fact:interviews_executive_interviews:MER-INT-01:Q09,CEO,CEO / Enterprise Strategy,metrics,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0005,MER-SA07-INT-EVID-0009,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q10,MER-INT-01:Q10,fact:interviews_executive_interviews:MER-INT-01:Q10,CEO,CEO / Enterprise Strategy,value,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0010,MER-SA07-INT-EVID-0010,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
