record_id,business_name,ai_tagged_budget_usd,ai_spend_type,ai_spend_category,additive_status,evidence_id,source_fact_id
MER-V3-BUD-RUN-APP-04,Integration and middleware run support FY26 budget,2500000,embedded_platform_ai,erp_ai,non_additive_lens,MER-V3-EVID-BUD-RUN-APP-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-04
MER-V3-BUD-RUN-APP-06,Workday HR/finance platform run and AI-enabled workflow support FY26 budget,1200000,embedded_platform_ai,workday_ai,non_additive_lens,MER-V3-EVID-BUD-RUN-APP-06,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-APP-06
MER-V3-BUD-RUN-INFRA-02,Cloud consumption and platform run FY26 budget,4000000,embedded_platform_ai,cloud_ai_services,non_additive_lens,MER-V3-EVID-BUD-RUN-INFRA-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-INFRA-02
MER-V3-BUD-RUN-MGS-05,Service desk managed services FY26 budget,4000000,embedded_platform_ai,servicenow_ai,non_additive_lens,MER-V3-EVID-BUD-RUN-MGS-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-05
MER-V3-BUD-RUN-WKPL-01,Microsoft 365 / collaboration licenses FY26 budget,8500000,embedded_platform_ai,copilot_productivity,non_additive_lens,MER-V3-EVID-BUD-RUN-WKPL-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-01
MER-V3-BUD-RUN-WKPL-04,Collaboration adoption/change support FY26 budget,2000000,ai_training_change,copilot_productivity,non_additive_lens,MER-V3-EVID-BUD-RUN-WKPL-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-04
MER-V3-BUD-CHG-DATA-01,Databricks/lakehouse modernization FY26 budget,14000000,ai_enablement_foundation,data_ai_platform,non_additive_lens,MER-V3-EVID-BUD-CHG-DATA-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-01
MER-V3-BUD-CHG-DATA-05,Data catalog/governance controls FY26 budget,3500000,ai_governance_controls,data_ai_platform,non_additive_lens,MER-V3-EVID-BUD-CHG-DATA-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-05
MER-V3-BUD-CHG-INT-06,Developer productivity AI and SDLC automation FY26 budget,2900000,embedded_platform_ai,developer_productivity_ai,non_additive_lens,MER-V3-EVID-BUD-CHG-INT-06,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-06
MER-V3-BUD-CHG-MBR-01,Contact center platform modernization FY26 budget,3800000,ai_enablement_foundation,crm_contact_center_ai,non_additive_lens,MER-V3-EVID-BUD-CHG-MBR-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-01
MER-V3-BUD-CHG-MBR-04,Knowledge base migration FY26 budget,2000000,ai_enablement_foundation,crm_contact_center_ai,non_additive_lens,MER-V3-EVID-BUD-CHG-MBR-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-04
MER-V3-BUD-CHG-AIGOV-02,Model inventory and risk register FY26 budget,2000000,ai_governance_controls,ai_governance,non_additive_lens,MER-V3-EVID-BUD-CHG-AIGOV-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-02
MER-V3-BUD-CHG-AIGOV-03,HITL/privacy validation FY26 budget,2000000,ai_governance_controls,ai_governance,non_additive_lens,MER-V3-EVID-BUD-CHG-AIGOV-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-03
MER-V3-BUD-CHG-AIGOV-04,AI adoption/change enablement FY26 budget,1300000,ai_training_change,ai_training_change,non_additive_lens,MER-V3-EVID-BUD-CHG-AIGOV-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-04
