gap_id,category,severity,description,source_file,source_record_id,source_fact_id,evidence_id,recommended_next_evidence
gap:100000,source_or_evidence_gap,medium,FP&A validation and usage extracts required,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0019,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0019,MER-SA07-INT-EVID-9019,FP&A validation and usage extracts required
gap:200000,risk_or_control_gap,medium,AI spend can look adopted without released value,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0019,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0019,MER-SA07-INT-EVID-9019,FP&A validation and usage extracts required
gap:300000,value_claim_validation_gap,medium,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0019,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0019,MER-SA07-INT-EVID-9019,FP&A validation and usage extracts required
gap:400000,source_or_evidence_gap,medium,"Approved business case, baseline, and PHI controls required",01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0020,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0020,MER-SA07-INT-EVID-9020,"Approved business case, baseline, and PHI controls required"
gap:500000,risk_or_control_gap,medium,platform spend could be mistaken for AI Assist funding,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0020,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0020,MER-SA07-INT-EVID-9020,"Approved business case, baseline, and PHI controls required"
gap:600000,value_claim_validation_gap,medium,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0020,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0020,MER-SA07-INT-EVID-9020,"Approved business case, baseline, and PHI controls required"
gap:700000,source_or_evidence_gap,medium,"HITL, audit logging, and model-risk evidence required",01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0021,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0021,MER-SA07-INT-EVID-9021,"HITL, audit logging, and model-risk evidence required"
gap:800000,risk_or_control_gap,medium,AI usage without audit controls creates compliance risk,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0021,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0021,MER-SA07-INT-EVID-9021,"HITL, audit logging, and model-risk evidence required"
gap:900000,value_claim_validation_gap,medium,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0021,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0021,MER-SA07-INT-EVID-9021,"HITL, audit logging, and model-risk evidence required"
gap:100000,source_or_evidence_gap,medium,"AHT, FCR, transfer, CSAT, and QA baselines required",01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0022,fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0022,MER-SA07-INT-EVID-9022,"AHT, FCR, transfer, CSAT, and QA baselines required"
