candidate_use_case_id,candidate_name,funding_status,interview_support_count,stakeholder_roles,required_evidence,interview_source_fact_ids,evidence_ids,boundary
MER-V3-0001,Unified clinical + claims lakehouse: EMR clinical,not_approved,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","No certified medallion architecture,No patient/member identity spine loaded,Claims and pharmacy harmonization not proven,AWS/Databricks foundation not ready","fact:interviews_executive_interviews:MER-INT-01:Q01,fact:interviews_executive_interviews:MER-INT-01:Q08,fact:interviews_executive_interviews:MER-INT-02:Q07,fact:interviews_executive_interviews:MER-INT-03:Q06,fact:interviews_executive_interviews:MER-INT-04:Q05,fact:interviews_executive_interviews:MER-INT-04:Q12,fact:interviews_executive_interviews:MER-INT-05:Q04,fact:interviews_executive_interviews:MER-INT-05:Q11,fact:interviews_executive_interviews:MER-INT-06:Q03,fact:interviews_executive_interviews:MER-INT-06:Q10,fact:interviews_executive_interviews:MER-INT-07:Q02,fact:interviews_executive_interviews:MER-INT-07:Q09,fact:interviews_executive_interviews:MER-INT-08:Q01,fact:interviews_executive_interviews:MER-INT-08:Q08,fact:interviews_executive_interviews:MER-INT-09:Q07,fact:interviews_executive_interviews:MER-INT-10:Q06,fact:interviews_executive_interviews:MER-INT-11:Q05,fact:interviews_executive_interviews:MER-INT-11:Q12,fact:interviews_executive_interviews:MER-INT-12:Q04,fact:interviews_executive_interviews:MER-INT-12:Q11,fact:interviews_executive_interviews:MER-INT-13:Q03,fact:interviews_executive_interviews:MER-INT-13:Q10,fact:interviews_executive_interviews:MER-INT-14:Q02,fact:interviews_executive_interviews:MER-INT-14:Q09,fact:interviews_executive_interviews:MER-INT-15:Q01,fact:interviews_executive_interviews:MER-INT-15:Q08,fact:interviews_executive_interviews:MER-INT-16:Q07,fact:interviews_executive_interviews:MER-INT-17:Q06,fact:interviews_executive_interviews:MER-INT-18:Q05,fact:interviews_executive_interviews:MER-INT-18:Q12","MER-SA07-INT-EVID-0001,MER-SA07-INT-EVID-0008,MER-SA07-INT-EVID-0019,MER-SA07-INT-EVID-0030,MER-SA07-INT-EVID-0041,MER-SA07-INT-EVID-0048,MER-SA07-INT-EVID-0052,MER-SA07-INT-EVID-0059,MER-SA07-INT-EVID-0063,MER-SA07-INT-EVID-0070,MER-SA07-INT-EVID-0074,MER-SA07-INT-EVID-0081,MER-SA07-INT-EVID-0085,MER-SA07-INT-EVID-0092,MER-SA07-INT-EVID-0103,MER-SA07-INT-EVID-0114,MER-SA07-INT-EVID-0125,MER-SA07-INT-EVID-0132,MER-SA07-INT-EVID-0136,MER-SA07-INT-EVID-0143,MER-SA07-INT-EVID-0147,MER-SA07-INT-EVID-0154,MER-SA07-INT-EVID-0158,MER-SA07-INT-EVID-0165,MER-SA07-INT-EVID-0169,MER-SA07-INT-EVID-0176,MER-SA07-INT-EVID-0187,MER-SA07-INT-EVID-0198,MER-SA07-INT-EVID-0209,MER-SA07-INT-EVID-0216",Interview support does not convert candidate funding status.
MER-V3-0002,Unified clinical + claims lakehouse: claims,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0003,Unified clinical + claims lakehouse: pharmacy,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0004,Governed data foundation for AI / LLM automation: prior authorization,not_approved,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","No formal data governance,No certified semantic layer,No AI audit trail evidence,Data quality rules not loaded","fact:interviews_executive_interviews:MER-INT-01:Q02,fact:interviews_executive_interviews:MER-INT-01:Q09,fact:interviews_executive_interviews:MER-INT-02:Q01,fact:interviews_executive_interviews:MER-INT-02:Q08,fact:interviews_executive_interviews:MER-INT-03:Q07,fact:interviews_executive_interviews:MER-INT-04:Q06,fact:interviews_executive_interviews:MER-INT-05:Q05,fact:interviews_executive_interviews:MER-INT-05:Q12,fact:interviews_executive_interviews:MER-INT-06:Q04,fact:interviews_executive_interviews:MER-INT-06:Q11,fact:interviews_executive_interviews:MER-INT-07:Q03,fact:interviews_executive_interviews:MER-INT-07:Q10,fact:interviews_executive_interviews:MER-INT-08:Q02,fact:interviews_executive_interviews:MER-INT-08:Q09,fact:interviews_executive_interviews:MER-INT-09:Q01,fact:interviews_executive_interviews:MER-INT-09:Q08,fact:interviews_executive_interviews:MER-INT-10:Q07,fact:interviews_executive_interviews:MER-INT-11:Q06,fact:interviews_executive_interviews:MER-INT-12:Q05,fact:interviews_executive_interviews:MER-INT-12:Q12,fact:interviews_executive_interviews:MER-INT-13:Q04,fact:interviews_executive_interviews:MER-INT-13:Q11,fact:interviews_executive_interviews:MER-INT-14:Q03,fact:interviews_executive_interviews:MER-INT-14:Q10,fact:interviews_executive_interviews:MER-INT-15:Q02,fact:interviews_executive_interviews:MER-INT-15:Q09,fact:interviews_executive_interviews:MER-INT-16:Q01,fact:interviews_executive_interviews:MER-INT-16:Q08,fact:interviews_executive_interviews:MER-INT-17:Q07,fact:interviews_executive_interviews:MER-INT-18:Q06","MER-SA07-INT-EVID-0002,MER-SA07-INT-EVID-0009,MER-SA07-INT-EVID-0013,MER-SA07-INT-EVID-0020,MER-SA07-INT-EVID-0031,MER-SA07-INT-EVID-0042,MER-SA07-INT-EVID-0053,MER-SA07-INT-EVID-0060,MER-SA07-INT-EVID-0064,MER-SA07-INT-EVID-0071,MER-SA07-INT-EVID-0075,MER-SA07-INT-EVID-0082,MER-SA07-INT-EVID-0086,MER-SA07-INT-EVID-0093,MER-SA07-INT-EVID-0097,MER-SA07-INT-EVID-0104,MER-SA07-INT-EVID-0115,MER-SA07-INT-EVID-0126,MER-SA07-INT-EVID-0137,MER-SA07-INT-EVID-0144,MER-SA07-INT-EVID-0148,MER-SA07-INT-EVID-0155,MER-SA07-INT-EVID-0159,MER-SA07-INT-EVID-0166,MER-SA07-INT-EVID-0170,MER-SA07-INT-EVID-0177,MER-SA07-INT-EVID-0181,MER-SA07-INT-EVID-0188,MER-SA07-INT-EVID-0199,MER-SA07-INT-EVID-0210",Interview support does not convert candidate funding status.
MER-V3-0005,Governed data foundation for AI / LLM automation: coding,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0006,Governed data foundation for AI / LLM automation: utilization management,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0007,Call center optimization: transcripts,not_approved,31,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","Transcript governance not loaded,Real-time integration not proven,Intent taxonomy not certified,Member identity linkage not proven","fact:interviews_executive_interviews:MER-INT-01:Q03,fact:interviews_executive_interviews:MER-INT-01:Q10,fact:interviews_executive_interviews:MER-INT-02:Q02,fact:interviews_executive_interviews:MER-INT-02:Q09,fact:interviews_executive_interviews:MER-INT-03:Q01,fact:interviews_executive_interviews:MER-INT-03:Q08,fact:interviews_executive_interviews:MER-INT-04:Q07,fact:interviews_executive_interviews:MER-INT-05:Q06,fact:interviews_executive_interviews:MER-INT-06:Q05,fact:interviews_executive_interviews:MER-INT-06:Q12,fact:interviews_executive_interviews:MER-INT-07:Q04,fact:interviews_executive_interviews:MER-INT-07:Q11,fact:interviews_executive_interviews:MER-INT-08:Q03,fact:interviews_executive_interviews:MER-INT-08:Q10,fact:interviews_executive_interviews:MER-INT-09:Q02,fact:interviews_executive_interviews:MER-INT-09:Q09,fact:interviews_executive_interviews:MER-INT-10:Q01,fact:interviews_executive_interviews:MER-INT-10:Q08,fact:interviews_executive_interviews:MER-INT-11:Q07,fact:interviews_executive_interviews:MER-INT-12:Q06,fact:interviews_executive_interviews:MER-INT-13:Q05,fact:interviews_executive_interviews:MER-INT-13:Q12,fact:interviews_executive_interviews:MER-INT-14:Q04,fact:interviews_executive_interviews:MER-INT-14:Q11,fact:interviews_executive_interviews:MER-INT-15:Q03,fact:interviews_executive_interviews:MER-INT-15:Q10,fact:interviews_executive_interviews:MER-INT-16:Q02,fact:interviews_executive_interviews:MER-INT-16:Q09,fact:interviews_executive_interviews:MER-INT-17:Q01,fact:interviews_executive_interviews:MER-INT-17:Q08,fact:interviews_executive_interviews:MER-INT-18:Q07","MER-SA07-INT-EVID-0003,MER-SA07-INT-EVID-0010,MER-SA07-INT-EVID-0014,MER-SA07-INT-EVID-0021,MER-SA07-INT-EVID-0025,MER-SA07-INT-EVID-0032,MER-SA07-INT-EVID-0043,MER-SA07-INT-EVID-0054,MER-SA07-INT-EVID-0065,MER-SA07-INT-EVID-0072,MER-SA07-INT-EVID-0076,MER-SA07-INT-EVID-0083,MER-SA07-INT-EVID-0087,MER-SA07-INT-EVID-0094,MER-SA07-INT-EVID-0098,MER-SA07-INT-EVID-0105,MER-SA07-INT-EVID-0109,MER-SA07-INT-EVID-0116,MER-SA07-INT-EVID-0127,MER-SA07-INT-EVID-0138,MER-SA07-INT-EVID-0149,MER-SA07-INT-EVID-0156,MER-SA07-INT-EVID-0160,MER-SA07-INT-EVID-0167,MER-SA07-INT-EVID-0171,MER-SA07-INT-EVID-0178,MER-SA07-INT-EVID-0182,MER-SA07-INT-EVID-0189,MER-SA07-INT-EVID-0193,MER-SA07-INT-EVID-0200,MER-SA07-INT-EVID-0211",Interview support does not convert candidate funding status.
MER-V3-0008,Call center optimization: CRM cases,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0009,Call center optimization: claims status,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0010,Provider quality and performance: HEDIS,not_approved,32,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","Measure logic fragmented across BI tools,Attribution ownership not proven,Provider contract linkage not certified,Near-real-time quality layer not proven","fact:interviews_executive_interviews:MER-INT-01:Q04,fact:interviews_executive_interviews:MER-INT-01:Q11,fact:interviews_executive_interviews:MER-INT-02:Q03,fact:interviews_executive_interviews:MER-INT-02:Q10,fact:interviews_executive_interviews:MER-INT-03:Q02,fact:interviews_executive_interviews:MER-INT-03:Q09,fact:interviews_executive_interviews:MER-INT-04:Q01,fact:interviews_executive_interviews:MER-INT-04:Q08,fact:interviews_executive_interviews:MER-INT-05:Q07,fact:interviews_executive_interviews:MER-INT-06:Q06,fact:interviews_executive_interviews:MER-INT-07:Q05,fact:interviews_executive_interviews:MER-INT-07:Q12,fact:interviews_executive_interviews:MER-INT-08:Q04,fact:interviews_executive_interviews:MER-INT-08:Q11,fact:interviews_executive_interviews:MER-INT-09:Q03,fact:interviews_executive_interviews:MER-INT-09:Q10,fact:interviews_executive_interviews:MER-INT-10:Q02,fact:interviews_executive_interviews:MER-INT-10:Q09,fact:interviews_executive_interviews:MER-INT-11:Q01,fact:interviews_executive_interviews:MER-INT-11:Q08,fact:interviews_executive_interviews:MER-INT-12:Q07,fact:interviews_executive_interviews:MER-INT-13:Q06,fact:interviews_executive_interviews:MER-INT-14:Q05,fact:interviews_executive_interviews:MER-INT-14:Q12,fact:interviews_executive_interviews:MER-INT-15:Q04,fact:interviews_executive_interviews:MER-INT-15:Q11,fact:interviews_executive_interviews:MER-INT-16:Q03,fact:interviews_executive_interviews:MER-INT-16:Q10,fact:interviews_executive_interviews:MER-INT-17:Q02,fact:interviews_executive_interviews:MER-INT-17:Q09,fact:interviews_executive_interviews:MER-INT-18:Q01,fact:interviews_executive_interviews:MER-INT-18:Q08","MER-SA07-INT-EVID-0004,MER-SA07-INT-EVID-0011,MER-SA07-INT-EVID-0015,MER-SA07-INT-EVID-0022,MER-SA07-INT-EVID-0026,MER-SA07-INT-EVID-0033,MER-SA07-INT-EVID-0037,MER-SA07-INT-EVID-0044,MER-SA07-INT-EVID-0055,MER-SA07-INT-EVID-0066,MER-SA07-INT-EVID-0077,MER-SA07-INT-EVID-0084,MER-SA07-INT-EVID-0088,MER-SA07-INT-EVID-0095,MER-SA07-INT-EVID-0099,MER-SA07-INT-EVID-0106,MER-SA07-INT-EVID-0110,MER-SA07-INT-EVID-0117,MER-SA07-INT-EVID-0121,MER-SA07-INT-EVID-0128,MER-SA07-INT-EVID-0139,MER-SA07-INT-EVID-0150,MER-SA07-INT-EVID-0161,MER-SA07-INT-EVID-0168,MER-SA07-INT-EVID-0172,MER-SA07-INT-EVID-0179,MER-SA07-INT-EVID-0183,MER-SA07-INT-EVID-0190,MER-SA07-INT-EVID-0194,MER-SA07-INT-EVID-0201,MER-SA07-INT-EVID-0205,MER-SA07-INT-EVID-0212",Interview support does not convert candidate funding status.
