evidence_id,source_file,record_id,status,resolved
MER-V3-EVID-0001,00_enterprise_profile.csv,MER-V3-0001,resolved_to_current_source_row_metadata,true
MER-V3-EVID-0002,01_business_functions.csv,MER-V3-0001,resolved_to_13_evidence_sources,true
MER-V3-EVID-0003,01_business_functions.csv,MER-V3-0002,resolved_to_13_evidence_sources,true
MER-V3-EVID-0004,01_business_functions.csv,MER-V3-0003,resolved_to_13_evidence_sources,true
MER-V3-EVID-0005,01_business_functions.csv,MER-V3-0004,resolved_to_13_evidence_sources,true
MER-V3-EVID-0006,01_business_functions.csv,MER-V3-0005,resolved_to_13_evidence_sources,true
MER-V3-EVID-0007,01_business_functions.csv,MER-V3-0006,resolved_to_13_evidence_sources,true
MER-V3-EVID-0008,01_business_functions.csv,MER-V3-0007,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0001,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0001,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0002,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0002,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0003,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0003,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0004,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0004,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0005,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0005,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0006,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0006,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0007,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0007,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0008,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0008,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0009,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0009,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0010,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0010,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0011,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0011,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0012,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0012,resolved_to_13_evidence_sources,true
MER-SA07-INT-EVID-0013,01_business_functions.csv,MER-SA07-01_BUSINESS_FUNCTIONS-0013,resolved_to_13_evidence_sources,true
