function_id,function_name,executive_owner_role,head_count,description
APX-BF-001,Store Operations,COO,145000,"Stores, district operations, labor execution, inventory handling"
APX-BF-002,Digital Commerce,Chief Digital Officer,4200,"Web, mobile, checkout, search, conversion, personalization"
APX-BF-003,Merchandising,Chief Merchandising Officer,3600,"Category planning, assortment, markdowns, vendor funds"
APX-BF-004,Supply Chain and Fulfillment,Chief Supply Chain Officer,22000,"DCs, transportation, last mile, inventory flow"
APX-BF-005,Loyalty and Customer Growth,Chief Marketing Officer,2100,"Loyalty, retail media, personalization, CRM"
APX-BF-006,Finance and FP&A,CFO,1800,"Margin, shrink, close, forecasting, capital governance"
APX-BF-007,Loss Prevention and Risk,Chief Risk Officer,2400,"Shrink, fraud, safety, internal controls"
APX-BF-008,Technology,CIO,6200,"Applications, infrastructure, data, security, AI platforms"
APX-BF-009,Human Resources,CHRO,1700,"Store labor, scheduling, hiring, training"
APX-BF-010,Procurement and Vendor Management,Chief Procurement Officer,650,"Sourcing, contracts, SaaS/vendor governance"
APX-BF-011,Real Estate and Facilities,Chief Real Estate Officer,900,"Stores, remodels, leases, facilities"
APX-BF-012,Private Brands,SVP Private Brands,720,"Product development, sourcing, quality"
