initiative_id,vendor_or_tool,ytd_spend_usd,annual_budget_usd,contract_value_usd,renewal_date,unit_economic_note
FC-AI-001,GitHub,1206207,3800000,11400000,2026-10-14,Sunset; reallocate budget
FC-AI-002,Databricks,2920633,4200000,4200000,2026-01-18,Scale only after evidence gate
FC-AI-003,OpenAI,2529674,4500000,13500000,2026-11-20,Within portfolio threshold
FC-AI-004,OpenAI,956973,1900000,5700000,2026-05-11,Scale only after evidence gate
FC-AI-005,SAS,1704263,5300000,10600000,2026-07-03,Within portfolio threshold
FC-AI-006,Feedzai,2169009,4100000,8200000,2026-07-02,Scale only after evidence gate
FC-AI-007,GitHub,913545,1700000,3400000,2026-03-10,Scale only after evidence gate
FC-AI-008,AWS Bedrock,1521969,2400000,7200000,2026-04-20,Scale only after evidence gate
FC-AI-009,Microsoft Copilot,1972133,4500000,13500000,2026-07-08,Scale only after evidence gate
FC-AI-010,AWS Bedrock,755457,2400000,2400000,2026-12-01,Sunset; reallocate budget
FC-AI-011,SAS,1745222,2900000,5800000,2026-08-03,Scale only after evidence gate
FC-AI-012,Anthropic,549066,1200000,2400000,2026-08-14,Scale only after evidence gate
FC-AI-013,Databricks,2092235,5100000,10200000,2026-06-02,Scale only after evidence gate
FC-AI-014,AWS Bedrock,1456676,3700000,11100000,2026-09-01,Within portfolio threshold
FC-AI-015,Anthropic,1206279,2500000,7500000,2026-10-28,Scale only after evidence gate
FC-AI-016,OpenAI,695538,1100000,2200000,2026-11-05,Scale only after evidence gate
FC-AI-017,Microsoft Copilot,1438714,2800000,5600000,2026-02-07,Scale only after evidence gate
FC-AI-018,GitHub,2426546,4800000,14400000,2026-10-13,Scale only after evidence gate
FC-AI-019,Microsoft Copilot,549523,1500000,3000000,2026-06-11,Sunset; reallocate budget
FC-AI-020,Microsoft Copilot,1796525,5400000,16200000,2026-02-25,Scale only after evidence gate
FC-AI-021,SAS,2650626,5200000,10400000,2026-06-07,Scale only after evidence gate
FC-AI-022,Databricks,3646169,5600000,11200000,2026-10-05,Scale only after evidence gate
FC-AI-023,Microsoft Copilot,1140580,1700000,5100000,2026-06-20,Scale only after evidence gate
FC-AI-024,AWS Bedrock,1185608,2900000,5800000,2026-12-20,Scale only after evidence gate
FC-AI-025,NICE Actimize,862917,1300000,1300000,2026-11-11,Scale only after evidence gate
FC-AI-026,Feedzai,2304429,3600000,3600000,2026-06-18,Scale only after evidence gate
FC-AI-027,GitHub,385855,800000,2400000,2026-11-09,Scale only after evidence gate
FC-AI-028,GitHub,871350,2100000,2100000,2026-01-02,Sunset; reallocate budget
FC-AI-029,Anthropic,556588,1000000,3000000,2026-02-28,Scale only after evidence gate
FC-AI-030,OpenAI,2711488,4000000,4000000,2026-02-15,Within portfolio threshold
FC-AI-031,OpenAI,1016508,2500000,5000000,2026-05-20,Scale only after evidence gate
FC-AI-032,Salesforce,972635,2400000,4800000,2026-05-12,Within portfolio threshold
FC-AI-033,Feedzai,3612762,5500000,11000000,2026-10-04,Within portfolio threshold
FC-AI-034,Microsoft Copilot,3313260,5900000,17700000,2026-04-15,Scale only after evidence gate
FC-AI-035,Microsoft Copilot,733968,2200000,4400000,2026-01-16,Within portfolio threshold
FC-AI-036,AWS Bedrock,595575,1400000,1400000,2026-07-15,Within portfolio threshold
FC-AI-037,Salesforce,1142280,2000000,2000000,2026-06-16,Sunset; reallocate budget
FC-AI-038,Anthropic,1065935,1800000,3600000,2026-09-10,Within portfolio threshold
FC-AI-039,Feedzai,2013531,5500000,5500000,2026-09-07,Within portfolio threshold
FC-AI-040,Microsoft Copilot,1843165,5200000,10400000,2026-08-05,Scale only after evidence gate
FC-AI-041,AWS Bedrock,3100723,5700000,5700000,2026-07-19,Scale only after evidence gate
FC-AI-042,SAS,3547466,5600000,16800000,2026-06-27,Scale only after evidence gate
