period,tool_name,licensed_users,active_users,prompts_or_actions,estimated_hours_saved,quality_or_control_flag
2026-02,M365 Copilot,614,232,29928,158,needs_evidence_review
2026-03,M365 Copilot,614,285,59565,204,normal
2026-04,M365 Copilot,614,307,38989,325,needs_evidence_review
2026-05,M365 Copilot,614,377,72007,322,normal
2026-06,M365 Copilot,614,466,24232,271,normal
2026-02,GitHub Copilot,4473,1627,283098,1660,normal
2026-03,GitHub Copilot,4473,2087,446618,2189,normal
2026-04,GitHub Copilot,4473,2402,170542,2532,needs_evidence_review
2026-05,GitHub Copilot,4473,2803,249467,1849,normal
2026-06,GitHub Copilot,4473,3227,667989,3220,normal
2026-02,AWS Bedrock / Claude,4422,1453,130770,940,normal
2026-03,AWS Bedrock / Claude,4422,2121,345723,1559,normal
2026-04,AWS Bedrock / Claude,4422,2408,370832,1848,normal
2026-05,AWS Bedrock / Claude,4422,2800,408800,2111,normal
2026-06,AWS Bedrock / Claude,4422,3197,617021,2507,needs_evidence_review
2026-02,Azure OpenAI,4154,1650,244200,1792,normal
2026-03,Azure OpenAI,4154,2012,152912,1129,needs_evidence_review
2026-04,Azure OpenAI,4154,2401,156065,1910,normal
2026-05,Azure OpenAI,4154,2446,359562,1493,normal
2026-06,Azure OpenAI,4154,2959,331408,3080,normal
2026-02,Glean Enterprise Search,7071,2743,460824,1367,normal
2026-03,Glean Enterprise Search,7071,3164,300580,1912,normal
2026-04,Glean Enterprise Search,7071,3802,661548,2155,needs_evidence_review
2026-05,Glean Enterprise Search,7071,4519,393153,4112,normal
2026-06,Glean Enterprise Search,7071,5229,256221,4734,needs_evidence_review
2026-02,NICE Actimize Copilot,6087,2358,233442,2697,normal
2026-03,NICE Actimize Copilot,6087,2782,292110,1596,normal
2026-04,NICE Actimize Copilot,6087,3497,587496,2620,normal
2026-05,NICE Actimize Copilot,6087,3757,315588,2458,normal
2026-06,NICE Actimize Copilot,6087,4308,633276,1819,normal
2026-02,Salesforce Einstein,7082,2498,132394,2377,normal
2026-03,Salesforce Einstein,7082,2902,281494,2837,normal
2026-04,Salesforce Einstein,7082,3895,377815,2032,needs_evidence_review
2026-05,Salesforce Einstein,7082,4594,353738,2530,needs_evidence_review
2026-06,Salesforce Einstein,7082,4676,930524,5537,normal
