team_or_product,deployment_frequency_before,deployment_frequency_after,lead_time_before_days,lead_time_after_days,change_failure_before_pct,change_failure_after_pct,mttr_before_hours,mttr_after_hours
Core Banking,2/month,7/month,32,17,16,10,15,9
Cards & Payments,1/month,7/month,38,20,19,8,20,10
Channels & Digital,3/month,6/month,35,18,18,11,15,9
Data Platform,2/month,4/month,38,18,21,13,14,6
Risk & Finance Systems,3/month,4/month,34,17,18,13,14,6
Financial Crimes,1/month,8/month,26,15,18,9,16,7
Integration & API,1/month,9/month,26,12,17,10,16,7
Cyber & Resilience,3/month,6/month,37,22,19,13,23,10
ServiceNow & IT Ops,3/month,9/month,30,18,24,12,15,9
Developer Experience,1/month,9/month,21,11,21,8,13,8
Wealth Technology,1/month,5/month,31,14,22,9,19,11
Treasury Systems,2/month,4/month,28,17,17,12,24,16
