persona_id,persona_name,business_area,population_count,ai_relevance,work_context
LAK-PER-001,Treasury analyst,Treasury,96,High,"Cash positioning, bank portals, payments, liquidity forecast"
LAK-PER-002,Cash manager,Treasury,42,High,"Daily cash, debt draw, bank fees, exception approval"
LAK-PER-003,FX risk manager,Treasury,24,Medium,"Exposure capture, hedge accounting, scenario analysis"
LAK-PER-004,Controller analyst,Finance,420,High,"Close, reconciliations, journal evidence, management packs"
LAK-PER-005,FP&A analyst,Finance,560,High,"Forecasting, working capital, segment margin"
LAK-PER-006,Plant finance manager,Manufacturing,180,Medium,"Plant P&L, inventory, production variances"
LAK-PER-007,Procurement category manager,Procurement,240,High,"Contracts, supplier risk, spend analytics"
LAK-PER-008,SAP functional analyst,ERP,320,High,"FI/CO/MM/SD issues, interfaces, close support"
LAK-PER-009,Data engineer,Data Platform,210,High,"SAP, bank, treasury, procurement, BI pipelines"
LAK-PER-010,Service desk analyst,IT Operations,220,Medium,"Finance app tickets, ERP incidents, knowledge articles"
