tenant_key,read_model_id,contract_id,case_room_tab,headline,primary_document_id,primary_service_tower_id,gate_state,caveat
meridian-health,C360-MER-CTR-RCM-001-1,MER-CTR-RCM-001,documents,claims intake case-room evidence,DOC-MER-CTR-RCM-001-SOW-CORE,SVC-MER-CTR-RCM-001-1,ready,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-RCM-001-2,MER-CTR-RCM-001,scope,denial management case-room evidence,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,SVC-MER-CTR-RCM-001-2,ready,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-RCM-001-3,MER-CTR-RCM-001,pricing,payment posting case-room evidence,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,SVC-MER-CTR-RCM-001-3,ready,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-RCM-001-4,MER-CTR-RCM-001,operations,patient billing case-room evidence,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,SVC-MER-CTR-RCM-001-4,ready,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-HR-BPO-001-1,MER-CTR-HR-BPO-001,documents,payroll cases case-room evidence,DOC-MER-CTR-HR-BPO-001-SOW-CORE,SVC-MER-CTR-HR-BPO-001-1,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-HR-BPO-001-2,MER-CTR-HR-BPO-001,scope,benefits administration case-room evidence,DOC-MER-CTR-HR-BPO-001-SOW-OPERATIONS,SVC-MER-CTR-HR-BPO-001-2,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-HR-BPO-001-3,MER-CTR-HR-BPO-001,pricing,onboarding case-room evidence,DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE,SVC-MER-CTR-HR-BPO-001-3,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-HR-BPO-001-4,MER-CTR-HR-BPO-001,operations,offboarding case-room evidence,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,SVC-MER-CTR-HR-BPO-001-4,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-FIN-BPO-001-1,MER-CTR-FIN-BPO-001,documents,accounts payable case-room evidence,DOC-MER-CTR-FIN-BPO-001-SOW-CORE,SVC-MER-CTR-FIN-BPO-001-1,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-FIN-BPO-001-2,MER-CTR-FIN-BPO-001,scope,month-end close case-room evidence,DOC-MER-CTR-FIN-BPO-001-SOW-OPERATIONS,SVC-MER-CTR-FIN-BPO-001-2,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
