claim_id,claim_kind,label,gate_status,realized_value_language_allowed,required_evidence
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-001-r2,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-002-r3,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-003-r4,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-004-r5,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-005-r6,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-006-r7,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-007-r8,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-008-r9,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-009-r10,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-010-r11,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-011-r12,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-012-r13,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0013-r14,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0014-r15,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0015-r16,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0016-r17,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0017-r18,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0018-r19,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0019-r20,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0020-r21,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0021-r22,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0022-r23,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0023-r24,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0024-r25,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0025-r26,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
