metric_id,platform_or_system,metric_name,monthly_volume,peak_volume,growth_rate_pct,sla_target,observed_issue
FC-VOL-001,Core banking,posted transactions per month,940000000,1300000000,6,real time,batch settlement window pressure
FC-VOL-002,Card authorization,authorizations per month,1800000000,2600000000,9,sub-second,peak-season latency near SLA
FC-VOL-003,ACH engine,ACH items per month,410000000,560000000,5,same day,return handling manual
FC-VOL-004,Wire / RTP,real-time payments per month,38000000,61000000,22,sub-15 second,exception repair high-touch
FC-VOL-005,AML monitoring,alerts per month,2100000,2900000,4,daily,false-positive rate >95%
FC-VOL-006,Fraud scoring,scored events per month,1900000000,2700000000,11,sub-100ms,scam typologies outpace models
FC-VOL-007,Contact center,contacts per month,9400000,13000000,7,real time,no unified agent context
FC-VOL-008,Mobile banking,sessions per month,720000000,980000000,12,real time,auth friction on high-risk flows
FC-VOL-009,Commercial origination,applications per month,18000,27000,8,days,manual spreading bottleneck
FC-VOL-010,Disputes / chargebacks,cases per month,480000,720000,9,days,evidence assembly manual
FC-VOL-011,Regulatory reporting,reports per cycle,1400,1700,3,monthly/quarterly,manual reconciliation to GL
FC-VOL-012,Lakehouse pipelines,jobs per month,86000,120000,18,near real time,lineage certification incomplete
