tenant_key,system_name,system_type,system_category,business_function,system_scope,deployment_model,hosting_location,lifecycle_state,criticality,business_owner,technology_owner,vendor,data_domains,interfaces_count,current_state_or_target_state,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-holdings,Workday HCM and Finance,,Corporate HR and Finance operations,Corporate HR and Finance operations,,,,modernizing,high,,Group CIO,LH-VDR-WORKDAY,employee master;cost center;payroll journal,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,2,LH-SYS-WORKDAY,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Oracle Fusion ERP,,Corporate finance and shared services ERP,Corporate finance and shared services ERP,,,,scale,high,,VP Corporate Platforms,LH-VDR-ORACLE,general ledger;AP;AR;procurement,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,3,LH-SYS-ORACLE,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Kyriba Treasury,,Treasury cash visibility and payments,Treasury cash visibility and payments,,,,scale,high,,Treasurer,LH-VDR-KYRIBA,cash position;bank transactions;payments,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,4,LH-SYS-KYRIBA,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Ironclad CLM,,Legal contract lifecycle management,Legal contract lifecycle management,,,,pilot,medium,,General Counsel,LH-VDR-IRONCLAD,contracts;obligations;renewals,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,5,LH-SYS-IRONCLAD,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,DealCloud Portfolio CRM,,Investment pipeline and portfolio reviews,Investment pipeline and portfolio reviews,,,,scale,medium,,Chief Investment Officer,LH-VDR-DEALCLOUD,portfolio KPIs;deal stages;board actions,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,6,LH-SYS-DEALCLOUD,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,ServiceNow ITSM,,Enterprise service management,Enterprise service management,,,,modernizing,high,,VP Corporate Platforms,LH-VDR-SERVICENOW,incidents;requests;change records;CMDB,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,7,LH-SYS-SNOW,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Azure Data Lakehouse,,Shared analytics and portfolio data products,Shared analytics and portfolio data products,,,,build,high,,VP Corporate Innovation IT and Data AI,LH-VDR-MICROSOFT,financial actuals;program spend;operational KPIs,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,8,LH-SYS-AZURE-LAKE,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Databricks Innovation Workspace,,AI and analytics experimentation,AI and analytics experimentation,,,,pilot,medium,,VP Corporate Innovation IT and Data AI,LH-VDR-DATABRICKS,feature sets;model outputs;experiment logs,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,9,LH-SYS-DATABRICKS,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Microsoft Entra ID,,Identity and access management,Identity and access management,,,,scale,high,,CISO,LH-VDR-MICROSOFT,identity;access policies;privileged accounts,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,10,LH-SYS-ENTRA,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
lakeshore-holdings,Microsoft 365 and Copilot,,Collaboration and productivity,Collaboration and productivity,,,,scale,high,,VP Corporate Platforms,LH-VDR-MICROSOFT,mail;documents;collaboration telemetry,,,datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,2026-06-18,high,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,enterprise-pack,11,LH-SYS-M365,synthetic-demo,003fc9febecc55d65203529715f2ec7c46118ea37c618b4c161e22853a8edd0a,retained_from_active_source,none
