tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-holdings,Corporate finance analyst,Corporate finance analyst,,,,,,,medium,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,2,LH-PER-CORP-FIN,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Corporate HR operations specialist,Corporate HR operations specialist,,,,,,,medium,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,3,LH-PER-HR,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Corporate legal operations manager,Corporate legal operations manager,,,,,,,medium,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,4,LH-PER-LEGAL,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Portfolio operations associate,Portfolio operations associate,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,5,LH-PER-INVEST,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,IT service desk analyst,IT service desk analyst,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,6,LH-PER-IT-SUPPORT,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Data product owner,Data product owner,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,7,LH-PER-DATA,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Northline dispatch supervisor,Northline dispatch supervisor,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,8,LH-PER-NORTH-DISP,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Brightmark project manager,Brightmark project manager,,,,,,,medium,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,9,LH-PER-CREST-PM,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Forge & Field demand planner,Forge & Field demand planner,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,10,LH-PER-RIV-PLANNER,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
lakeshore-holdings,Great Lakes Pantry field dispatcher,Great Lakes Pantry field dispatcher,,,,,,,high,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,2026-06-18,high,none,datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,universal-standard-v3,11,LH-PER-ARB-DISPATCH,synthetic-demo,0b07eae3d08582ad55fc1b729adee29b405c0a781437974d4f38f13c9c22bda0,retained_from_active_source,none
