play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
PLAY-0001,MET-0078,Digital-native peer,Digital-native peer automated ancillary revenue per pax,Ancillary Revenue per Pax (Maintenance),+1.7 $,crew-ops AI|predictive maintenance|computer-vision bag tracking,Platform Consolidation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,2,tenant_file
PLAY-0002,MET-0112,Digital-native peer,Digital-native peer re-engineered turnaround time,Turnaround Time (Customer),-2.3 minutes,generative customer assistant|digital twin of operations|real-time ops data|network optimization solver,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,3,tenant_file
PLAY-0003,MET-0131,Top-quartile carrier,Top-quartile carrier digitized safety incident rate,Safety Incident Rate (Corporate),-0.8 rate,dynamic pricing engine|network optimization solver|loyalty personalization engine|automated revenue accounting,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,4,tenant_file
PLAY-0004,MET-0057,LCC archetype,LCC archetype digitized net promoter score,Net Promoter Score (Pax) (Operations),+1.0 score,network optimization solver|predictive maintenance|real-time ops data|self-service rebooking,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,5,tenant_file
PLAY-0005,MET-0142,Flag-carrier peer,Flag-carrier peer consolidated turnaround time,Turnaround Time (Corporate),-1.5 minutes,crew-ops AI|self-service rebooking|rebooking automation,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,6,tenant_file
PLAY-0006,MET-0123,Top-quartile carrier,Top-quartile carrier deployed AI for employee attrition rate,Employee Attrition Rate (Corporate),-2.2 %,self-service rebooking|demand-sensing ML|generative customer assistant|crew-ops AI,Platform Consolidation,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,7,tenant_file
PLAY-0007,MET-0173,Best-in-class operator,Best-in-class operator re-engineered cargo yield,Cargo Yield (Finance),+2.7 $,rebooking automation|automated revenue accounting|dynamic pricing engine|crew-ops AI,Generative Assist,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,8,tenant_file
PLAY-0008,MET-0124,Cross-industry leader,Cross-industry leader deployed AI for forecast accuracy,Forecast Accuracy (Corporate),+4.1 %,crew-ops AI|demand-sensing ML|fuel-burn optimization,AI Optimization,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,9,tenant_file
PLAY-0009,MET-0161,Flag-carrier peer,Flag-carrier peer digitized safety incident rate,Safety Incident Rate (Finance),-3.1 rate,digital twin of operations|demand-sensing ML|dynamic pricing engine,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,10,tenant_file
PLAY-0010,MET-0026,Top-quartile carrier,Top-quartile carrier deployed AI for loyalty member growth,Loyalty Member Growth,+4.4 %,demand-sensing ML|predictive maintenance,AI Optimization,Loyalty,family-7-outcome-intelligence/O03_competitor-plays.csv,11,tenant_file
PLAY-0011,MET-0090,Digital-native peer,Digital-native peer deployed AI for disruption recovery time,Disruption Recovery Time (Maintenance),-3.7 hours,rebooking automation|predictive maintenance|dynamic pricing engine,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,12,tenant_file
PLAY-0012,MET-0027,Best-in-class operator,Best-in-class operator digitized net promoter score,Net Promoter Score (Pax),+2.7 score,rebooking automation|automated revenue accounting|computer-vision bag tracking,Generative Assist,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,13,tenant_file
PLAY-0013,MET-0005,Top-quartile carrier,Top-quartile carrier optimized ebit margin,EBIT Margin,+1.5 %,generative customer assistant|crew-ops AI|cargo capacity optimizer|dynamic pricing engine,Automation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,14,tenant_file
PLAY-0014,MET-0150,Flag-carrier peer,Flag-carrier peer re-engineered disruption recovery time,Disruption Recovery Time (Corporate),-3.3 hours,crew-ops AI|cargo capacity optimizer|predictive maintenance,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,15,tenant_file
PLAY-0015,MET-0108,Digital-native peer,Digital-native peer digitized ancillary revenue per pax,Ancillary Revenue per Pax (Customer),+4.4 $,fuel-burn optimization|self-service rebooking|crew-ops AI,Real-time Decisioning,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,16,tenant_file
PLAY-0016,MET-0148,Cross-industry leader,Cross-industry leader consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-3.6 $,digital twin of operations|generative customer assistant,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,17,tenant_file
PLAY-0017,MET-0041,Cross-industry leader,Cross-industry leader deployed AI for safety incident rate,Safety Incident Rate (Operations),-1.7 rate,real-time ops data|self-service rebooking,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,18,tenant_file
PLAY-0018,MET-0076,Best-in-class operator,Best-in-class operator consolidated rasm,RASM (Maintenance),+3.7 cents,dynamic pricing engine|self-service rebooking|real-time ops data,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,19,tenant_file
PLAY-0019,MET-0147,Top-quartile carrier,Top-quartile carrier deployed AI for net promoter score,Net Promoter Score (Pax) (Corporate),+2.1 score,loyalty personalization engine|crew-ops AI|predictive maintenance|digital twin of operations,Automation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,20,tenant_file
PLAY-0020,MET-0139,Digital-native peer,Digital-native peer automated mishandled bags per 1000,Mishandled Bags per 1000 (Corporate),-2.9 rate,demand-sensing ML|fuel-burn optimization,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,21,tenant_file
PLAY-0021,MET-0131,Digital-native peer,Digital-native peer consolidated safety incident rate,Safety Incident Rate (Corporate),-2.1 rate,cargo capacity optimizer|fuel-burn optimization|self-service rebooking,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,22,tenant_file
PLAY-0022,MET-0129,Flag-carrier peer,Flag-carrier peer digitized first contact resolution,First Contact Resolution (Corporate),+3.6 %,demand-sensing ML|real-time ops data|crew-ops AI|generative customer assistant,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,23,tenant_file
PLAY-0023,MET-0114,Top-quartile carrier,Top-quartile carrier digitized crew utilization %,Crew Utilization % (Customer),+1.1 %,fuel-burn optimization|rebooking automation|loyalty personalization engine|self-service rebooking,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,24,tenant_file
PLAY-0024,MET-0092,Top-quartile carrier,Top-quartile carrier automated net promoter score,Net Promoter Score (Customer),+4.3 score,crew-ops AI|cargo capacity optimizer|self-service rebooking,Generative Assist,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,25,tenant_file
PLAY-0025,MET-0055,Digital-native peer,Digital-native peer digitized schedule reliability %,Schedule Reliability % (Operations),+2.9 %,crew-ops AI|network optimization solver|rebooking automation,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,26,tenant_file
PLAY-0026,MET-0024,LCC archetype,LCC archetype digitized crew utilization %,Crew Utilization %,+0.9 %,digital twin of operations|rebooking automation,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,27,tenant_file
PLAY-0027,MET-0005,Flag-carrier peer,Flag-carrier peer optimized ebit margin,EBIT Margin,+2.9 %,network optimization solver|automated revenue accounting|predictive maintenance|crew-ops AI,Automation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,28,tenant_file
PLAY-0028,MET-0098,Digital-native peer,Digital-native peer digitized it spend as % of revenue,IT Spend as % of Revenue (Customer),-1.5 %,self-service rebooking|network optimization solver,AI Optimization,Technology,family-7-outcome-intelligence/O03_competitor-plays.csv,29,tenant_file
PLAY-0029,MET-0009,Flag-carrier peer,Flag-carrier peer consolidated first contact resolution,First Contact Resolution,+2.0 %,fuel-burn optimization|predictive maintenance|loyalty personalization engine,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,30,tenant_file
PLAY-0030,MET-0021,Flag-carrier peer,Flag-carrier peer re-engineered fuel burn per asm,Fuel Burn per ASM,-3.7 kg,demand-sensing ML|fuel-burn optimization|network optimization solver|digital twin of operations,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,31,tenant_file
PLAY-0031,MET-0107,Digital-native peer,Digital-native peer re-engineered completion factor %,Completion Factor % (Customer),+2.9 %,generative customer assistant|real-time ops data|fuel-burn optimization|loyalty personalization engine,AI Optimization,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,32,tenant_file
PLAY-0032,MET-0009,Top-quartile carrier,Top-quartile carrier optimized first contact resolution,First Contact Resolution,+1.0 %,dynamic pricing engine|real-time ops data|fuel-burn optimization,Automation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,33,tenant_file
PLAY-0033,MET-0081,LCC archetype,LCC archetype consolidated fuel burn per asm,Fuel Burn per ASM (Maintenance),-3.0 kg,fuel-burn optimization|self-service rebooking,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,34,tenant_file
PLAY-0034,MET-0058,Best-in-class operator,Best-in-class operator re-engineered maintenance cost per flight hour,Maintenance Cost per Flight Hour (Operations),-1.6 $,predictive maintenance|dynamic pricing engine,Platform Consolidation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,35,tenant_file
PLAY-0035,MET-0030,LCC archetype,LCC archetype deployed AI for disruption recovery time,Disruption Recovery Time,-2.9 hours,cargo capacity optimizer|fuel-burn optimization|predictive maintenance|crew-ops AI,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,36,tenant_file
PLAY-0036,MET-0106,Best-in-class operator,Best-in-class operator deployed AI for rasm,RASM (Customer),+3.1 cents,real-time ops data|dynamic pricing engine|generative customer assistant|fuel-burn optimization,Automation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,37,tenant_file
PLAY-0037,MET-0017,LCC archetype,LCC archetype automated completion factor %,Completion Factor %,+3.2 %,fuel-burn optimization|dynamic pricing engine|digital twin of operations,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,38,tenant_file
PLAY-0038,MET-0151,Flag-carrier peer,Flag-carrier peer digitized cost-to-income ratio,Cost-to-Income Ratio (Finance),-4.2 %,rebooking automation|fuel-burn optimization|loyalty personalization engine|generative customer assistant,AI Optimization,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,39,tenant_file
PLAY-0039,MET-0007,LCC archetype,LCC archetype consolidated digital self-service rate,Digital Self-Service Rate,+4.3 %,digital twin of operations|automated revenue accounting|self-service rebooking|dynamic pricing engine,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,40,tenant_file
PLAY-0040,MET-0153,Flag-carrier peer,Flag-carrier peer re-engineered employee attrition rate,Employee Attrition Rate (Finance),-0.9 %,predictive maintenance|computer-vision bag tracking,Generative Assist,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,41,tenant_file
PLAY-0041,MET-0072,LCC archetype,LCC archetype digitized cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Maintenance),-4.1 hours,demand-sensing ML|crew-ops AI|fuel-burn optimization,Platform Consolidation,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,42,tenant_file
PLAY-0042,MET-0016,Best-in-class operator,Best-in-class operator automated rasm,RASM,+3.3 cents,self-service rebooking|demand-sensing ML,Self-Service Shift,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,43,tenant_file
PLAY-0043,MET-0046,Cross-industry leader,Cross-industry leader re-engineered rasm,RASM (Operations),+0.8 cents,computer-vision bag tracking|real-time ops data,Predictive Analytics,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,44,tenant_file
PLAY-0044,MET-0045,Flag-carrier peer,Flag-carrier peer digitized casm,CASM (Operations),-1.9 cents,network optimization solver|self-service rebooking,Automation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,45,tenant_file
PLAY-0045,MET-0061,Best-in-class operator,Best-in-class operator automated cost-to-income ratio,Cost-to-Income Ratio (Maintenance),-2.1 %,demand-sensing ML|rebooking automation,Automation,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,46,tenant_file
PLAY-0046,MET-0084,Cross-industry leader,Cross-industry leader digitized crew utilization %,Crew Utilization % (Maintenance),+2.7 %,generative customer assistant|rebooking automation,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,47,tenant_file
PLAY-0047,MET-0057,Digital-native peer,Digital-native peer digitized net promoter score,Net Promoter Score (Pax) (Operations),+2.8 score,fuel-burn optimization|digital twin of operations|self-service rebooking|real-time ops data,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,48,tenant_file
PLAY-0048,MET-0055,LCC archetype,LCC archetype re-engineered schedule reliability %,Schedule Reliability % (Operations),+1.1 %,self-service rebooking|crew-ops AI|fuel-burn optimization,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,49,tenant_file
PLAY-0049,MET-0144,LCC archetype,LCC archetype consolidated crew utilization %,Crew Utilization % (Corporate),+2.9 %,predictive maintenance|dynamic pricing engine|digital twin of operations|network optimization solver,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,50,tenant_file
PLAY-0050,MET-0074,Digital-native peer,Digital-native peer consolidated load factor %,Load Factor % (Maintenance),+2.7 %,fuel-burn optimization|generative customer assistant|computer-vision bag tracking,AI Optimization,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,51,tenant_file
PLAY-0051,MET-0119,Cross-industry leader,Cross-industry leader deployed AI for technical dispatch reliability,Technical Dispatch Reliability (Customer),+4.3 %,generative customer assistant|digital twin of operations,Self-Service Shift,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,52,tenant_file
PLAY-0052,MET-0131,LCC archetype,LCC archetype consolidated safety incident rate,Safety Incident Rate (Corporate),-1.3 rate,self-service rebooking|real-time ops data|crew-ops AI|dynamic pricing engine,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,53,tenant_file
PLAY-0053,MET-0178,Top-quartile carrier,Top-quartile carrier digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Finance),-4.5 $,self-service rebooking|digital twin of operations|automated revenue accounting|demand-sensing ML,Self-Service Shift,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,54,tenant_file
PLAY-0054,MET-0122,Best-in-class operator,Best-in-class operator optimized net promoter score,Net Promoter Score (Corporate),+1.2 score,loyalty personalization engine|network optimization solver|fuel-burn optimization,Generative Assist,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,55,tenant_file
PLAY-0055,MET-0030,Top-quartile carrier,Top-quartile carrier automated disruption recovery time,Disruption Recovery Time,-2.2 hours,crew-ops AI|cargo capacity optimizer,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,56,tenant_file
PLAY-0056,MET-0022,LCC archetype,LCC archetype automated turnaround time,Turnaround Time,-1.6 minutes,digital twin of operations|automated revenue accounting,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,57,tenant_file
PLAY-0057,MET-0024,Top-quartile carrier,Top-quartile carrier automated crew utilization %,Crew Utilization %,+3.8 %,real-time ops data|demand-sensing ML|automated revenue accounting|digital twin of operations,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,58,tenant_file
PLAY-0058,MET-0091,LCC archetype,LCC archetype consolidated cost-to-income ratio,Cost-to-Income Ratio (Customer),-3.9 %,demand-sensing ML|network optimization solver|predictive maintenance,AI Optimization,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,59,tenant_file
PLAY-0059,MET-0027,Top-quartile carrier,Top-quartile carrier consolidated net promoter score,Net Promoter Score (Pax),+3.4 score,fuel-burn optimization|rebooking automation|dynamic pricing engine,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,60,tenant_file
PLAY-0060,MET-0011,LCC archetype,LCC archetype automated safety incident rate,Safety Incident Rate,-1.8 rate,demand-sensing ML|predictive maintenance|automated revenue accounting,AI Optimization,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,61,tenant_file
PLAY-0061,MET-0119,Top-quartile carrier,Top-quartile carrier consolidated technical dispatch reliability,Technical Dispatch Reliability (Customer),+2.0 %,dynamic pricing engine|digital twin of operations|loyalty personalization engine|predictive maintenance,Platform Consolidation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,62,tenant_file
PLAY-0062,MET-0078,Best-in-class operator,Best-in-class operator consolidated ancillary revenue per pax,Ancillary Revenue per Pax (Maintenance),+3.0 $,self-service rebooking|demand-sensing ML,Self-Service Shift,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,63,tenant_file
PLAY-0063,MET-0139,Best-in-class operator,Best-in-class operator optimized mishandled bags per 1000,Mishandled Bags per 1000 (Corporate),-1.3 rate,real-time ops data|crew-ops AI|generative customer assistant|automated revenue accounting,Real-time Decisioning,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,64,tenant_file
PLAY-0064,MET-0004,Best-in-class operator,Best-in-class operator optimized forecast accuracy,Forecast Accuracy,+4.2 %,digital twin of operations|rebooking automation|fuel-burn optimization|predictive maintenance,AI Optimization,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,65,tenant_file
PLAY-0065,MET-0054,Top-quartile carrier,Top-quartile carrier re-engineered crew utilization %,Crew Utilization % (Operations),+0.9 %,demand-sensing ML|computer-vision bag tracking|self-service rebooking|predictive maintenance,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,66,tenant_file
PLAY-0066,MET-0122,LCC archetype,LCC archetype optimized net promoter score,Net Promoter Score (Corporate),+1.4 score,generative customer assistant|self-service rebooking|loyalty personalization engine,Platform Consolidation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,67,tenant_file
