item_id,initiative_id,type,description,severity,likelihood,status,owner,due_date,mitigation,source_file,source_row,value_source
RAID-000001,INIT-0001,Issue,Issue: Scope creep from stakeholders,Critical,Medium,In Progress,Data Lead,2026-01-12,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,2,tenant_file
RAID-000002,INIT-0001,Dependency,Dependency: Third-party SLA risk,Critical,Medium,Closed,Security,2026-02-20,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,3,tenant_file
RAID-000003,INIT-0001,Decision,Decision: Scope creep from stakeholders,Critical,High,Escalated,Security,2027-02-13,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,4,tenant_file
RAID-000004,INIT-0001,Dependency,Dependency: Security finding to remediate,Low,Low,Mitigated,PMO,2027-08-30,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,5,tenant_file
RAID-000005,INIT-0001,Action,Action: Budget overrun risk,Critical,High,Open,PMO,2026-05-25,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,6,tenant_file
RAID-000006,INIT-0001,Action,Action: Scope creep from stakeholders,High,High,Escalated,Security,2026-08-08,Mitigation: remediate.,family-7-outcome-intelligence/O05_raid-log.csv,7,tenant_file
RAID-000007,INIT-0001,Dependency,Dependency: Third-party SLA risk,Critical,High,Open,Architecture,2027-07-16,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,8,tenant_file
RAID-000008,INIT-0001,Dependency,Dependency: Skill gap in delivery team,High,High,Mitigated,Data Lead,2026-12-25,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,9,tenant_file
RAID-000009,INIT-0001,Dependency,Dependency: Security finding to remediate,Low,Low,Closed,Data Lead,2027-12-22,Mitigation: remediate.,family-7-outcome-intelligence/O05_raid-log.csv,10,tenant_file
RAID-000010,INIT-0002,Dependency,Dependency: Change-adoption resistance,Critical,Low,In Progress,Vendor Manager,2026-04-14,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,11,tenant_file
RAID-000011,INIT-0002,Action,Action: Scope creep from stakeholders,Critical,High,In Progress,Architecture,2026-11-26,Mitigation: remediate.,family-7-outcome-intelligence/O05_raid-log.csv,12,tenant_file
RAID-000012,INIT-0002,Dependency,Dependency: Security finding to remediate,High,Medium,Closed,PMO,2027-04-05,Mitigation: add controls.,family-7-outcome-intelligence/O05_raid-log.csv,13,tenant_file
RAID-000013,INIT-0002,Decision,Decision: Scope creep from stakeholders,Critical,Low,Closed,PMO,2027-03-12,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,14,tenant_file
RAID-000014,INIT-0002,Risk,Risk: Integration test environment delay,Critical,Medium,Mitigated,Security,2026-03-07,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,15,tenant_file
RAID-000015,INIT-0002,Action,Action: Security finding to remediate,Critical,High,Mitigated,Business Owner,2027-04-10,Mitigation: risk-accept.,family-7-outcome-intelligence/O05_raid-log.csv,16,tenant_file
RAID-000016,INIT-0002,Risk,Risk: Regulatory approval pending,Medium,Medium,Escalated,Business Owner,2027-09-24,Mitigation: add controls.,family-7-outcome-intelligence/O05_raid-log.csv,17,tenant_file
RAID-000017,INIT-0002,Dependency,Dependency: Regulatory approval pending,High,Medium,In Progress,Delivery Lead,2026-04-25,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,18,tenant_file
RAID-000018,INIT-0002,Risk,Risk: Third-party SLA risk,Low,High,Closed,Security,2026-06-17,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,19,tenant_file
RAID-000019,INIT-0002,Issue,Issue: Key vendor resource availability,High,Medium,Open,Vendor Manager,2026-06-16,Mitigation: remediate.,family-7-outcome-intelligence/O05_raid-log.csv,20,tenant_file
RAID-000020,INIT-0002,Decision,Decision: Dependency on platform team,High,Low,Mitigated,Delivery Lead,2027-11-01,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,21,tenant_file
RAID-000021,INIT-0002,Dependency,Dependency: Legacy interface instability,Critical,Low,Mitigated,PMO,2026-01-29,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,22,tenant_file
RAID-000022,INIT-0002,Issue,Issue: Scope creep from stakeholders,Low,Medium,Closed,Business Owner,2026-11-22,Mitigation: add resource.,family-7-outcome-intelligence/O05_raid-log.csv,23,tenant_file
RAID-000023,INIT-0003,Issue,Issue: Key vendor resource availability,Critical,High,Mitigated,Security,2027-11-06,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,24,tenant_file
RAID-000024,INIT-0003,Risk,Risk: Data quality below threshold,High,Low,Mitigated,Business Owner,2026-01-25,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,25,tenant_file
RAID-000025,INIT-0003,Risk,Risk: Budget overrun risk,Critical,Medium,In Progress,Data Lead,2027-08-23,Mitigation: rebaseline.,family-7-outcome-intelligence/O05_raid-log.csv,26,tenant_file
RAID-000026,INIT-0003,Issue,Issue: Skill gap in delivery team,High,High,Escalated,Delivery Lead,2027-12-21,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,27,tenant_file
RAID-000027,INIT-0003,Action,Action: Data quality below threshold,High,High,In Progress,Business Owner,2026-10-20,Mitigation: risk-accept.,family-7-outcome-intelligence/O05_raid-log.csv,28,tenant_file
RAID-000028,INIT-0003,Action,Action: Key vendor resource availability,Medium,Medium,In Progress,Security,2027-12-09,Mitigation: escalate.,family-7-outcome-intelligence/O05_raid-log.csv,29,tenant_file
