requirement_id,rule,status,owner,notes
CMS-01,CMS-9115-F,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-02,CMS-0057,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-03,CMS-9115-F,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-04,CMS-0057,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-05,CMS-9115-F,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-06,CMS-0057,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-07,CMS-9115-F,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-08,CMS-0057,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-09,CMS-9115-F,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-10,CMS-0057,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-11,CMS-9115-F,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-12,CMS-0057,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-13,CMS-9115-F,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-14,CMS-0057,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-15,CMS-9115-F,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-16,CMS-0057,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-17,CMS-9115-F,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-18,CMS-0057,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-19,CMS-9115-F,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-20,CMS-0057,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-21,CMS-9115-F,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
CMS-22,CMS-0057,on_track,CDIO,Prior authorization and interoperability checklist item.
CMS-23,CMS-9115-F,at_risk,Integration Lead,Prior authorization and interoperability checklist item.
CMS-24,CMS-0057,evidence_needed,Privacy Officer,Prior authorization and interoperability checklist item.
