tool_id,tool_name,vendor,owner_role,workflow,use_case,active_users,monthly_spend_usd,approval_status,approved_data_scope,data_class,regulated_workflow_flag,notes
FCF-AI-001,M365 Copilot,Microsoft,CIO,productivity,enterprise,1200,2800000,approved,internal,pii_confidential,false,"Developer and ops productivity; expanding to 3,000 seats."
FCF-AI-002,GitHub Copilot,GitHub/MSFT,CIO,code_generation,engineering,980,1200000,approved,internal,confidential,false,28% code-completion time reduction on controlled rollout.
FCF-AI-003,Databricks Mosaic AI,Databricks,Chief Data Officer,ml_platform,fraud/credit,160,980000,conditional,internal_masked,restricted,true,MRM approval required before production scoring; fraud graph approved.
FCF-AI-004,Snowflake Cortex,Snowflake,Chief Data Officer,data_analytics,analytics,380,420000,conditional,aggregate_masked,confidential,false,Restricted to masked or aggregate data per Snowflake AI policy.
FCF-AI-005,NICE X-Sight AI,NICE,Chief Risk Officer,aml_triage,aml_compliance,420,1800000,conditional,internal_restricted,restricted,true,SR 11-7 validation pending; cannot scale AML triage until evidence complete.
FCF-AI-006,Salesforce Einstein,Salesforce,Chief Digital Officer,crm_ai,wealth/retail,840,640000,conditional,internal,pii_confidential,false,Einstein features require written AI usage approval per Salesforce contract.
FCF-AI-007,ServiceNow Now Assist,ServiceNow,CIO,itsm_ai,technology,1200,380000,approved,internal,confidential,false,IT service management assist; approved for internal confidential data.
FCF-AI-008,SAS Viya AI,SAS,Chief Model Risk Officer,model_risk,model_validation,95,620000,approved,internal_restricted,restricted,true,SR 11-7 compliant model risk platform; validated for regulatory submission.
FCF-AI-009,Pega GenAI Blueprint,Pega,COO,process_ai,operations,420,280000,conditional,internal,confidential,false,Loan operations case automation; approval in progress.
FCF-AI-010,AWS Bedrock (sandbox),AWS,Chief Data Officer,llm_sandbox,data,35,90000,pilot,synthetic_only,internal,false,Sandbox only; no client data; approved for synthetic scenario testing.
