persona_id,persona,name,modernization_thesis,top_3_concerns,what_would_change_their_mind,recent_public_statements_pattern,alignment_with_CTO,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,tension_id,from_persona,to_persona,tension,decision_needed
SHA-EXEC-001,CEO,Jordan Vale,Protect premium experience while proving modernization discipline.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-002,CFO,Marisol Chen,Separate realized value from projected value and slow spend growth.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-003,CTO,Evan Kline,Defend five-year progress while reshaping the next wave.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-004,CIO,Amala Rao,"Challenge pace, vendor dependency, and cloud-native operating maturity.",value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-005,COO,Tara Whitcomb,Protect operational reliability and IROPs recovery.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-006,CISO,Owen Mercer,Reduce cloud control-plane sprawl and govern AI-generated code.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-007,CDO,Samir Nadeem,Free operational data trapped in Z batches.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-008,CHRO,Leah Brooks,Scale GCC without creating retention and leadership gaps.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-009,Chief Customer,Nina Alvarez,"Turn personalization into trusted service, not creepy targeting.",value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",4,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-010,Chief TechOps,Grant Holloway,Do not disrupt maintenance and aircraft availability systems.,value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
