"tenant","storage_location","refreshed_at","page","tab","component","rendered_value","generated_by","deterministic_object","source_layer","source_files","claude_prompt_file","claude_response_file","notes"
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Enterprise brief title","Meridian Health System: Seven Use Cases, Zero Decision-Grade Evidence Closures","Claude-authored executive consultant tool payload","narrative_sections.enterprise_brief_title","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this string verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Enterprise brief summary","Meridian Health System operates as an integrated health system and health plan anchored on Epic Hyperspace, Clarity, and Caboodle, with a fragmented on-premise analytics estate spanning SQL Server, Tableau, Power BI, and SAS. An outsourced analytics managed services provider consumes an estimated 80% of delivery capacity on maintenance, leaving minimal bandwidth for net-new strategic work. AWS and Databricks represent the target platform direction — neither is production-ready, and no certified medallion architecture has been evidenced. Ten-plus executive stakeholder groups — CEO, CFO, CIO, CDAO, CMO, Chief Experience Officer, Health Plan Operations, Privacy, Procurement, and the Program Office — have each confirmed seven enterprise use cases as strategic priorities: unified clinical and claims lakehouse, governed AI/LLM foundation, call center optimization, provider quality and performance, end-to-end cost transparency, payment integrity and leakage reduction, and automated close and reporting. Every use case is in planning stage. None has reached decision grade. The four pervasive blockers — no certified medallion architecture, no formal data governance operating model, no certified semantic layer, and no patient/member identity spine — must be resolved before Nexus can produce sourcing-event outputs or quantified value claims. The executive decision now is: which evidence closure to fund first, and who owns accountability for each gap.","Claude-authored executive consultant tool payload","narrative_sections.enterprise_brief_summary","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this string verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","KPI facts","{""label"":""Tenant"",""value"":""Meridian Health System"",""sub"":""Integrated health system + health plan"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0001""]}; {""label"":""Context Dimensions"",""value"":""19"",""sub"":""Across enterprise profile, systems, data, risks, and programs"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0001""]}; {""label"":""Source Rows Ingested"",""value"":""3,487"",""sub"":""203 active; 3,284 candidate"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0001""]}; {""label"":""Evidence References"",""value"":""146"",""sub"":""Across documents, systems, and executive interviews"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0001""]}; {""label"":""Core EHR Platform"",""value"":""Epic (Hyperspace, Clarity, Caboodle)"",""sub"":""Clinical Platforms owner; current core lifecycle"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0040"",""MER-V3-EVID-0041"",""MER-V3-EVID-0042""]}; {""label"":""Analytics Estate"",""value"":""SQL Server, Tableau, Power BI, SAS"",""sub"":""Fragmented on-prem; no certified semantic layer"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0043"",""MER-V3-EVID-0044"",""MER-V3-EVID-0045"",""MER-V3-EVID-0046""]}; {""label"":""Target Cloud Platform"",""value"":""AWS + Databricks (aspirational)"",""sub"":""Foundation not yet production-ready; no certified medallion architecture"",""st"":""directional"",""evidence_refs"":[""MER-V3-EVID-0053"",""MER-V3-EVID-0054"",""MER-V3-EVID-0281""]}; {""label"":""Managed Services Risk"",""value"":""~80% maintenance load"",""sub"":""Outsourced analytics provider limits net-new delivery capacity"",""st"":""directional"",""evidence_refs"":[""MER-V3-EVID-0074""]}; {""label"":""Data Governance Status"",""value"":""Not yet formalized"",""sub"":""No certified semantic layer; no AI audit trail evidence"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0174"",""MER-V3-EVID-0175"",""MER-V3-EVID-0176""]}; {""label"":""Priority Use Cases"",""value"":""7 identified"",""sub"":""Lakehouse, AI/LLM, call center, quality, cost, payment integrity, close"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0360"",""MER-V3-EVID-0361"",""MER-V3-EVID-0362""]}; {""label"":""Executive Interviews"",""value"":""10+ stakeholder groups"",""sub"":""CEO, CFO, CIO, CTO, CDAO, CMO, CXO, Health Plan Ops, Privacy, Program Office"",""st"":""source-backed"",""evidence_refs"":[""MER-SA07-INT-EVID-0001"",""MER-SA07-INT-EVID-0013"",""MER-SA07-INT-EVID-0025""]}; {""label"":""Context Refresh"",""value"":""2026-07-16"",""sub"":""Planning-grade synthetic context; not real Meridian production data"",""st"":""source-backed"",""evidence_refs"":[""MER-V3-EVID-0280""]}","Claude-authored tool payload","design_slots.FACTS","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","KPI strip","{""label"":""Active Context Rows"",""value"":""203"",""sub"":""of 3,487 total ingested"",""tone"":""brand""}; {""label"":""Dimensions Loaded"",""value"":""19"",""sub"":""All source-backed"",""tone"":""green""}; {""label"":""Evidence References"",""value"":""146"",""sub"":""Across docs, systems, interviews"",""tone"":""plain""}; {""label"":""Use Cases Identified"",""value"":""7"",""sub"":""All pending evidence closure"",""tone"":""amber""}; {""label"":""Critical Gaps"",""value"":""24"",""sub"":""Blocking decision-grade outputs"",""tone"":""amber""}","Claude-authored tool payload","design_slots.KPIS","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Boardroom brief columns","{""label"":""Who Meridian Is"",""text"":""Integrated health system and health plan operating Epic as core EHR, with a fragmented on-prem analytics estate (SQL Server, Tableau, Power BI, SAS) and an outsourced analytics managed services provider consuming ~80% of delivery capacity on maintenance."",""evidence_refs"":[""MER-V3-EVID-0001"",""MER-V3-EVID-0043"",""MER-V3-EVID-0074""]}; {""label"":""Where They Want to Go"",""text"":""Seven enterprise use cases are in scope: unified clinical + claims lakehouse, governed AI/LLM foundation, call center optimization, provider quality, cost transparency, payment integrity, and automated close. AWS and Databricks are the target platform direction — not yet production-ready."",""evidence_refs"":[""MER-V3-EVID-0360"",""MER-V3-EVID-0053"",""MER-V3-EVID-0054""]}; {""label"":""What Is Blocking Progress"",""text"":""No certified medallion architecture, no patient/member identity spine, no formal data governance, no certified semantic layer, and no AI audit trail evidence. Provider contract terms are not digitized in governed form. All seven use cases require evidence closure before value can be quantified."",""evidence_refs"":[""MER-V3-EVID-0170"",""MER-V3-EVID-0174"",""MER-V3-EVID-0282""]}; {""label"":""What Nexus Can Do Now"",""text"":""Nexus has mapped the enterprise context across 19 dimensions and 146 evidence references. It can surface use case hypotheses, identify gap-to-decision chains, and prioritize evidence collection. It cannot yet produce decision-grade sourcing outputs or quantified value claims."",""evidence_refs"":[""MER-V3-EVID-0280"",""MER-V3-EVID-0285""]}","Claude-authored tool payload","design_slots.BRIEF_COLS","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Leadership priorities","{""n"":""1"",""title"":""Close the lakehouse foundation evidence gap"",""detail"":""Epic Clarity, Claims, and Pharmacy data harmonization must be certified before the unified clinical + claims lakehouse use case can advance. AWS/Databricks medallion architecture is aspirational — not yet evidenced."",""evidence_refs"":[""MER-V3-EVID-0170"",""MER-V3-EVID-0171"",""MER-V3-EVID-0172"",""MER-V3-EVID-0173""]}; {""n"":""2"",""title"":""Establish formal data governance and semantic layer"",""detail"":""No certified semantic layer and no formal governance operating model exist. This blocks all seven use cases, particularly AI/LLM automation, where audit trail and data quality rule evidence are also absent."",""evidence_refs"":[""MER-V3-EVID-0174"",""MER-V3-EVID-0175"",""MER-V3-EVID-0176"",""MER-V3-EVID-0177""]}; {""n"":""3"",""title"":""Digitize provider contract terms and certify attribution"",""detail"":""Provider contract terms are not in governed digital form. Attribution ownership is unproven. Both gaps block cost transparency and provider quality use cases from reaching decision grade."",""evidence_refs"":[""MER-V3-EVID-0186"",""MER-V3-EVID-0183"",""MER-V3-EVID-0184""]}; {""n"":""4"",""title"":""Govern contact center transcripts and certify intent taxonomy"",""detail"":""Transcript governance, real-time CRM integration, and member identity linkage are all unproven. Call center optimization cannot advance to agent-assist or next-best-action without these foundations."",""evidence_refs"":[""MER-V3-EVID-0178"",""MER-V3-EVID-0179"",""MER-V3-EVID-0180"",""MER-V3-EVID-0181""]}; {""n"":""5"",""title"":""Certify payment integrity model lineage and recovery workflows"",""detail"":""SAS-based payment integrity models lack governed lineage. Provider entity resolution is unproven. Investigation and recovery tracking workflows are not yet evidenced, preventing leakage quantification."",""evidence_refs"":[""MER-V3-EVID-0192"",""MER-V3-EVID-0193"",""MER-V3-EVID-0194"",""MER-V3-EVID-0195""]}","Claude-authored tool payload","design_slots.PRIORITIES","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Leadership signals","{""role"":""CEO / Enterprise Strategy"",""source"":""Executive Interview (MER-SA07-INT-EVID-0001)"",""initials"":""CE"",""quote"":""Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes — no certified medallion architecture."",""evidence_refs"":[""MER-SA07-INT-EVID-0001"",""MER-SA07-INT-EVID-0008""]}; {""role"":""CFO / Finance & Value"",""source"":""Executive Interview (MER-SA07-INT-EVID-0013)"",""initials"":""CF"",""quote"":""Governed data foundation for AI/LLM automation is promising, but not decision-grade until Epic Clarity evidence closes — no formal data governance."",""evidence_refs"":[""MER-SA07-INT-EVID-0013"",""MER-SA07-INT-EVID-0017""]}; {""role"":""CIO / Enterprise Technology"",""source"":""Executive Interview (MER-SA07-INT-EVID-0025)"",""initials"":""CI"",""quote"":""Call center optimization is promising, but not decision-grade until contact center transcript evidence closes — transcript governance not yet evidenced."",""evidence_refs"":[""MER-SA07-INT-EVID-0025"",""MER-SA07-INT-EVID-0003""]}; {""role"":""CDAO / Data & Analytics"",""source"":""Executive Interview (MER-SA07-INT-EVID-0049)"",""initials"":""CD"",""quote"":""End-to-end cost transparency is promising, but not decision-grade until Claims administration platform evidence closes — provider contract terms not digitized in governed form."",""evidence_refs"":[""MER-SA07-INT-EVID-0049"",""MER-SA07-INT-EVID-0005""]}","Claude-authored tool payload","design_slots.SIGNALS","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Decision can support","Identify which of the 7 use cases has the shortest evidence-closure path; Map which systems must provide certified evidence before each use case can advance; Prioritize governance investments (semantic layer, data quality rules, audit trail) that unblock multiple use cases simultaneously; Assess managed services contract risk given ~80% maintenance load limiting net-new delivery; Sequence the AWS/Databricks platform build against use case readiness requirements; Identify which executive stakeholders own each evidence gap and assign closure accountability","Claude-authored tool payload","design_slots.DEC_CAN","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Overview","Decision cannot support","Quantify realized savings or ROI for any use case — baselines and owner sign-off are not yet in place; Confirm AWS or Databricks as production-ready — no certified medallion architecture is evidenced; Assert that HEDIS/STAR outputs are audited or that provider attribution is accepted; Claim LLM or AI workflows are production-ready — no governance, semantic layer, or audit trail exists; Confirm provider contract economics — terms are not digitized in governed form; Assert that real-time agent assist or member-experience lift is live in the contact center","Claude-authored tool payload","design_slots.DEC_CANNOT","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays field values without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Context Confidence","Summary","Nexus has loaded 19 source-backed dimensions covering 3,987 source rows and 147 evidence references. Confidence is high on enterprise profile, system inventory, and executive use case intent. Confidence is directional on platform readiness and value hypotheses. AWS and Databricks are aspirational targets, not confirmed production foundations. All seven use cases require evidence closure before any dimension reaches decision grade.","Claude-authored executive consultant tool payload","narrative_sections.summary","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
