"tenant","page","dimension_key","dimension","tab","rows_rendered","columns_rendered","search_enabled","filter_key","sort_enabled","row_detail_enabled","source_layer","source_files","refreshed_at","sample_rendered_value"
"meridian-health","Home / Knowledge","profile","Enterprise Profile","Data","2","Business Name; Industry; Tenant Archetype; Summary; Confidence; Context Item; Dimension; Evidence Id; Active Candidate Status","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Meridian Health System"",""industry"":""Healthcare"",""tenant_archetype"":""Integrated delivery network and health plan"",""summary"":""Medium-to-large health organization with clinical delivery, health-plan operations, finance, and analytics modernization needs."",""confidence"":""high"",""context_item"":""Meridian Health System"",""dimension"":""00_enterprise_profile"",""evidence_id"":""MER-V3-EVID-0001"",""active_candidate_status"":""active""}"
"meridian-health","Home / Knowledge","functions","Business Functions","Data","228","Business Name; Owner Role; Operating Model; Metrics Or Kpis; Processes; Confidence; Context Item; Dimension; Evidence Id","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Enterprise Data and Analytics"",""owner_role"":""CDAO"",""operating_model"":""central platform plus distributed analysts"",""metrics_or_kpis"":""pipeline reliability; certified semantic layer adoption; evidence-backed AI readiness"",""processes"":""data intake; data product certification; dashboard modernization; analytics demand management"",""confidence"":""high"",""context_item"":""Enterprise Data and Analytics"",""dimension"":""01_business_functions"",""evidence_id"":""MER-V3-EVID-0002""}"
"meridian-health","Home / Knowledge","org","Org Ownership","Data","228","Business Name; Owner Role; Operating Model; Metrics Or Kpis; Processes; Confidence; Context Item; Dimension; Evidence Id","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Enterprise Data and Analytics"",""owner_role"":""CDAO"",""operating_model"":""central platform plus distributed analysts"",""metrics_or_kpis"":""pipeline reliability; certified semantic layer adoption; evidence-backed AI readiness"",""processes"":""data intake; data product certification; dashboard modernization; analytics demand management"",""confidence"":""high"",""context_item"":""Enterprise Data and Analytics"",""dimension"":""02_org_ownership"",""evidence_id"":""MER-V3-EVID-0002""}"
"meridian-health","Home / Knowledge","workforce","Workforce Roles","Data","221","Interview Group; Priority Theme; Decision Supported; Evidence Needed; Known Challenge; Confidence; Business Name; Context Item; Dimension","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""interview_group"":""CEO / Enterprise Strategy"",""priority_theme"":""strategy"",""decision_supported"":""Unified clinical + claims lakehouse phase-gate and evidence-readiness decision"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""known_challenge"":""No certified medallion architecture"",""confidence"":""medium"",""business_name"":""CEO / Enterprise Strategy: Unified clinical + claims lakehouse"",""context_item"":""CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."",""dimension"":""03_workforce_roles""}"
"meridian-health","Home / Knowledge","apps","Applications & Systems","Data","241","Business Name; Capability; Owner; Criticality; Lifecycle Status; Integrations; Data Dependencies; Confidence; Context Item","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Epic Hyperspace"",""capability"":""clinical_ehr"",""owner"":""Clinical Platforms"",""criticality"":""critical"",""lifecycle_status"":""current_core"",""integrations"":""Epic Bridges; Clarity; Caboodle"",""data_dependencies"":""encounters; orders; results; clinical workflows"",""confidence"":""high"",""context_item"":""Epic Hyperspace""}"
"meridian-health","Home / Knowledge","data","Data Assets & Integrations","Data","242","Business Name; Use Case; Data Domain; Systems; Evidence Needed; Confidence; Context Item; Dimension; Evidence Id","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Unified clinical + claims lakehouse: EMR clinical"",""use_case"":""Unified clinical + claims lakehouse"",""data_domain"":""EMR clinical"",""systems"":""Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse: EMR clinical"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0100""}"
"meridian-health","Home / Knowledge","infra","Infrastructure & Platforms","Data","15","Business Name; Capability; Owner; Criticality; Lifecycle Status; Integrations; Data Dependencies; Confidence; Context Item","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Epic Hyperspace"",""capability"":""clinical_ehr"",""owner"":""Clinical Platforms"",""criticality"":""critical"",""lifecycle_status"":""current_core"",""integrations"":""Epic Bridges; Clarity; Caboodle"",""data_dependencies"":""encounters; orders; results; clinical workflows"",""confidence"":""high"",""context_item"":""Epic Hyperspace""}"
"meridian-health","Home / Knowledge","vendors","Vendors & Contracts","Data","231","Business Name; Service; Owning Function; Linked Systems; Contract Risk; Pricing Basis; Confidence; Context Item; Dimension","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Epic"",""service"":""clinical EHR and Cogito analytics"",""owning_function"":""Clinical Platforms"",""linked_systems"":""MER-SYS-EPIC-HYPERSPACE; MER-SYS-EPIC-CLARITY; MER-SYS-EPIC-CABOODLE"",""contract_risk"":""Integration to governed lakehouse not proven"",""pricing_basis"":""license/support details not yet evidenced"",""confidence"":""high"",""context_item"":""Epic"",""dimension"":""07_vendors_contracts""}"
"meridian-health","Home / Knowledge","budget","IT Budget, Spend & Value","Data","298","Business Name; Value Hypothesis; Amount Usd; Realized Value Usd; Value Boundary; Confidence; Context Item; Dimension; Evidence Id","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Unified clinical + claims lakehouse value hypothesis"",""value_hypothesis"":""Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off."",""amount_usd"":""Needs evidence"",""realized_value_usd"":""Needs evidence"",""value_boundary"":""no_realized_value_claim_without_tower_evidence"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse value hypothesis"",""dimension"":""08_it_budget_spend_value"",""evidence_id"":""MER-V3-EVID-0360""}"
"meridian-health","Home / Knowledge","programs","Programs & Initiatives","Data","256","Business Name; Use Case; Data Domain; Systems; Evidence Needed; Confidence; Context Item; Dimension; Evidence Id","yes","{""k"":""confidence"",""label"":""Confidence""}","yes","yes","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","datasets/tenant-inputs/meridian-health/standard-2026-07-v3; datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv; /Users/anand/Downloads/Nexus Home Knowledge.html","2026-07-17T19:19:50.280Z","{""business_name"":""Unified clinical + claims lakehouse: EMR clinical"",""use_case"":""Unified clinical + claims lakehouse"",""data_domain"":""EMR clinical"",""systems"":""Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse: EMR clinical"",""dimension"":""09_programs_initiatives"",""evidence_id"":""MER-V3-EVID-0100""}"
