"tenant","page","dimension_key","dimension","tab","evidence_cards","evidence_names","evidence_types","supported_claims","missing_proof_notes","source_layer","refreshed_at"
"meridian-health","Home / Knowledge","profile","Enterprise Profile","Evidence","1","Enterprise Profile CSV","doc","Tenant identity and enterprise boundary","Sub-entity structure, market geography, membership/patient volume","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","functions","Business Functions","Evidence","1","Business Functions CSV","doc","Function inventory and executive use case alignment","Data governance function; finance function owner certification","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","org","Org Ownership","Evidence","1","02_org_ownership.csv","Canonical input","Org Ownership","FP&A validation and usage extracts required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","workforce","Workforce Roles","Evidence","1","03_workforce_roles.csv","Canonical input","Workforce Roles","No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","apps","Applications & Systems","Evidence","1","Applications & Systems CSV","sys","System inventory, lifecycle assessment, and use case dependency mapping","Commercial contract terms for all vendors; AWS/Databricks production readiness evidence","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","data","Data Assets & Integrations","Evidence","1","Data Assets & Integrations CSV","doc","Data domain to use case mapping and evidence gap identification","Certified data quality rules; identity spine design; semantic layer ownership","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","infra","Infrastructure & Platforms","Evidence","1","06_infrastructure_platforms.csv","Canonical input","Infrastructure & Platforms","Named client validation where required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","vendors","Vendors & Contracts","Evidence","1","07_vendors_contracts.csv","Canonical input","Vendors & Contracts","FP&A validation and usage extracts required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","budget","IT Budget, Spend & Value","Evidence","1","08_it_budget_spend_value.csv","Canonical input","IT Budget, Spend & Value","no_realized_value_claim_without_tower_evidence","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","programs","Programs & Initiatives","Evidence","1","09_programs_initiatives.csv","Canonical input","Programs & Initiatives","No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","ai","AI & Automation Use Cases","Evidence","1","10_ai_automation_use_cases.csv","Canonical input","AI & Automation Use Cases","No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","risks","Risks & Controls","Evidence","1","11_risks_controls.csv","Canonical input","Risks & Controls","No certified medallion architecture","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","rel","Relationships","Evidence","1","12_relationships.csv","Canonical input","Relationships","No certified medallion architecture","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","evidence","Evidence Sources","Evidence","1","13_evidence_sources.csv","Canonical input","Evidence Sources","FP&A validation and usage extracts required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","metrics","Metrics & Outcomes","Evidence","1","14_metrics_outcomes.csv","Canonical input","Metrics & Outcomes","No certified medallion architecture","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","industry","Industry Context","Evidence","1","15_industry_context_patterns.csv","Canonical input","Industry Context","Named client validation where required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","lenses","Expert Lenses","Evidence","1","16_expert_lenses.csv","Canonical input","Expert Lenses","Named client validation where required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","ms","Managed Services","Evidence","1","17_managed_services_scope.csv","Canonical input","Managed Services","FP&A validation and usage extracts required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
"meridian-health","Home / Knowledge","opev","Operational Evidence","Evidence","1","18_operational_process_evidence.csv","Canonical input","Operational Evidence","FP&A validation and usage extracts required","approved Home Knowledge design-contract render pack <- datasets/tenant-inputs/meridian-health/standard-2026-07-v3","2026-07-17T19:19:50.280Z"
