source_id,source_name,storage_container,tenant_rooted_path,parser_visible,restricted_truth_visible,maps_to_templates
SRC-AIRDN-ENT-001,Enterprise profile and operating footprint,raw,airline-demo-new/raw/enterprise-profile/,true,false,enterprise_profile; legal_entities_regions
SRC-AIRDN-STR-001,Technology strategy and priorities deck,raw,airline-demo-new/raw/strategy/,true,false,strategy_goals_objectives; programs_investments
SRC-AIRDN-ORG-001,Technology organization and ownership export,raw,airline-demo-new/raw/organization/,true,false,organization_ownership
SRC-AIRDN-APP-001,Application/platform inventory,raw,airline-demo-new/raw/applications/,true,false,applications_environments; relationships
SRC-AIRDN-INT-001,Integration and middleware inventory,raw,airline-demo-new/raw/integrations/,true,false,integrations_middleware; relationships
SRC-AIRDN-INF-001,Cloud/data-center/infrastructure inventory,raw,airline-demo-new/raw/infrastructure/,true,false,cloud_infrastructure
SRC-AIRDN-DATA-001,"Data, analytics and AI landscape extract",raw,airline-demo-new/raw/data-analytics-ai/,true,false,data_analytics_ai; kpi_definitions_observations
SRC-AIRDN-VEND-001,Technology vendor register,raw,airline-demo-new/raw/vendors/,true,false,vendors_contracts
SRC-AIRDN-CONT-001,Managed-services MSA/SOW package,raw,airline-demo-new/raw/contracts/,true,false,msa_sow_terms_extract; contract_exit_obligation_extract
SRC-AIRDN-RATE-001,Rate card and staffing workbook,raw,airline-demo-new/raw/rate-cards/,true,false,rate_card_staffing_extract; pricing_workbook
SRC-AIRDN-INV-001,Invoices and change orders,raw,airline-demo-new/raw/invoices-change-orders/,true,false,invoice_change_order_extract; finance_technology_spend
SRC-AIRDN-SLA-001,"SLA, incidents and tickets history",raw,airline-demo-new/raw/slas-incidents/,true,false,sla_incident_ticket_history; kpi_definitions_observations
SRC-AIRDN-EVENT-001,Sourcing event charter and criteria,raw,airline-demo-new/raw/sourcing-event/,true,false,sourcing_event_charter; evaluation_scorecard_input
SRC-AIRDN-PROP-001,Vendor proposal A,raw,airline-demo-new/raw/vendor-proposals/SRC-AIRDN-000121/v001/,true,false,vendor_proposal_intake; proposal_fact_evidence_matrix; pricing_workbook
SRC-AIRDN-PROP-002,Vendor proposal B,raw,airline-demo-new/raw/vendor-proposals/SRC-AIRDN-000122/v001/,true,false,vendor_proposal_intake; proposal_fact_evidence_matrix; pricing_workbook
SRC-AIRDN-PROP-003,Vendor proposal C,raw,airline-demo-new/raw/vendor-proposals/SRC-AIRDN-000123/v001/,true,false,vendor_proposal_intake; proposal_fact_evidence_matrix; pricing_workbook
SRC-AIRDN-BAFO-001,BAFO response package,raw,airline-demo-new/raw/bafo/,true,false,bafo_response_template; value_commitment_outcome_baseline
SRC-AIRDN-REL-001,Relationship load template,raw,airline-demo-new/raw/relationships/,true,false,relationships
