source_file,source_meaning,target_persistent_layer,target_derived_layer,module_consumption,controls_notes
00_enterprise_profile.csv,"Enterprise profile facts: industry, revenue, employee count, HQ, operating model",enterprise_context_records/facts/evidence; intelligence_v7.business_records/field_facts/chunks when loaded,derived/entity-profiles.json; approved-content/home/story-blocks.json,Home executive brief and profile cards; Tower profile context; Intelligence tenant frame,Must retain evidence_id/confidence boundary; fabricated profile fields must be assumption-tagged or sourced.
01_business_functions.csv,Function inventory and operating scope,enterprise_context_records/facts,derived/entity-profiles.json; derived/home-context-view.json,Home function explorer; Intelligence functional context; Tower owner/function rollups,Needs named owners and portfolio/function depth for CXO credibility.
02_org_ownership.csv,"Owners, roles, accountability paths",enterprise_context_records/facts/relationships,derived/relationship-graph.json; derived/interview-insights.json,Home relationships; Moves gate owners; Tower action owners,"Executive role rows should be robust, not thin placeholders."
03_workforce_roles.csv,Role/persona capacity and operational users,enterprise_context_records/facts,derived/entity-profiles.json,Home personas; Intelligence operating impact; Tower usage-readiness context,Useful for AI adoption and value-realization denominator logic.
04_applications_systems.csv,"Application estate, systems, criticality, lifecycle",enterprise_context_records/facts/relationships,derived/home-context-view.json; relationship-graph.json,Home app inventory; Intelligence system context; Tower system/vendor exposure,Must include healthcare/payer/provider systems with enough depth.
05_data_assets_integrations.csv,"Data domains, integrations, lineage, owners",enterprise_context_records/facts/relationships,derived/relationship-graph.json; context-gaps.json,Home data explorer; Intelligence evidence boundary; Moves/Tower readiness gates,Critical for why AI cannot scale yet and Copilot/agent value proof.
06_infrastructure_platforms.csv,"Cloud, data platform, analytics estate",enterprise_context_records/facts,derived/home-context-view.json,Home infra context; Tower platform/change investment lens,Current thin rows should be expanded or clearly marked target-state.
07_vendors_contracts.csv,"Vendor, contract, spend, renewal pressure",enterprise_context_records/facts; cio_tower.facts(view=vendor_contract),tower-dashboard-view.json; mart evidence lineage,Tower vendor/spend leverage; Source handoff; Intelligence vendor exposure,Contract values must reconcile to budget/source adapters.
08_it_budget_spend_value.csv,Curated budget/spend/value facts with AI tags,enterprise_context_records/facts; cio_tower.facts(view=it_budget/initiative_budget); cio_tower.measure_results,tower-dashboard-view.json; cio_tower.mart_command_center/value_funnel/program_lanes/ai_portfolio,"Tower budget, run/change, AI spend, value funnel; Intelligence budget context",Primary Tower budget file. Rows must tie to programs/SA02; realized value blocked unless value claim gate passes.
09_programs_initiatives.csv,"Program portfolio, funding, owners, planned value",enterprise_context_records/facts/entities; cio_tower.entities/facts,tower-dashboard-view.json; mart_program_decision_lanes; mart_cxo_actions,Tower program lanes and recommended actions; Moves opportunity shaping; Intelligence portfolio advice,Approved/active programs must tie to 08 or SA02.
10_ai_automation_use_cases.csv,"AI use cases, candidates, status, funding boundary",enterprise_context_records/facts/entities; cio_tower.facts/entities,ai-use-case-business-unit-map.json; mart_ai_portfolio,Tower AI portfolio; Intelligence AI recommendations; Moves candidate opportunities,Candidate AI Assist remains not approved unless source row says otherwise.
11_risks_controls.csv,"Control gaps, risks, gates, model/PHI constraints",enterprise_context_records/facts/quality_issues,context-gaps.json; relationship-graph.json,Home gaps; Intelligence caveats; Tower decision gates; Moves remediation,Must convert raw gaps into executive blocker themes.
12_relationships.csv,"Cross-object links: system, program, vendor, metric, risk",enterprise_context_relationships; intelligence_v7.graph_edges,derived/relationship-graph.json,Home relationship tab; Intelligence grounding; Tower lineage; Moves dependencies,Relationship graph explains dependencies but does not calculate spend/value.
13_evidence_sources.csv,"Evidence registry, source files, citations",enterprise_context_evidence; enterprise_context_source_files; cio_tower.source_registry,derived/evidence-registry.json,All modules; aVa citations; Tower evidence tab,Every displayed fact should trace here plus source row/file.
14_metrics_outcomes.csv,"KPI baselines, targets, actuals, finance validation",enterprise_context_records/facts; cio_tower.facts(view=metric/value),sa08-benefits-posture.json; mart_value_funnel,Tower value proof and claim gate; Intelligence what-is-working answers,No realized/proven language unless actuals and finance validation pass.
15_industry_context_patterns.csv,Industry context and benchmark patterns,enterprise_context_records/facts or approved-content only,approved-content/home and intelligence context packs,Intelligence industry tabs; Home industry boundary,"Must be labelled industry context, not tenant evidence."
16_expert_lenses.csv,Expert advisory lenses by role/domain,enterprise_context_records/facts or approved-content,approved-content story blocks,Intelligence/Tower narrative shaping,"Claude may synthesize voice, but facts remain deterministic."
17_managed_services_scope.csv,AMS/IMS/vendor scope and run pressure,enterprise_context_records/facts; cio_tower.facts,tower-dashboard-view.json,Tower run spend pressure; Source sourcing handoff,"Should connect run budget, vendor contracts, SLA evidence."
18_operational_process_evidence.csv,"Process pain, volumes, SLAs, tickets, operational pressure",enterprise_context_records/facts; cio_tower.facts,tower-dashboard-view.json; context-gaps.json,Tower pressure signals; Intelligence what-is-not-working; Moves value hypothesis,"Needs process-level pain and evidence, not generic statements."
SA02_IT_Finance_Budget_Spend_Extract.csv,"Source-detail finance rows: cost center, GL, run/change, vendor/system/program",enterprise_context_records/facts; cio_tower.facts(source_detail),mart_command_center; mart_evidence_lineage,Tower source-backed budget proof; reconciliation to 08,Feeds 08 and Tower; should never be bypassed by hand-entered totals.
SA04_Program_Portfolio_Extract.csv,Source-detail program funding/status rows,enterprise_context_records/facts; cio_tower.facts/entities,mart_program_decision_lanes,Tower program lanes; Moves program creation/readiness,All active programs need budget ties.
SA08_AI_Benefits_Realization_Usage_Ledger.csv,"AI benefits chain: promised value, usage, KPI, finance validation, claim status",enterprise_context_records/facts; cio_tower.facts(view=value_proof),sa08-benefits-posture.json; mart_value_funnel; mart_ai_portfolio,Tower value proof funnel; Intelligence AI value answers,New Day-1 layer. Realized value blocked unless full usage/KPI/finance chain passes.
SA09_AI_Tool_Usage_Feed.csv,"Tool usage/adoption from Copilot, ServiceNow, Workday/ERP, GitHub/Codex/code tools, and ERP agents",enterprise_context_records/facts; cio_tower.facts(view=usage),mart_ai_portfolio; mart_program_decision_lanes,Tower adoption and why-value-is-not-showing views; Intelligence diagnostics,Day-1 template now; future API connectors later.
SA10_AI_Value_Interview_Evidence.csv,"Stakeholder interview evidence: working/not working, pressure, evidence requests",enterprise_context_records/facts/evidence; derived/interview-insights.json,approved-content/home/tower story blocks; Moves context,"Home insights, Intelligence advisory context, Moves gates, Tower action narrative","Must remain evidence-grade context, not funding/realized value."
SA11_AI_KPI_Operational_Outcome_Feed.csv,Operational KPI actuals tied to AI programs/use cases,enterprise_context_records/facts; cio_tower.facts(view=outcome),mart_value_funnel; mart_program_decision_lanes,"Tower KPI proof, value claim gate, Intelligence outcome answers",Needed for Copilot/ServiceNow/ERP agent value proof.
