source_file_id,source_system,source_file,source_path,source_type,display_name,target_table,feature,row_count,confidence,freshness_status
SRC-PORTFOLIO-001,packet_18_apex_synthetic,application-portfolio.csv,13-context/source-files/src-portfolio-001.md,portfolio,Application portfolio export,enterprise_context_source_files,portfolio_reasoning,1,0.92,fresh
SRC-TOPOLOGY-001,packet_18_apex_synthetic,integration-topology.json,13-context/source-files/src-topology-001.md,architecture,Integration topology export,enterprise_context_source_files,dependency_reasoning,1,0.92,fresh
SRC-TIME-001,packet_18_apex_synthetic,time-classification-output.csv,13-context/source-files/src-time-001.md,portfolio,TIME classification,enterprise_context_source_files,watchlist_reasoning,1,0.92,fresh
SRC-WARDLEY-001,packet_18_apex_synthetic,wardley-map-2026q1.json,13-context/source-files/src-wardley-001.md,strategy,Wardley map,enterprise_context_source_files,strategy_reasoning,1,0.92,fresh
SRC-COMMIT-001,packet_18_apex_synthetic,initiative-commitments.csv,13-context/source-files/src-commit-001.md,finance,Initiative commitments,enterprise_context_source_files,show_me_money,1,0.92,fresh
SRC-RUNCOST-001,packet_18_apex_synthetic,annual-run-costs.csv,13-context/source-files/src-runcost-001.md,finance,Annual run costs,enterprise_context_source_files,show_me_money,1,0.92,fresh
SRC-CAPEX-001,packet_18_apex_synthetic,capex-opex-split-fy26.csv,13-context/source-files/src-capex-001.md,finance,Capex/opex split,enterprise_context_source_files,cfo_reasoning,1,0.92,fresh
SRC-RENEWAL-001,packet_18_apex_synthetic,renewal-calendar-12mo.csv,13-context/source-files/src-renewal-001.md,source,Renewal calendar,enterprise_context_source_files,source_renewal_risk,1,0.92,fresh
SRC-VENDOR-001,packet_18_apex_synthetic,vendor-contracts.csv,13-context/source-files/src-vendor-001.md,source,Vendor contracts,enterprise_context_source_files,source_vendor_concentration,1,0.92,fresh
SRC-INFRA-001,packet_18_apex_synthetic,infra-ms-contracts.csv,13-context/source-files/src-infra-001.md,source,Infrastructure managed services,enterprise_context_source_files,ams_reasoning,1,0.92,fresh
SRC-SCORECARD-001,packet_18_apex_synthetic,vendor-scorecards-2026q1.csv,13-context/source-files/src-scorecard-001.md,source,Vendor scorecards,enterprise_context_source_files,source_performance,1,0.92,fresh
SRC-ORG-001,packet_18_apex_synthetic,org-topology.csv,13-context/source-files/src-org-001.md,org,Org topology,enterprise_context_source_files,change_effort,1,0.92,fresh
SRC-ROLES-001,packet_18_apex_synthetic,roles-inventory.csv,13-context/source-files/src-roles-001.md,org,Role inventory,enterprise_context_source_files,change_effort,1,0.92,fresh
SRC-LEADERSHIP-001,packet_18_apex_synthetic,leadership-bench.json,13-context/source-files/src-leadership-001.md,org,Leadership bench,enterprise_context_source_files,sponsor_reasoning,1,0.92,fresh
SRC-DORA-001,packet_18_apex_synthetic,dora-baseline-consolidated.csv,13-context/source-files/src-dora-001.md,dora,DORA baseline,enterprise_context_source_files,ai_productivity_targeting,1,0.92,fresh
SRC-DEVEX-001,packet_18_apex_synthetic,devex-survey-2026q1.json,13-context/source-files/src-devex-001.md,devex,DevEx survey,enterprise_context_source_files,developer_experience,1,0.92,fresh
SRC-SPACE-001,packet_18_apex_synthetic,space-survey-2026q1.json,13-context/source-files/src-space-001.md,devex,SPACE survey,enterprise_context_source_files,developer_experience,1,0.92,fresh
SRC-AITOOLS-001,packet_18_apex_synthetic,ai-tool-footprint.csv,13-context/source-files/src-aitools-001.md,ai_tools,AI tool footprint,enterprise_context_source_files,ai_productivity_value,1,0.92,fresh
SRC-COPILOT-001,packet_18_apex_synthetic,copilot-utilization-export.csv,13-context/source-files/src-copilot-001.md,ai_tools,Copilot utilization,enterprise_context_source_files,ai_productivity_value,1,0.92,fresh
SRC-CURSOR-001,packet_18_apex_synthetic,cursor-utilization-export.csv,13-context/source-files/src-cursor-001.md,ai_tools,Cursor utilization,enterprise_context_source_files,ai_productivity_value,1,0.92,fresh
