value_id,source_initiative_id,value_type,promised_amount,realized_amount,disputed_amount,evidence_status,validation_owner,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-VAL-001,SHA-INIT-001,cost_savings,5000000,0,5000000,stuck,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-002,SHA-INIT-002,revenue_uplift,5390000,4419800,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-003,SHA-INIT-003,risk_reduction,5780000,4739600,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-004,SHA-INIT-004,cycle_time,6170000,2653100,0,partial,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-005,SHA-INIT-005,customer_NPS,6560000,5379200,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-006,SHA-INIT-006,employee_productivity,6950000,1737500,5212500,disputed,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-007,SHA-INIT-007,cost_savings,7340000,3156200,0,partial,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-008,SHA-INIT-008,revenue_uplift,7730000,0,7730000,stuck,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-009,SHA-INIT-009,risk_reduction,8120000,6658400,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-010,SHA-INIT-010,cycle_time,8510000,3659300,0,partial,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
