edge_id,source_system_id,target_system_id,integration_type,latency_class,business_capability,fragility,modernization_blocker_flag,pattern,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,pattern_id,pattern_name,description
SHA-EDGE-001,SHA-Z-001,SHA-Z-012,sync_API,sub-second,PSS,1,true,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-002,SHA-Z-002,SHA-Z-019,async_event,minutes,DCS,2,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-003,SHA-Z-003,SHA-Z-026,batch_file,overnight,crew,3,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-004,SHA-Z-004,SHA-AWS-005,CDC,overnight,IROPs,4,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-005,SHA-Z-005,SHA-AWS-012,dual_write,overnight,loyalty,5,false,dual-run bridge requiring explicit retirement criterion,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-006,SHA-Z-006,SHA-AWS-019,sync_API,sub-second,revenue_accounting,1,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-007,SHA-Z-007,SHA-AWS-026,async_event,minutes,settlement,2,true,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-008,SHA-Z-008,SHA-AWS-033,batch_file,overnight,cargo,3,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-009,SHA-Z-009,SHA-AWS-040,CDC,overnight,MRO,4,false,standard modernization dependency edge,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
SHA-EDGE-010,SHA-Z-010,SHA-AWS-047,dual_write,overnight,finance_batch,5,false,dual-run bridge requiring explicit retirement criterion,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S05_INTEGRATION_TOPOLOGY,synthetic_comparable,source_uploads/integration_topology_edges.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,
