opportunity_id,category,domain,current_baseline_metric,target_metric,AI_tooling_candidate,risk_class,readiness_score,guardrail,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-AISDLC-001,COBOL_analysis,Mainframe Core,120 SME hours per workload analysis,70 SME hours per analysis,IBM watsonx Code Assistant,high,1,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-002,dependency_mining,Crew Systems,47 regression test days per release,25 regression test days,Amazon Q Developer,low,2,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-003,test_generation,Airport Ops,128 SME hours per workload analysis,74 SME hours per analysis,GitHub Copilot Enterprise,low,3,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-004,doc_extraction,Baggage,51 regression test days per release,27 regression test days,Cursor Enterprise,medium,4,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-005,refactor_assistance,Loyalty,136 SME hours per workload analysis,78 SME hours per analysis,Tabnine Enterprise,low,5,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-006,API_contract_gen,Revenue Accounting,55 regression test days per release,29 regression test days,IBM watsonx Code Assistant,high,1,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-007,code_review,AWS Platform,144 SME hours per workload analysis,82 SME hours per analysis,Amazon Q Developer,medium,2,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-008,security_scan,Data Platform,59 regression test days per release,31 regression test days,GitHub Copilot Enterprise,low,3,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-009,COBOL_analysis,Security Engineering,152 SME hours per workload analysis,86 SME hours per analysis,Cursor Enterprise,low,4,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-010,dependency_mining,Contact Center,63 regression test days per release,33 regression test days,Tabnine Enterprise,medium,5,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
