service_id,app_id,name,capability_extracted_from_Z,AWS_account,region,extraction_wave_id,runtime,data_store,event_streams,criticality,ops_maturity,duplicate_complexity_flag,annual_run_cost_usd,stack_era,time_classification,ams_vendor,business_unit_id,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-AWS-001,SHA-AWS-001,Loyalty Wallet Service AWS Control Plane,Passenger Name Record Core,sha-core-100,us-west-2,WAVE-01,Lambda,Aurora PostgreSQL,MSK modernization-bus,5,new,true,1200000,cloud-native,migrate,AWS Professional Services,customer,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-002,SHA-AWS-002,Customer Profile Golden Record AWS API,Ticketing Exchange Engine,sha-ops-101,us-east-1,WAVE-02,ECS,DynamoDB,Kinesis ops-events,5,mature,false,1380000,hybrid,invest,Internal AWS Platform,operations,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-003,SHA-AWS-003,Mobile Check-In Service AWS Worker,Departure Control Closeout,sha-loyalty-102,us-east-1,WAVE-03,EKS,S3,MSK modernization-bus,5,mature,false,1560000,hybrid,invest,Internal AWS Platform,loyalty,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-004,SHA-AWS-004,Bag Tag Digital Service AWS Data Product,Crew Legality Solver,sha-data-103,us-east-1,WAVE-04,EC2,Redshift,Kinesis ops-events,5,mature,false,1740000,cloud-native,invest,Internal AWS Platform,data,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-005,SHA-AWS-005,Customer Preference Service AWS Event Service,IROPs Reaccommodation Rules,sha-security-104,us-east-1,WAVE-05,SageMaker,OpenSearch,MSK modernization-bus,5,stabilizing,false,1920000,hybrid,invest,Internal AWS Platform,security,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-006,SHA-AWS-006,Airport Kiosk API Wrapper AWS Control Plane,Loyalty Accrual Core,sha-core-105,us-east-1,WAVE-06,Lambda,Aurora PostgreSQL,Kinesis ops-events,5,mature,false,2100000,hybrid,invest,AWS Professional Services,customer,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-007,SHA-AWS-007,Disruption Messaging Service AWS API,Revenue Accounting Batch,sha-ops-106,us-east-1,WAVE-07,ECS,DynamoDB,MSK modernization-bus,5,new,false,2280000,cloud-native,invest,Internal AWS Platform,operations,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-008,SHA-AWS-008,Loyalty Offers Engine AWS Worker,Interline Settlement,sha-loyalty-107,us-west-2,WAVE-08,EKS,S3,Kinesis ops-events,5,mature,false,2460000,hybrid,invest,Internal AWS Platform,loyalty,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-009,SHA-AWS-009,Payment Token Vault AWS Data Product,Baggage WorldTracer Bridge,sha-data-108,us-east-1,WAVE-01,EC2,Redshift,MSK modernization-bus,5,stabilizing,true,2640000,hybrid,migrate,Internal AWS Platform,data,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AWS-010,SHA-AWS-010,Digital Receipt Service AWS Event Service,Cargo Capacity Rating,sha-security-100,us-east-1,WAVE-02,SageMaker,OpenSearch,Kinesis ops-events,5,mature,false,2820000,cloud-native,invest,Internal AWS Platform,security,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S04_AWS_NATIVE_ESTATE,synthetic_comparable,source_uploads/aws_service_inventory.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
