erp_object_id,platform,process_area,owner_role,business_unit,customization_count,tsa_dependency
ERP-001,Legacy ECC,Acquire to Retire,VP Finance Systems,Cargo,213,true
ERP-002,Oracle Fusion,Acquire to Retire,CFO FP&A,MRO,169,true
ERP-003,Legacy ECC,Plan to Inventory,CFO FP&A,MRO,228,false
ERP-004,Oracle Fusion,Order to Cash,Director ERP,MRO,79,false
ERP-005,Oracle Fusion,Plan to Inventory,CFO FP&A,MRO,213,false
ERP-006,SAP S/4HANA,Acquire to Retire,VP Finance Systems,MRO,167,true
ERP-007,Oracle Fusion,Order to Cash,Director ERP,Passenger,228,false
ERP-008,Legacy ECC,Plan to Inventory,Director ERP,MRO,16,true
ERP-009,Oracle Fusion,Plan to Inventory,CFO FP&A,Passenger,195,false
ERP-010,Legacy ECC,Procure to Pay,Director ERP,Group,83,true
ERP-011,Legacy ECC,Record to Report,VP Finance Systems,Group,8,true
ERP-012,SAP S/4HANA,Record to Report,CFO FP&A,Passenger,144,true
ERP-013,Oracle Fusion,Order to Cash,CFO FP&A,Cargo,158,false
ERP-014,Oracle Fusion,Procure to Pay,VP Finance Systems,Passenger,52,true
ERP-015,Legacy ECC,Record to Report,VP Finance Systems,MRO,5,false
ERP-016,SAP S/4HANA,Hire to Retire,VP Finance Systems,Passenger,176,false
ERP-017,Legacy ECC,Plan to Inventory,VP Finance Systems,MRO,44,true
ERP-018,Oracle Fusion,Hire to Retire,VP Finance Systems,Cargo,164,true
ERP-019,SAP S/4HANA,Acquire to Retire,VP Finance Systems,Cargo,82,false
ERP-020,Legacy ECC,Procure to Pay,Director ERP,Cargo,78,false
ERP-021,Oracle Fusion,Procure to Pay,CFO FP&A,MRO,225,true
ERP-022,Legacy ECC,Hire to Retire,Director ERP,Cargo,81,false
ERP-023,Oracle Fusion,Acquire to Retire,VP Finance Systems,MRO,114,true
ERP-024,Legacy ECC,Order to Cash,Director ERP,Passenger,101,false
ERP-025,Oracle Fusion,Order to Cash,CFO FP&A,Cargo,134,false
ERP-026,Oracle Fusion,Hire to Retire,Director ERP,MRO,30,false
ERP-027,Oracle Fusion,Procure to Pay,Director ERP,Cargo,208,false
ERP-028,Legacy ECC,Procure to Pay,CFO FP&A,Passenger,33,true
ERP-029,Oracle Fusion,Procure to Pay,Director ERP,Cargo,121,true
ERP-030,Oracle Fusion,Plan to Inventory,Director ERP,Cargo,166,true
ERP-031,SAP S/4HANA,Record to Report,Director ERP,MRO,48,false
ERP-032,Legacy ECC,Acquire to Retire,VP Finance Systems,MRO,17,false
ERP-033,SAP S/4HANA,Hire to Retire,VP Finance Systems,Passenger,162,false
ERP-034,SAP S/4HANA,Hire to Retire,CFO FP&A,Cargo,67,false
ERP-035,Legacy ECC,Procure to Pay,Director ERP,Cargo,228,false
ERP-036,SAP S/4HANA,Order to Cash,Director ERP,Passenger,186,false
ERP-037,SAP S/4HANA,Record to Report,Director ERP,MRO,240,false
ERP-038,Legacy ECC,Hire to Retire,VP Finance Systems,Cargo,107,false
ERP-039,Legacy ECC,Plan to Inventory,CFO FP&A,Group,230,true
ERP-040,Oracle Fusion,Order to Cash,VP Finance Systems,Cargo,99,false
ERP-041,Oracle Fusion,Plan to Inventory,CFO FP&A,Group,167,false
ERP-042,Legacy ECC,Plan to Inventory,Director ERP,Cargo,38,false
ERP-043,SAP S/4HANA,Hire to Retire,VP Finance Systems,MRO,108,false
ERP-044,Oracle Fusion,Plan to Inventory,CFO FP&A,Group,168,false
ERP-045,Oracle Fusion,Plan to Inventory,VP Finance Systems,Group,170,false
ERP-046,Legacy ECC,Acquire to Retire,VP Finance Systems,Cargo,86,false
ERP-047,Oracle Fusion,Plan to Inventory,VP Finance Systems,Group,230,false
ERP-048,SAP S/4HANA,Order to Cash,VP Finance Systems,Passenger,71,false
ERP-049,Oracle Fusion,Procure to Pay,Director ERP,Cargo,192,true
ERP-050,Oracle Fusion,Procure to Pay,CFO FP&A,Passenger,102,true
ERP-051,Oracle Fusion,Record to Report,CFO FP&A,Group,137,false
ERP-052,Legacy ECC,Order to Cash,Director ERP,MRO,33,true
ERP-053,Legacy ECC,Acquire to Retire,Director ERP,Cargo,62,false
ERP-054,Legacy ECC,Hire to Retire,CFO FP&A,MRO,43,false
ERP-055,SAP S/4HANA,Hire to Retire,VP Finance Systems,MRO,50,false
ERP-056,SAP S/4HANA,Order to Cash,Director ERP,Passenger,180,false
ERP-057,Oracle Fusion,Procure to Pay,CFO FP&A,Passenger,32,true
ERP-058,Legacy ECC,Order to Cash,VP Finance Systems,MRO,225,false
ERP-059,Oracle Fusion,Plan to Inventory,Director ERP,Passenger,84,false
ERP-060,Legacy ECC,Hire to Retire,CFO FP&A,Group,192,false
