tenant_key,module,page,claim_id,claim_kind,label,gate_status,realized_value_language_allowed,reason,required_evidence,projection_evidence_ids,source_fact_id,source_dimension,active_source_file,active_source_row,active_source_data_row,active_record_id,active_evidence_id,active_confidence,active_source_type,active_source_basis,active_evidence_boundary,active_business_name,active_financial_fact_type,active_program_code,active_initiative_id,standard_template_file,standard_template_row,standard_template_status,lineage_status
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-1,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-1-evidence,meridian-health-08_spend_value-08_spend_value-row-1,08_spend_value,08_it_budget_spend_value.csv,2,1,MER-V3-0001,MER-V3-EVID-0360,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Unified clinical + claims lakehouse value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,2,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-2,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-2-evidence,meridian-health-08_spend_value-08_spend_value-row-2,08_spend_value,08_it_budget_spend_value.csv,3,2,MER-V3-0002,MER-V3-EVID-0361,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Governed data foundation for AI / LLM automation value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,3,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-3,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-3-evidence,meridian-health-08_spend_value-08_spend_value-row-3,08_spend_value,08_it_budget_spend_value.csv,4,3,MER-V3-0003,MER-V3-EVID-0362,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Call center optimization value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,4,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-4,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-4-evidence,meridian-health-08_spend_value-08_spend_value-row-4,08_spend_value,08_it_budget_spend_value.csv,5,4,MER-V3-0004,MER-V3-EVID-0363,medium,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Provider quality and performance value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,5,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-5,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-5-evidence,meridian-health-08_spend_value-08_spend_value-row-5,08_spend_value,08_it_budget_spend_value.csv,6,5,MER-V3-0005,MER-V3-EVID-0364,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,End-to-end cost transparency value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,6,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-6,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-6-evidence,meridian-health-08_spend_value-08_spend_value-row-6,08_spend_value,08_it_budget_spend_value.csv,7,6,MER-V3-0006,MER-V3-EVID-0365,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Payment integrity and leakage reduction value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,7,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-7,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-7-evidence,meridian-health-08_spend_value-08_spend_value-row-7,08_spend_value,08_it_budget_spend_value.csv,8,7,MER-V3-0007,MER-V3-EVID-0366,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Automated close and reporting value hypothesis,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,8,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-8,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-8-evidence,meridian-health-08_spend_value-08_spend_value-row-8,08_spend_value,08_it_budget_spend_value.csv,9,8,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0001,MER-SA07-INT-EVID-0001,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,9,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-9,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-9-evidence,meridian-health-08_spend_value-08_spend_value-row-9,08_spend_value,08_it_budget_spend_value.csv,10,9,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0002,MER-SA07-INT-EVID-0002,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,10,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-10,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-10-evidence,meridian-health-08_spend_value-08_spend_value-row-10,08_spend_value,08_it_budget_spend_value.csv,11,10,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0003,MER-SA07-INT-EVID-0003,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Call center optimization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,11,found,found
