tenant_key,module,page,record_type,record_id,label,source_dimension,projection_evidence_ids,projection_status,safe_to_display,claim_basis,active_source_file,active_source_row,active_source_data_row,active_record_id,active_evidence_id,active_confidence,active_source_type,active_source_basis,active_evidence_boundary,active_business_name,active_financial_fact_type,active_program_code,active_initiative_id,active_vendor_name,active_system_name,standard_template_file,standard_template_row,standard_template_status,lineage_status
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-1,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-1-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,2,1,MER-V3-0001,MER-V3-EVID-0360,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Unified clinical + claims lakehouse value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,2,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-2,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-2-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,3,2,MER-V3-0002,MER-V3-EVID-0361,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Governed data foundation for AI / LLM automation value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,3,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-3,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-3-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,4,3,MER-V3-0003,MER-V3-EVID-0362,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Call center optimization value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,4,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-4,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-4-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,5,4,MER-V3-0004,MER-V3-EVID-0363,medium,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Provider quality and performance value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,5,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-5,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-5-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,6,5,MER-V3-0005,MER-V3-EVID-0364,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,End-to-end cost transparency value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,6,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-6,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-6-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,7,6,MER-V3-0006,MER-V3-EVID-0365,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Payment integrity and leakage reduction value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,7,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-7,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-7-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,8,7,MER-V3-0007,MER-V3-EVID-0366,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Automated close and reporting value hypothesis,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,8,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-8,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-8-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,9,8,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0001,MER-SA07-INT-EVID-0001,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,9,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-9,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-9-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,10,9,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0002,MER-SA07-INT-EVID-0002,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,10,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-10,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-10-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,11,10,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0003,MER-SA07-INT-EVID-0003,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Call center optimization,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,11,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-11,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-11-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,12,11,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0004,MER-SA07-INT-EVID-0004,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Provider quality and performance,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,12,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-12,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-12-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,13,12,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0005,MER-SA07-INT-EVID-0005,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: End-to-end cost transparency,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,13,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-13,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-13-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,14,13,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0006,MER-SA07-INT-EVID-0006,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Payment integrity and leakage reduction,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,14,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-14,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-14-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,15,14,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0007,MER-SA07-INT-EVID-0007,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Automated close and reporting,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,15,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-15,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-15-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,16,15,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0008,MER-SA07-INT-EVID-0008,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,16,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-16,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-16-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,17,16,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0009,MER-SA07-INT-EVID-0009,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,17,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-17,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-17-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,18,17,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0010,MER-SA07-INT-EVID-0010,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Call center optimization,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,18,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-18,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-18-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,19,18,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0011,MER-SA07-INT-EVID-0011,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Provider quality and performance,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,19,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-19,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-19-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,20,19,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0012,MER-SA07-INT-EVID-0012,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: End-to-end cost transparency,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,20,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-20,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-20-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,21,20,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0013,MER-SA07-INT-EVID-0013,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,21,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-21,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-21-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,22,21,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0014,MER-SA07-INT-EVID-0014,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Call center optimization,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,22,found,found
meridian-health,tower,tower,metric,meridian-health-08_spend_value-08_spend_value-row-22,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-22-evidence,v3_context_pack_ready,true,,08_it_budget_spend_value.csv,23,22,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0015,MER-SA07-INT-EVID-0015,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Provider quality and performance,narrative_value_hypothesis,,,,,08_it_budget_spend_value.csv,23,found,found
