tenant_key,module,page,artifact_type,artifact_file,artifact_id,section,title,source_fact_id,source_dimension,source_record_id,artifact_evidence_ref_count,artifact_evidence_ref_sample,active_source_file,active_source_row,active_evidence_id,active_confidence,active_source_type,active_source_basis,active_evidence_boundary,active_business_name,active_context_item,active_status,standard_template_file,standard_template_row,standard_template_status,lineage_status
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:00_enterprise_profile:MER-V3-0001,00_enterprise_profile,MER-V3-0001,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,00_enterprise_profile.csv,2,MER-V3-EVID-0001,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Meridian Health System,Meridian Health System,active,00_enterprise_profile.csv,2,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0001,01_business_functions,MER-V3-0001,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,2,MER-V3-EVID-0002,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Enterprise Data and Analytics,Enterprise Data and Analytics,active,01_business_functions.csv,2,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0002,01_business_functions,MER-V3-0002,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,3,MER-V3-EVID-0003,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Clinical Operations,Clinical Operations,active,01_business_functions.csv,3,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0003,01_business_functions,MER-V3-0003,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,4,MER-V3-EVID-0004,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Health Plan Operations,Health Plan Operations,active,01_business_functions.csv,4,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0004,01_business_functions,MER-V3-0004,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,5,MER-V3-EVID-0005,medium,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Quality and Provider Performance,Quality and Provider Performance,active,01_business_functions.csv,5,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0005,01_business_functions,MER-V3-0005,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,6,MER-V3-EVID-0006,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Finance and Actuarial,Finance and Actuarial,candidate,01_business_functions.csv,6,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0006,01_business_functions,MER-V3-0006,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,7,MER-V3-EVID-0007,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Contact Center and Member Experience,Contact Center and Member Experience,active,01_business_functions.csv,7,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-V3-0007,01_business_functions,MER-V3-0007,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,8,MER-V3-EVID-0008,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo_phi_free_planning_grade,Technology Platform and Security,Technology Platform and Security,active,01_business_functions.csv,8,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0001,01_business_functions,MER-SA07-01_BUSINESS_FUNCTIONS-0001,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,9,MER-SA07-INT-EVID-0001,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",candidate,01_business_functions.csv,9,found,found
meridian-health,home,knowledge_home,story_block,datasets/tenant-inputs/meridian-health/approved-content/home/story-blocks.json,home:story:enterprise-brief,Enterprise Brief,"Meridian's V3 context is broad enough to orient executives, but still planning-grade.",fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0002,01_business_functions,MER-SA07-01_BUSINESS_FUNCTIONS-0002,30,MER-V3-EVID-0001;MER-V3-EVID-0002;MER-V3-EVID-0003;MER-V3-EVID-0004;MER-V3-EVID-0005;MER-V3-EVID-0006;MER-V3-EVID-0007;MER-V3-EVID-0008;MER-SA07-INT-EVID-0001;MER-SA07-INT-EVID-0002;MER-SA07-INT-EVID-0003;MER-SA07-INT-EVID-0004,01_business_functions.csv,10,MER-SA07-INT-EVID-0002,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",candidate,01_business_functions.csv,10,found,found
