initiative_id,initiative_name,business_area,owner_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,primary_blocker,evidence_id
LAK-AI-001,Kyriba global cash and payments rollout,Treasury,Treasurer,build,86000000,18920000,medium,at_risk,SOX/control evidence and source citation gap,LAK-EVID-001
LAK-AI-002,Treasury bank connectivity control evidence,Treasury controls,Treasurer,mobilize,28000000,8400000,high,scale_candidate,integration and master-data defect backlog,LAK-EVID-002
LAK-AI-003,Liquidity forecasting automation,FP&A,CFO,pilot,39000000,14820000,high,scale_candidate,value measurement needs CFO/Treasurer signoff,LAK-EVID-003
LAK-AI-004,Automated close and finance reporting semantic layer,Finance,Controller,build,46000000,21160000,medium,hold_until_evidence,SOX/control evidence and source citation gap,LAK-EVID-004
LAK-AI-005,ServiceNow finance support agent,IT Operations,VP IT Operations,pilot,14000000,3080000,high,at_risk,integration and master-data defect backlog,LAK-EVID-005
LAK-AI-006,Finance AI narrative and variance explainer,Finance,CFO,design,17000000,5100000,high,scale_candidate,value measurement needs CFO/Treasurer signoff,LAK-EVID-006
LAK-AI-007,Supplier working-capital analytics,Procurement,Chief Procurement Officer,pilot,26000000,9880000,medium,hold_until_evidence,SOX/control evidence and source citation gap,LAK-EVID-007
LAK-AI-008,Kyriba rollout assistant and defect triage,Treasury,Treasurer,pilot,11000000,5060000,high,scale_candidate,integration and master-data defect backlog,LAK-EVID-008
LAK-AI-009,M365 Copilot finance rollout,Productivity,Treasurer,scale,86000000,2860000,high,at_risk,value measurement needs CFO/Treasurer signoff,LAK-EVID-009
LAK-AI-010,Codex/Claude developer productivity for finance integrations,Developer productivity,Treasurer,pilot,28000000,2400000,medium,hold_until_evidence,SOX/control evidence and source citation gap,LAK-EVID-010
