initiative_id,milestone_id,milestone_name,due_date,status,blocker_or_condition
LAK-AI-001,LAK-AI-001-MS-1,charter_approved,2026-07-08,complete,
LAK-AI-001,LAK-AI-001-MS-2,data_ready,2026-08-09,at_risk,SOX/control evidence and source citation gap
LAK-AI-001,LAK-AI-001-MS-3,control_ready,2026-09-10,not_started,
LAK-AI-001,LAK-AI-001-MS-4,pilot_exit,2026-10-11,not_started,
LAK-AI-001,LAK-AI-001-MS-5,scale_decision,2026-11-12,not_started,
LAK-AI-002,LAK-AI-002-MS-1,charter_approved,2026-08-09,complete,
LAK-AI-002,LAK-AI-002-MS-2,data_ready,2026-09-10,complete,
LAK-AI-002,LAK-AI-002-MS-3,control_ready,2026-10-11,at_risk,integration and master-data defect backlog
LAK-AI-002,LAK-AI-002-MS-4,pilot_exit,2026-11-12,not_started,
LAK-AI-002,LAK-AI-002-MS-5,scale_decision,2026-07-13,not_started,
LAK-AI-003,LAK-AI-003-MS-1,charter_approved,2026-09-10,complete,
LAK-AI-003,LAK-AI-003-MS-2,data_ready,2026-10-11,complete,
LAK-AI-003,LAK-AI-003-MS-3,control_ready,2026-11-12,complete,
LAK-AI-003,LAK-AI-003-MS-4,pilot_exit,2026-07-13,at_risk,value measurement needs CFO/Treasurer signoff
LAK-AI-003,LAK-AI-003-MS-5,scale_decision,2026-08-14,not_started,
LAK-AI-004,LAK-AI-004-MS-1,charter_approved,2026-10-11,complete,
LAK-AI-004,LAK-AI-004-MS-2,data_ready,2026-11-12,complete,
LAK-AI-004,LAK-AI-004-MS-3,control_ready,2026-07-13,complete,
LAK-AI-004,LAK-AI-004-MS-4,pilot_exit,2026-08-14,complete,
LAK-AI-004,LAK-AI-004-MS-5,scale_decision,2026-09-15,at_risk,SOX/control evidence and source citation gap
LAK-AI-005,LAK-AI-005-MS-1,charter_approved,2026-11-12,complete,
LAK-AI-005,LAK-AI-005-MS-2,data_ready,2026-07-13,at_risk,integration and master-data defect backlog
LAK-AI-005,LAK-AI-005-MS-3,control_ready,2026-08-14,not_started,
LAK-AI-005,LAK-AI-005-MS-4,pilot_exit,2026-09-15,not_started,
LAK-AI-005,LAK-AI-005-MS-5,scale_decision,2026-10-16,not_started,
LAK-AI-006,LAK-AI-006-MS-1,charter_approved,2026-07-13,complete,
LAK-AI-006,LAK-AI-006-MS-2,data_ready,2026-08-14,complete,
LAK-AI-006,LAK-AI-006-MS-3,control_ready,2026-09-15,at_risk,value measurement needs CFO/Treasurer signoff
LAK-AI-006,LAK-AI-006-MS-4,pilot_exit,2026-10-16,not_started,
LAK-AI-006,LAK-AI-006-MS-5,scale_decision,2026-11-17,not_started,
LAK-AI-007,LAK-AI-007-MS-1,charter_approved,2026-08-14,complete,
LAK-AI-007,LAK-AI-007-MS-2,data_ready,2026-09-15,complete,
LAK-AI-007,LAK-AI-007-MS-3,control_ready,2026-10-16,complete,
LAK-AI-007,LAK-AI-007-MS-4,pilot_exit,2026-11-17,at_risk,SOX/control evidence and source citation gap
LAK-AI-007,LAK-AI-007-MS-5,scale_decision,2026-07-18,not_started,
LAK-AI-008,LAK-AI-008-MS-1,charter_approved,2026-09-15,complete,
LAK-AI-008,LAK-AI-008-MS-2,data_ready,2026-10-16,complete,
LAK-AI-008,LAK-AI-008-MS-3,control_ready,2026-11-17,complete,
LAK-AI-008,LAK-AI-008-MS-4,pilot_exit,2026-07-18,complete,
LAK-AI-008,LAK-AI-008-MS-5,scale_decision,2026-08-19,at_risk,integration and master-data defect backlog
LAK-AI-009,LAK-AI-009-MS-1,charter_approved,2026-10-16,complete,
LAK-AI-009,LAK-AI-009-MS-2,data_ready,2026-11-17,at_risk,value measurement needs CFO/Treasurer signoff
LAK-AI-009,LAK-AI-009-MS-3,control_ready,2026-07-18,not_started,
LAK-AI-009,LAK-AI-009-MS-4,pilot_exit,2026-08-19,not_started,
LAK-AI-009,LAK-AI-009-MS-5,scale_decision,2026-09-20,not_started,
LAK-AI-010,LAK-AI-010-MS-1,charter_approved,2026-11-17,complete,
LAK-AI-010,LAK-AI-010-MS-2,data_ready,2026-07-18,complete,
LAK-AI-010,LAK-AI-010-MS-3,control_ready,2026-08-19,at_risk,SOX/control evidence and source citation gap
LAK-AI-010,LAK-AI-010-MS-4,pilot_exit,2026-09-20,not_started,
LAK-AI-010,LAK-AI-010-MS-5,scale_decision,2026-10-21,not_started,
