initiative_id,title,status,accountable,vendors,committed_usd,projected_value_usd,sentinel_posture,stage,evidence_note
FCF-CLOSED-001,Branch teller desktop consolidation,closed,EVP Technology Operations,FIS,900000,1400000,Closed - value verified,Closed,Closeout package includes before/after handle-time sample and branch adoption exceptions.
FCF-CLOSED-002,ACH exception queue triage uplift,closed,SVP Payments Technology,ACI Worldwide,1110000,1700000,Closed - lessons captured,Closed,Operations evidence shows the triage model reduced aging over 5 business days but did not eliminate manual sanction-screening review.
FCF-CLOSED-003,Commercial credit memo template standardization,closed,Chief Digital Officer,Internal,1320000,2000000,Closed - value verified,Closed,Credit policy retained manual override authority; value is limited to memo assembly and reviewer cycle time.
FCF-CLOSED-004,Mortgage document indexing remediation,closed,SVP Commercial Bank CIO,nCino,1530000,2300000,Closed - lessons captured,Closed,Records management accepted the index remediation after sampling 600 loan files across 3 servicing centers.
FCF-CLOSED-005,Treasury intraday liquidity dashboard,closed,SVP Wealth Technology,Broadridge,1740000,2600000,Closed - value verified,Closed,Treasury signed off on liquidity dashboard timeliness but left stress-scenario lineage as an open control item.
FCF-CLOSED-006,Loan operations RPA retirement,closed,Chief Risk Officer,NICE,1950000,2900000,Closed - lessons captured,Closed,RPA retirement delivered run-cost savings only after Pega case-routing controls were amended.
FCF-CLOSED-007,Cyber privileged-access recertification,closed,Chief Data and Analytics Officer,Snowflake,2160000,3200000,Closed - value verified,Closed,"Cyber evidence includes recertification completion, privileged group exceptions, and post-cycle remediation owners."
FCF-CLOSED-008,Vendor renewal evidence room pilot,closed,SVP Infrastructure,Palo Alto Networks,2370000,3500000,Closed - lessons captured,Closed,Procurement reused the evidence room pattern for three renewals but did not yet integrate it with ServiceNow GRC.
FCF-CLOSED-009,Digital-servicing complaint taxonomy cleanup,closed,CISO,SAP,2580000,3800000,Closed - value verified,Closed,"Complaint taxonomy cleanup improved root-cause coding, with unresolved mapping to Salesforce FSC case types."
FCF-CLOSED-010,Model inventory attestation cycle,closed,CFO,NCR,2790000,4100000,Closed - lessons captured,Closed,"Model inventory attestation closed after second-line review, with monitoring evidence deferred to the next quarter."
