app_id,name,vendor,category,business_owner,it_owner,deployment,lifecycle_stage,criticality,run_cost_fy25_usd,primary_dataclass,integration_count,last_modernization_review,ai_eligibility_score,notes
FCF-APP-FIS-HORIZON,FIS Horizon Core Deposits,FIS,core banking,COO,TEAM-FCF-CORE,mainframe,maintain,critical,18500000,pci_pii_confidential,142,2026-02-15,0.22,Primary deposit system of record; core future decision pending.
FCF-APP-HOGAN-LOANS,Hogan Commercial Loan Servicing,DXC/FIS,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,mainframe,migrate,critical,12400000,confidential,96,2026-02-15,0.18,COBOL customizations block straight-through commercial servicing.
FCF-APP-FEDWIRE-ACH,ACH and Wire Payments Hub,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,invest,critical,9200000,pci_confidential,118,2026-02-15,0.45,FedNow/RTP readiness depends on message broker and sanction-screening integration.
FCF-APP-FEDNOW-RTP,FedNow and RTP Gateway,The Clearing House,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,cloud,invest,critical,6400000,pci_confidential,62,2026-02-15,0.68,Board-visible instant-payments initiative; commercial deposits at risk without delivery.
FCF-APP-SALESFORCE-FSC,Salesforce Financial Services Cloud,Salesforce,crm,Chief Digital Officer,TEAM-FCF-DIGITAL,saas,invest,critical,7200000,pii_confidential,80,2026-02-15,0.71,Retail and wealth relationship platform with fragmented adoption.
FCF-APP-NCINO,nCino Commercial Loan Origination,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,invest,critical,8700000,confidential,75,2026-02-15,0.63,Commercial lending workflow anchor; integration debt drives manual credit memos.
FCF-APP-NICE-ACTIMIZE,NICE Actimize AML and Fraud,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,invest,critical,11200000,restricted,104,2026-02-15,0.56,AML case volume is high; model-risk evidence needed before AI triage scale.
FCF-APP-FENERGO-KYC,Fenergo Client Lifecycle Management,Fenergo,kyc,Chief Compliance Officer,TEAM-FCF-RISK,saas,restructure,critical,6600000,restricted,61,2026-02-15,0.58,KYC refresh backlog and beneficial ownership data gaps remain.
FCF-APP-MUREX-TREASURY,Murex Treasury and Liquidity,Murex,treasury,Treasurer,TEAM-FCF-TREASURY,on_prem,maintain,critical,8100000,confidential,72,2026-02-15,0.34,Treasury stress reporting and liquidity forecasting platform.
FCF-APP-SAP-ECC,SAP ECC Finance and Procurement,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,migrate,critical,10300000,confidential,88,2026-02-15,0.31,SAP ECC 6.0 finance core; S/4HANA vs RISE vs Oracle decision not resolved.
FCF-APP-ORACLE-EBS-REMNANTS,Oracle EBS Legacy AP Remnants,Oracle,erp finance,CFO,TEAM-FCF-ERP,on_prem,retire,high,1800000,confidential,31,2026-02-15,0.2,Residual AP workflows after SAP migration; audit controls still depend on extracts.
FCF-APP-WORKDAY-HCM,Workday HCM and Payroll,Workday,hr,CHRO,TEAM-FCF-ERP,saas,maintain,high,5100000,pii_confidential,43,2026-02-15,0.49,HCM and payroll platform.
FCF-APP-SNOWFLAKE,Snowflake Financial Data Cloud,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,invest,critical,7400000,confidential,117,2026-02-15,0.78,"Enterprise data platform for finance, risk and digital analytics."
FCF-APP-DATABRICKS,Databricks AI and Feature Platform,Databricks,ai platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,invest,high,5900000,restricted,66,2026-02-15,0.82,Fraud graph and document intelligence workloads.
FCF-APP-MOBILE-BANKING,Mobile Banking App,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,invest,critical,9300000,pii_confidential,91,2026-02-15,0.76,Mobile rating is below peers; authentication and onboarding friction persist.
FCF-APP-ONLINE-ACCOUNT-OPENING,Digital Account Opening,Blend/Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,hybrid,restructure,critical,4300000,pii_confidential,70,2026-02-15,0.7,Abandonment elevated; KYC and funding handoff is brittle.
FCF-APP-PEGA-CASE,Pega Operations Case Management,Pega,operations,COO,TEAM-FCF-OPS,hybrid,maintain,high,4700000,confidential,53,2026-02-15,0.52,Deposit operations case backbone.
FCF-APP-SERVICENOW,ServiceNow ITSM and GRC,ServiceNow,itsm grc,CIO,TEAM-FCF-ITSM,saas,invest,high,6800000,confidential,74,2026-02-15,0.64,"ITSM, CMDB, GRC evidence store."
FCF-APP-SPLUNK,Splunk Enterprise Security,Splunk,security,CISO,TEAM-FCF-CYBER,hybrid,maintain,critical,6100000,restricted,69,2026-02-15,0.44,SIEM and audit evidence for financial regulators.
FCF-APP-CROWDSTRIKE,CrowdStrike Falcon,CrowdStrike,security,CISO,TEAM-FCF-CYBER,saas,maintain,critical,3900000,restricted,42,2026-02-15,0.54,Endpoint and identity protection.
FCF-APP-ERP-FINANCE-021,First Capital Erp Finance Service 021,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,restructure,high,3227000,confidential,71,2026-04-15,0.75,erp finance workload in the First Capital context layer; restructure posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-022,First Capital Branch Atm Service 022,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,migrate,medium,3364000,confidential,78,2026-05-15,0.88,branch atm workload in the First Capital context layer; migrate posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-023,First Capital Contact Center Service 023,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,maintain,low,3501000,confidential,85,2026-06-15,0.29,contact center workload in the First Capital context layer; maintain posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-024,First Capital Model Risk Service 024,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,maintain,high,3638000,restricted,8,2026-07-15,0.42,model risk workload in the First Capital context layer; maintain posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-025,First Capital Core Banking Service 025,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,invest,medium,3775000,confidential,15,2026-08-15,0.55,core banking workload in the First Capital context layer; invest posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-026,First Capital Payments Service 026,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,maintain,low,3912000,confidential,22,2026-09-15,0.68,payments workload in the First Capital context layer; maintain posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-027,First Capital Digital Banking Service 027,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,maintain,critical,4049000,pii_confidential,29,2026-01-15,0.81,digital banking workload in the First Capital context layer; maintain posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-028,First Capital Commercial Lending Service 028,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,restructure,medium,4186000,confidential,36,2026-02-15,0.22,commercial lending workload in the First Capital context layer; restructure posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-029,First Capital Wealth Service 029,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,maintain,low,4323000,confidential,43,2026-03-15,0.35,wealth workload in the First Capital context layer; maintain posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-030,First Capital Financial Crimes Service 030,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,invest,high,4460000,confidential,50,2026-04-15,0.48,financial crimes workload in the First Capital context layer; invest posture with NICE dependency and hybrid deployment.
