initiative_id,title,status,accountable,vendors,committed_usd,projected_value_usd,sentinel_posture,stage,evidence_note
FCF-INIT-BRANCH-VISION-AI,Branch queue vision AI pilot,active,SVP Retail Bank Ops,NCR|AWS Rekognition,1900000,600000,Kill,Pilot,KILL CANDIDATE: branch pilots show low teller adoption; privacy review unresolved; no verified branch throughput value.
FCF-INIT-CONTACT-SENTIMENT-V1,Contact center sentiment AI v1,active,SVP Client Service,Genesys|Verint,2400000,800000,Kill,Run,KILL CANDIDATE: canned sentiment scores created coaching risk with no call-time reduction.
FCF-INIT-WEALTH-COPILOT-SHADOW,Wealth advisor copilot shadow rollout,active,SVP Wealth Technology,Microsoft|Salesforce,3100000,1700000,Kill,Pilot,KILL CANDIDATE: unapproved client-note data path and FINRA supervision gaps.
FCF-INIT-FEDNOW-RTP-MODERNIZATION,FedNow and RTP modernization,active,SVP Payments Technology,ACI Worldwide|The Clearing House|FIS,18600000,42000000,Restructure,Build,"RESTRUCTURE CANDIDATE: commercial-deposit value is real but core API, sanction screening and 24x7 ops gates are unresolved."
FCF-INIT-AML-TRIAGE-AI,AML case triage automation,active,Chief Risk Officer,NICE|Databricks|Deloitte,8900000,21000000,Restructure,Pilot,"RESTRUCTURE CANDIDATE: case backlog value clear, but SR 11-7 validation evidence is incomplete."
FCF-INIT-CORE-BANKING-FUTURE,Core banking future decision,active,CIO,FIS|Thought Machine|Mambu|Accenture,14000000,0,Hold,Scope,CONTESTED: CIO wants RFP now; Sentinel should hold until data migration and OCC remediation sequencing are resolved.
FCF-INIT-FRAUD-GRAPH-V2,Fraud graph analytics v2,active,Chief Risk Officer,Databricks|NICE|Featurespace,7300000,28600000,Continue,Scale,FALSE-POSITIVE-DO-NOT-FLAG: high spend but verified fraud-loss avoidance and engaged sponsor.
FCF-INIT-008,SAP S/4HANA finance future decision,active,SVP Wealth Technology,FIS,1200000,2500000,Watch,Scope,SAP S/4HANA finance future decision is tied to Wealth and Private Bank Technology with watch posture and board/CXO evidence requirements.
FCF-INIT-009,Digital account opening abandonment recovery,active,Chief Risk Officer,ACI Worldwide,1991000,3990000,Healthy,Pilot,"Digital account opening abandonment recovery is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements."
FCF-INIT-010,Commercial credit memo automation,active,Chief Data and Analytics Officer,Internal,2782000,5480000,Healthy,Build,Commercial credit memo automation is tied to Enterprise Data and AI with healthy posture and board/CXO evidence requirements.
FCF-INIT-011,Treasury liquidity forecast modernization,active,SVP Infrastructure,nCino,3573000,6970000,Healthy,Scale,Treasury liquidity forecast modernization is tied to Cloud Platform Engineering with healthy posture and board/CXO evidence requirements.
FCF-INIT-012,KYC beneficial ownership refresh,active,CISO,Broadridge,4364000,8460000,Healthy,Run,KYC beneficial ownership refresh is tied to Cybersecurity and IAM with healthy posture and board/CXO evidence requirements.
FCF-INIT-013,Model inventory evidence automation,active,CFO,NICE,5155000,9950000,Restructure,Scope,Model inventory evidence automation is tied to Finance ERP and Procurement Systems with restructure posture and board/CXO evidence requirements.
FCF-INIT-014,M365 Copilot controlled rollout,active,SVP Retail Bank Ops,Snowflake,5946000,11440000,Healthy,Pilot,M365 Copilot controlled rollout is tied to Branch and ATM Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-015,Cloud exit-risk reduction,active,SVP Client Service,Palo Alto Networks,6737000,12930000,Healthy,Build,Cloud exit-risk reduction is tied to Contact Center and Servicing with healthy posture and board/CXO evidence requirements.
FCF-INIT-016,ServiceNow CMDB truth remediation,active,Chief Model Risk Officer,SAP,7528000,14420000,Watch,Scale,ServiceNow CMDB truth remediation is tied to Model Risk and Validation with watch posture and board/CXO evidence requirements.
FCF-INIT-017,Data lineage for regulatory reports,active,COO,NCR,8319000,15910000,Healthy,Run,Data lineage for regulatory reports is tied to Deposit and Loan Operations with healthy posture and board/CXO evidence requirements.
FCF-INIT-018,Debit-card disputes automation,active,Chief Product Officer,Genesys,9110000,17400000,Restructure,Scope,Debit-card disputes automation is tied to Open Banking and API Products with restructure posture and board/CXO evidence requirements.
FCF-INIT-019,Mortgage document intelligence,active,Treasurer,SAS,9901000,18890000,Healthy,Pilot,Mortgage document intelligence is tied to Corporate Treasury Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-020,Branch appointment and workforce optimization,active,SVP Consumer Lending CIO,FIS,10692000,20380000,Healthy,Build,Branch appointment and workforce optimization is tied to Mortgage and Consumer Lending with healthy posture and board/CXO evidence requirements.
FCF-INIT-021,Open banking developer portal,active,SVP Cards,ACI Worldwide,11483000,21870000,Healthy,Scale,Open banking developer portal is tied to Cards and Rewards Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-022,Vendor AI indemnity clause refresh,active,CIO,Internal,12274000,23360000,Healthy,Run,Vendor AI indemnity clause refresh is tied to Engineering Productivity Office with healthy posture and board/CXO evidence requirements.
FCF-INIT-023,IAM privileged access cleanup,active,VP Technology Service Mgmt,nCino,13065000,24850000,Restructure,Scope,"IAM privileged access cleanup is tied to ITSM, Observability and SRE with restructure posture and board/CXO evidence requirements."
FCF-INIT-024,SAS model-hosting rationalization,active,Chief Compliance Officer,Broadridge,13856000,26340000,Watch,Pilot,SAS model-hosting rationalization is tied to Regulatory Remediation PMO with watch posture and board/CXO evidence requirements.
FCF-INIT-025,Snowflake cost governance,active,Chief Procurement Officer,NICE,14647000,27830000,Healthy,Build,Snowflake cost governance is tied to Vendor and Sourcing Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-026,Client complaint root-cause analytics,active,EVP Technology Operations,Snowflake,1638000,29320000,Healthy,Scale,Client complaint root-cause analytics is tied to Core Banking Platforms with healthy posture and board/CXO evidence requirements.
FCF-INIT-027,Loan operations straight-through processing,active,SVP Payments Technology,Palo Alto Networks,2429000,30810000,Healthy,Run,Loan operations straight-through processing is tied to Payments and Treasury Services with healthy posture and board/CXO evidence requirements.
FCF-INIT-028,Data retention and legal hold automation,active,Chief Digital Officer,SAP,3220000,32300000,Restructure,Scope,Data retention and legal hold automation is tied to Digital Banking and Client Experience with restructure posture and board/CXO evidence requirements.
FCF-INIT-029,Engineering productivity tooling for legacy apps,active,SVP Commercial Bank CIO,NCR,4011000,33790000,Healthy,Pilot,Engineering productivity tooling for legacy apps is tied to Commercial Lending Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-030,Payment exceptions workflow modernization,active,SVP Wealth Technology,Genesys,4802000,3280000,Healthy,Build,Payment exceptions workflow modernization is tied to Wealth and Private Bank Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-031,Customer 360 consent and preference hub,active,Chief Risk Officer,SAS,5593000,4770000,Healthy,Scale,"Customer 360 consent and preference hub is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements."
FCF-INIT-032,Third-party risk scoring automation,active,Chief Data and Analytics Officer,FIS,6384000,6260000,Watch,Run,Third-party risk scoring automation is tied to Enterprise Data and AI with watch posture and board/CXO evidence requirements.
