question_id,artifact_html_desktop_rendering,artifact_html_narrow_rendering,desktop_screenshot,answer_canvas_screenshot,evidence_gap_panel_screenshot,broken_markdown,raw_json_visible,debug_trace_visible,overflow_detected,duplicate_sections,status,notes
Q1,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q2,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q3,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q4,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q5,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q6,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q7,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q8,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q9,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
Q10,pass_when_checked_with_playwright,pass_when_checked_with_playwright,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,blocked_signed_in_intelligence_browser_not_run,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,not_applicable_no_live_answer,blocked,Signed-in Meridian Intelligence browser proof was not run by this deterministic audit. Artifact HTML rendering was QA-checked separately by Playwright when invoked by the agent.
