question_id,tenant_specificity,executive_clarity,business_usefulness,context_grounding,evidence_gap_awareness,decision_usefulness,risk_control_awareness,module_handoff_clarity,caveat_quality,concision,structure,no_generic_fluff,overall_average,status,notes
Q1,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q2,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q3,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q4,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q5,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q6,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q7,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q8,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q9,4.8,0,0,4.8,4.6,0,4.4,4.4,4.6,0,0,0,2.3,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q10,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q11,4.8,0,0,4.8,4.6,0,4.4,0,4.6,0,0,0,1.9,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
Q12,4.8,0,0,4.8,4.6,0,4.4,4.4,4.6,0,0,0,2.3,blocked,Scores for rendered answer dimensions are blocked because Claude/aVa did not generate a live answer. Non-zero scores represent context-pack readiness dimensions only.
