question_id,response_id,claim_id,claim_text,support_status,evidence_ref,fact_or_profile_or_edge_ref,gap_ref,severity,notes
Q1,Q1-blocked-no-claude-response,Q1-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q1,Q1-blocked-no-claude-response,Q1-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q1,Q1-blocked-no-claude-response,Q1-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q2,Q2-blocked-no-claude-response,Q2-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q2,Q2-blocked-no-claude-response,Q2-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q2,Q2-blocked-no-claude-response,Q2-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q3,Q3-blocked-no-claude-response,Q3-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q3,Q3-blocked-no-claude-response,Q3-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q3,Q3-blocked-no-claude-response,Q3-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q4,Q4-blocked-no-claude-response,Q4-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q4,Q4-blocked-no-claude-response,Q4-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,meridian-health-finance-analytics-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q4,Q4-blocked-no-claude-response,Q4-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q5,Q5-blocked-no-claude-response,Q5-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q5,Q5-blocked-no-claude-response,Q5-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q5,Q5-blocked-no-claude-response,Q5-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q6,Q6-blocked-no-claude-response,Q6-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q6,Q6-blocked-no-claude-response,Q6-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q6,Q6-blocked-no-claude-response,Q6-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q7,Q7-blocked-no-claude-response,Q7-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
