tenant_key,node_key,node_type,node_name,source_entity_key,evidence_id,confidence,active_candidate_status
skyharbor-air,SHA-NODE-00001,system,Airline Demo entity 0001,SHA-ENT-00001,SHA-EVID-00001,high,candidate
skyharbor-air,SHA-NODE-00002,function,Airline Demo entity 0002,SHA-ENT-00002,SHA-EVID-00002,medium,candidate
skyharbor-air,SHA-NODE-00003,data_asset,Airline Demo entity 0003,SHA-ENT-00003,SHA-EVID-00003,medium,candidate
skyharbor-air,SHA-NODE-00004,vendor,Airline Demo entity 0004,SHA-ENT-00004,SHA-EVID-00004,high,candidate
skyharbor-air,SHA-NODE-00005,program,Airline Demo entity 0005,SHA-ENT-00005,SHA-EVID-00005,high,candidate
skyharbor-air,SHA-NODE-00006,control,Airline Demo entity 0006,SHA-ENT-00006,SHA-EVID-00006,medium,candidate
skyharbor-air,SHA-NODE-00007,metric,Airline Demo entity 0007,SHA-ENT-00007,SHA-EVID-00007,medium,candidate
skyharbor-air,SHA-NODE-00008,system,Airline Demo entity 0008,SHA-ENT-00008,SHA-EVID-00008,high,candidate
skyharbor-air,SHA-NODE-00009,function,Airline Demo entity 0009,SHA-ENT-00009,SHA-EVID-00009,high,candidate
skyharbor-air,SHA-NODE-00010,data_asset,Airline Demo entity 0010,SHA-ENT-00010,SHA-EVID-00010,medium,candidate
skyharbor-air,SHA-NODE-00011,vendor,Airline Demo entity 0011,SHA-ENT-00011,SHA-EVID-00011,medium,candidate
skyharbor-air,SHA-NODE-00012,program,Airline Demo entity 0012,SHA-ENT-00012,SHA-EVID-00012,high,candidate
skyharbor-air,SHA-NODE-00013,control,Airline Demo entity 0013,SHA-ENT-00013,SHA-EVID-00013,high,candidate
skyharbor-air,SHA-NODE-00014,metric,Airline Demo entity 0014,SHA-ENT-00014,SHA-EVID-00014,medium,candidate
skyharbor-air,SHA-NODE-00015,system,Airline Demo entity 0015,SHA-ENT-00015,SHA-EVID-00015,medium,candidate
skyharbor-air,SHA-NODE-00016,function,Airline Demo entity 0016,SHA-ENT-00016,SHA-EVID-00016,high,candidate
skyharbor-air,SHA-NODE-00017,data_asset,Airline Demo entity 0017,SHA-ENT-00017,SHA-EVID-00017,high,candidate
skyharbor-air,SHA-NODE-00018,vendor,Airline Demo entity 0018,SHA-ENT-00018,SHA-EVID-00018,medium,candidate
skyharbor-air,SHA-NODE-00019,program,Airline Demo entity 0019,SHA-ENT-00019,SHA-EVID-00019,medium,candidate
skyharbor-air,SHA-NODE-00020,control,Airline Demo entity 0020,SHA-ENT-00020,SHA-EVID-00020,high,candidate
skyharbor-air,SHA-NODE-00021,metric,Airline Demo entity 0021,SHA-ENT-00021,SHA-EVID-00021,high,candidate
skyharbor-air,SHA-NODE-00022,system,Airline Demo entity 0022,SHA-ENT-00022,SHA-EVID-00022,medium,candidate
skyharbor-air,SHA-NODE-00023,function,Airline Demo entity 0023,SHA-ENT-00023,SHA-EVID-00023,medium,candidate
skyharbor-air,SHA-NODE-00024,data_asset,Airline Demo entity 0024,SHA-ENT-00024,SHA-EVID-00024,high,candidate
skyharbor-air,SHA-NODE-00025,vendor,flight operations capability 001 entity 0025,SHA-ENT-00025,SHA-EVID-00601,high,candidate
skyharbor-air,SHA-NODE-00026,program,operations control center capability 002 entity 0026,SHA-ENT-00026,SHA-EVID-00602,medium,candidate
skyharbor-air,SHA-NODE-00027,control,airport operations capability 003 entity 0027,SHA-ENT-00027,SHA-EVID-00603,medium,candidate
skyharbor-air,SHA-NODE-00028,metric,customer service capability 004 entity 0028,SHA-ENT-00028,SHA-EVID-00604,high,candidate
skyharbor-air,SHA-NODE-00029,system,loyalty capability 005 entity 0029,SHA-ENT-00029,SHA-EVID-00605,high,candidate
skyharbor-air,SHA-NODE-00030,function,revenue management capability 006 entity 0030,SHA-ENT-00030,SHA-EVID-00606,medium,candidate
skyharbor-air,SHA-NODE-00031,data_asset,network planning capability 007 entity 0031,SHA-ENT-00031,SHA-EVID-00607,medium,candidate
skyharbor-air,SHA-NODE-00032,vendor,crew scheduling capability 008 entity 0032,SHA-ENT-00032,SHA-EVID-00608,high,candidate
skyharbor-air,SHA-NODE-00033,program,maintenance engineering capability 009 entity 0033,SHA-ENT-00033,SHA-EVID-00609,high,candidate
skyharbor-air,SHA-NODE-00034,control,cargo operations capability 010 entity 0034,SHA-ENT-00034,SHA-EVID-00610,medium,candidate
skyharbor-air,SHA-NODE-00035,metric,digital ecommerce capability 011 entity 0035,SHA-ENT-00035,SHA-EVID-00611,medium,candidate
skyharbor-air,SHA-NODE-00036,system,safety and security capability 012 entity 0036,SHA-ENT-00036,SHA-EVID-00612,high,candidate
