tenant_key,evidence_id,source_file,source_row,evidence_type,evidence_status,checksum,active_candidate_status
skyharbor-air,SHA-EVID-00001,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,2,synthetic source template,candidate_resolves_locally,59b9dcbd77ea52d1d92155fe2d4c7d9ad1068af8325b1dfd6eaff13bfde77976,candidate
skyharbor-air,SHA-EVID-00002,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,3,synthetic interview excerpt,candidate_resolves_locally,ab3087ca64e4b27f385ca74100f2e56c32ea41930ddef47f9ebce19171b6b5ee,candidate
skyharbor-air,SHA-EVID-00003,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,4,synthetic finance baseline,candidate_resolves_locally,360301b0a396bde90eadbeb4555110d207afe4060d201e7c62254a2bc3566079,candidate
skyharbor-air,SHA-EVID-00004,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,5,synthetic risk-control register,candidate_resolves_locally,f1883f0d6b3e6102a1c6f89bfe73c60047916f53763c6c078c9656f2371807fb,candidate
skyharbor-air,SHA-EVID-00005,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,6,synthetic vendor obligation register,candidate_resolves_locally,8ef511c927eb699c132289d0f1443abdd2caae3aaa8385cc0573e67f17ade23f,candidate
skyharbor-air,SHA-EVID-00006,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,7,synthetic operational metric register,candidate_resolves_locally,c74f140c40a4da1308b1dea5d0416ebc67652446e30238fc1f9afd7c607f616f,candidate
skyharbor-air,SHA-EVID-00007,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,8,synthetic source template,candidate_resolves_locally,2f26bb575789aa6ab33b3f5adb091e785fb7a6fe816d3869e186255ce19cd77d,candidate
skyharbor-air,SHA-EVID-00008,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,9,synthetic interview excerpt,candidate_resolves_locally,9ff236f849d4f58bb6a168a6557a4582ce9f99f6dc97c190f57f12a93eabacf2,candidate
skyharbor-air,SHA-EVID-00009,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,10,synthetic finance baseline,candidate_resolves_locally,e5e68ffa81229346f90883576a6bf69bd5417f293407657eaa2d0fd039e475e7,candidate
skyharbor-air,SHA-EVID-00010,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,11,synthetic risk-control register,candidate_resolves_locally,e043054b9fcc267932d07c51e69424ef1d930d9de483b1327ad37a2cd368888b,candidate
skyharbor-air,SHA-EVID-00011,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,12,synthetic vendor obligation register,candidate_resolves_locally,7f94c4007c383871f4a670a754cb31e0cea880f2cccf48ddfcbc0315076b8f47,candidate
skyharbor-air,SHA-EVID-00012,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,13,synthetic operational metric register,candidate_resolves_locally,9480cf67bf2c1d4ebb3cc1bb1696c5b58ca35f7b047a7fbd746428bbf3a84617,candidate
skyharbor-air,SHA-EVID-00013,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,14,synthetic source template,candidate_resolves_locally,0da3aae061406995fb5320bf41a0b18c13bef9db11f50da9720a144dc809a68a,candidate
skyharbor-air,SHA-EVID-00014,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,15,synthetic interview excerpt,candidate_resolves_locally,97d1790443363f617cae344aaa2c9cb32c7203053d5b28f87d1437a6ba2d601c,candidate
skyharbor-air,SHA-EVID-00015,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,16,synthetic finance baseline,candidate_resolves_locally,70a6b755fd33419454306cffa64d40d2e44a767d023590d36dc854e4c7460503,candidate
skyharbor-air,SHA-EVID-00016,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,17,synthetic risk-control register,candidate_resolves_locally,4ecd7dbed20ecd64cee0cd78cf41abe0b2d25eae7fe2d9bd28449f3af11b3285,candidate
skyharbor-air,SHA-EVID-00017,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,18,synthetic vendor obligation register,candidate_resolves_locally,90a5f38dea42a777e1f16b4699812a30d5d68b6349eb03aa0a8e2eaac3190daf,candidate
skyharbor-air,SHA-EVID-00018,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,19,synthetic operational metric register,candidate_resolves_locally,12f5344cbdd98c971bd38b5ecd7bd7f2d8ab73ffc820a754d0e7b478c97602bd,candidate
