tenant_key,gap_key,dimension_key,record_key,gap_type,gap_description,blocked_decision,evidence_needed,confidence,active_candidate_status
skyharbor-air,SHA-GAP-00001,00_enterprise_profile,SHA-00-00001,missing_owner,safety criticality requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00001; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00002,00_enterprise_profile,SHA-00-00002,missing_baseline,operational resilience requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00002; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00003,00_enterprise_profile,SHA-00-00003,missing_lineage,crew and legal constraints requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00003; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00004,00_enterprise_profile,SHA-00-00004,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00004; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00005,00_enterprise_profile,SHA-00-00005,missing_control_attestation,data privacy requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00005; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00006,00_enterprise_profile,SHA-00-00006,missing_owner,PCI requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00006; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00007,00_enterprise_profile,SHA-00-00007,missing_baseline,cyber risk requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00007; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00008,00_enterprise_profile,SHA-00-00008,missing_lineage,identity and access requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00008; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00009,00_enterprise_profile,SHA-00-00009,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00009; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00010,00_enterprise_profile,SHA-00-00010,missing_control_attestation,model explainability requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00010; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00011,00_enterprise_profile,SHA-00-00011,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-00011; source file; owner; baseline; control status,medium,candidate
