tenant_key,dataset_version,source_file_id,contract_id,vendor_ref,vendor_name,document_type,file_name,expected_layer,synthetic_policy
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-MSA,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,master agreement,MER-TECH-M365-001_MSA.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-SOW,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,statement of work / order form,MER-TECH-M365-001_SOW.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-PRICING,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,pricing schedule,MER-TECH-M365-001_PRICING.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-SLA,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,SLA or support terms,MER-TECH-M365-001_SLA.docx,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-USAGE,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,usage and entitlement export,MER-TECH-M365-001_USAGE.docx,source.contract_financial_exposure / usage observation,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-MSA,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",master agreement,MER-TECH-SFDC-001_MSA.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-SOW,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",statement of work / order form,MER-TECH-SFDC-001_SOW.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-PRICING,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",pricing schedule,MER-TECH-SFDC-001_PRICING.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-SLA,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",SLA or support terms,MER-TECH-SFDC-001_SLA.docx,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-USAGE,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",usage and entitlement export,MER-TECH-SFDC-001_USAGE.docx,source.contract_financial_exposure / usage observation,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AWS-001-MSA,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",master agreement,MER-TECH-AWS-001_MSA.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AWS-001-SOW,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",statement of work / order form,MER-TECH-AWS-001_SOW.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AWS-001-PRICING,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",pricing schedule,MER-TECH-AWS-001_PRICING.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AWS-001-SLA,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",SLA or support terms,MER-TECH-AWS-001_SLA.docx,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AWS-001-USAGE,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",usage and entitlement export,MER-TECH-AWS-001_USAGE.docx,source.contract_financial_exposure / usage observation,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AMS-001-MSA,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,master agreement,MER-TECH-AMS-001_MSA.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AMS-001-SOW,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,statement of work / order form,MER-TECH-AMS-001_SOW.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AMS-001-PRICING,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,pricing schedule,MER-TECH-AMS-001_PRICING.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AMS-001-SLA,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,SLA and ticket report,MER-TECH-AMS-001_SLA.docx,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-AMS-001-USAGE,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,monthly operational evidence memo,MER-TECH-AMS-001_USAGE.docx,source.contract_financial_exposure / usage observation,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SD-001-MSA,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",master agreement,MER-TECH-SD-001_MSA.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SD-001-SOW,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",statement of work / order form,MER-TECH-SD-001_SOW.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SD-001-PRICING,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",pricing schedule,MER-TECH-SD-001_PRICING.docx,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SD-001-SLA,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",SLA and ticket report,MER-TECH-SD-001_SLA.docx,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SD-001-USAGE,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",monthly operational evidence memo,MER-TECH-SD-001_USAGE.docx,source.contract_financial_exposure / usage observation,synthetic_demo_only_not_client_truth
