source_row_id,tenant_key,dataset_version,source_file_id,contract_id,vendor_ref,vendor_name,source_page,page_text,page_text_sha256,mapping_status,parser_version,synthetic_policy
page:DOC-MER-TECH-M365-001-MSA:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-MSA,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,1,"Synthetic demo evidence. Master agreement for Enterprise Productivity, Security, and Collaboration Agreement with Microsoft Corporation. The record states renewal notice, auto-renew posture, benchmarking clause state, termination rights, owner roles, and evidence confidence for governed Source projection.",43988a813e261c0915b7950f49ecd3eac679b7c543e7cc366a263df43b598638,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-M365-001-SOW:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-SOW,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,1,"Synthetic demo evidence. Statement of work and order form for Enterprise Productivity, Security, and Collaboration Agreement. Scope links the contract to the CMDB application records, service towers, in-scope responsibilities, out-of-scope boundaries, and approval owner used by Source 360.",e5b32178f8ba0e60f3dbac0d95c2532f8bd6d734d95de3b49c079e5b537e25a1,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-M365-001-PRICING:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-PRICING,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,1,"Synthetic demo evidence. Pricing schedule for Enterprise Productivity, Security, and Collaboration Agreement. Monthly committed base, invoice amount, paid amount, actual spend, currency, and contract reference are provided so Source can reconcile annual value to spend observations.",af23cbb57e1bbe6bc4be7880554d523ed27bedf28ec00c986466f26d84fe179b,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-M365-001-SLA:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-SLA,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,1,"Synthetic demo evidence. SLA and ticket report for Enterprise Productivity, Security, and Collaboration Agreement. The report supplies monthly performance thresholds, actual results, breach state, service-credit calculation, claim status, recovered amount, and ITSM volumetrics by severity.",7b359f4875977ea83557c164758fff09e0a730bb89369047cd33c8c3829dfbfb,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-M365-001-USAGE:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-M365-001-USAGE,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,1,"Synthetic demo evidence. Usage and entitlement evidence for Enterprise Productivity, Security, and Collaboration Agreement. The extract supports utilization, active quantity, unused quantity, annual opportunity, and owner review state without claiming finance-confirmed value.",8049735414d11b8ede06e786ed3b6b59dc4fad7dd959e4b59d01404b22556e9c,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-SFDC-001-MSA:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-MSA,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",1,"Synthetic demo evidence. Master agreement for Patient Access CRM and Service Cloud Subscription with Salesforce, Inc.. The record states renewal notice, auto-renew posture, benchmarking clause state, termination rights, owner roles, and evidence confidence for governed Source projection.",993b316f3d536d41aae72a6c07e36dfc0806cce9e4656c7aa7871a9813a14634,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-SFDC-001-SOW:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-SOW,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",1,"Synthetic demo evidence. Statement of work and order form for Patient Access CRM and Service Cloud Subscription. Scope links the contract to the CMDB application records, service towers, in-scope responsibilities, out-of-scope boundaries, and approval owner used by Source 360.",d6f6756421a433d74ec3b156b02e1659bf067968b9992cdee9ccaf3c26df2906,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-SFDC-001-PRICING:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-PRICING,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",1,"Synthetic demo evidence. Pricing schedule for Patient Access CRM and Service Cloud Subscription. Monthly committed base, invoice amount, paid amount, actual spend, currency, and contract reference are provided so Source can reconcile annual value to spend observations.",2026dc4363b0ffe20955a9c4b62e09985278a0836546963da162c11f68593987,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-SFDC-001-SLA:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-SLA,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",1,"Synthetic demo evidence. SLA and ticket report for Patient Access CRM and Service Cloud Subscription. The report supplies monthly performance thresholds, actual results, breach state, service-credit calculation, claim status, recovered amount, and ITSM volumetrics by severity.",7fdb2f59df9ebf6351c4cff49942a76538c7c80f76dc84843b27a700cba42f56,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-SFDC-001-USAGE:p1,meridian-health,meridian-contract-depth-v1-20260828,DOC-MER-TECH-SFDC-001-USAGE,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",1,"Synthetic demo evidence. Usage and entitlement evidence for Patient Access CRM and Service Cloud Subscription. The extract supports utilization, active quantity, unused quantity, annual opportunity, and owner review state without claiming finance-confirmed value.",83da554a1f438a4974fc863a0c15523a6e6bfd85c4d162c027016ae0df7436af,mapped_to_register_contract,synthetic-contract-depth-page-text-v1,synthetic_demo_only_not_client_truth
